section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-info,section-result-cost,section-result-description,e0HygkTYhQy__content,section-result-info 2
The Meat House,4.4,(76),Restaurant,J. Panis St,Closing soon: 10:00 pm,,,,
Patio Isabel,4.1,(108),Restaurant,J. Panis St,Closing soon: 10:00 pm,,,,
Ginza Restaurant Inc.,4.4,(117),Japanese,295 J. Panis St,Closing soon: 10:00 pm,,,,
Tavolata,4.5,(237),Italian,"Design Center of 6014, A. S. Fortuna St",Closing soon: 10:00 pm,,,,
Ramen Yushoken,4.6,"(1,010)",Restaurant,"G/F Oakridge Business Park, 880 A. S. Fortuna St",Open until 11:00 pm,₱₱₱,,,
Akita Japanese Restaurant,4.0,(22),Restaurant,"Gaisano Country Mall, Banilad Rd",Closing soon: 10:00 pm,,,,
Rica's,4.3,(56),Restaurant,Paseo Saturnino,Open until 11:30 pm,,,,
Maya Mexican Restaurant,4.3,(493),Mexican,Crossroads Mall,Open until 11:00 pm,₱₱₱,,,
Max's Restaurant BTC,3.9,(89),Restaurant,"GCA Building, 13 Gov. M. Cuenco Ave",Closing soon: 10:00 pm,₱₱,Chain eatery for Filipino fried chicken,,
Pueblo Mexicano,4.3,(53),Restaurant,"Banilad Town Center (BTC, Gov. M. Cuenco Ave",Open until 11:00 pm,,,Takeaway,
Lighthouse Restaurant,4.2,(106),Restaurant,Wilson St,Closing soon: 10:00 pm,,,,
The Weekend,4.4,(67),Restaurant,"88th Ave, Gov. M. Cuenco Ave",Open until 11:30 pm,,,,
Tajimaya Charcoal Grill,4.2,(121),Restaurant,"Crossroads, J. Abad Santos St",Closing soon: 10:00 pm,,,,
Pearl Korean Meat Shop & Restaurant,4.1,(222),Korean,"Gaisano Country Mall, Gov. M. Cuenco Ave",Closing soon: 10:00 pm,,Chain eatery for Filipino fried chicken,,
Trattoria da Gianni,4.3,(100),Restaurant,"The Crossroads, Gov. M. Cuenco Ave",Closing soon: 10:00 pm,,Casual-chic spot for Filipino plates,Kaon Ta! The Ultimate Cebu Food Trip Guide,
Fudge,4.2,(130),Restaurant,A. S. Fortuna St,Closing soon: 10:00 pm,₱₱,,,
Katzpapa,4.5,(62),Restaurant,,Closing soon: 10:00 pm,,,,
Gorliz Tapas Y Vinos Spanish Restaurant,4.5,(121),Spanish,"2nd Floor Streetscape Cebu, Paseo Saturnino",Open until 11:00 pm,,,12 of the Best Restaurants in Cebu You’ll Only Find There,
Fat Dois,4.4,(403),Restaurant,888 A. S. Fortuna St,Closing soon: 10:00 pm,₱₱,,,
Albur's All In Pizza Burger Grill,4.2,(477),Restaurant,Gen. Lim St,Open until 1:00 am,₱₱,,,
Phat Pho Vietnamese Restaurant,4.7,(28),Restaurant,"GF , Crossroads Mall, Governor M.Cuenco Avenue , 6000 Cebu City , Cebu",Closing soon: 10:00 pm,,,,
Ebisuya Japanese Restaurant,4.3,(126),Fusion restaurant,1 Paseo Saturnino,Open until 11:00 pm,₱₱,,,
Curry House CoCo Ichibanya,4.4,(156),Restaurant,"Bonifacio District, F. Cabahug St",Closing soon: 10:00 pm,₱₱,,,
Manuel's Restaurant,4.6,(72),Restaurant,,Closing soon: 10:00 pm,,,Breakfast Restaurants in Cebu to Start Your Day Right,
