section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,e0HygkTYhQy__attribute-content,e0HygkTYhQy__attribute,section-result-info,section-result-cost,e0HygkTYhQy__attribute-content 2,e0HygkTYhQy__attribute-separator,section-result-description,section-result-info 2
La Food Hauz,1.0,(1),Restaurant,"LK Building, Lopez Jaena St",Dine-in,·,,,,,,
La Lucha Taqueria,4.3,(78),Delivery Restaurant,"Mango Square, Juana Osmeña St",Dine-in,·,Open until 9:00 pm,,,,,
Calda Pizza - Escario Branch,3.6,(138),Pizza Delivery,N Escario St,"""delicious food, awesome crew, good job!""",·,,₱₱,,,,
Chimot's mix,,,Delivery Restaurant,Holy Trinity St,Dine-in,·,,,,,,
The Burger Joint,4.5,(723),Hamburger,"The Gallery, Pope John Paul II Avenue, Golam Dr","""For",·,Open until 6:00 pm,,deliveries,,,
Top 'n Dog,,,Delivery Restaurant,"SM City Cebu, Juan Luna Ave. Corner Cabahug And Kaoshiung St.",Dine-in,·,Open until 9:00 pm,,,,,
Papi Pizzeria,5.0,(3),Pizza Delivery,"Gemsville Subdivision, Ruby St",Dine-in,·,Open until 6:00 pm,,Delivery,·,,
Burger King,4.2,(713),Fast Food,F. Cabahug St,"""Affordable",·,Open until 5:00 pm,₱₱,delivery,,,
Chowking,3.7,(367),Fast Food,"G/F Cinco Centrum, Fuente Osmeña Cir",,·,Open until 8:00 pm,₱,,,Quick stop for familiar Chinese fare,
McDonald's,4.0,(280),Fast Food,"JY Square Mall & Supermarket, G/F, 1 Salinas Dr",Dine-in,·,,₱,Takeaway,·,Iconic fast-food burger & fries chain,
Jollibee,4.0,(806),Fast Food,19 Gorordo Ave,Dine-in,·,,₱,Takeaway,·,Fast-food chain with Filipino flavors,
Ilaputi,4.1,(88),Asian,"Axis Entertainment Avenue at Vibo Place, N. Escario St.","""Excellent food. Very friendly and attentive staff.""",·,Open until 7:00 pm,,,,,
Alberto's Pizza Mabolo Branch,3.6,(206),Pizza Delivery,"right across Coffee bean, Pope John Paul II Ave","""Also, they offer Silog meals which are affordable.""",·,Open until 8:00 pm,,,,,
مطعم هندي Bollywood Tandoor,4.1,(463),Restaurant,113 Gov. M. Cuenco Ave,Dine-in,·,Open until 3:00 pm,₱₱,,,,
La Bella Pizza Bistro,4.3,(90),Italian,"The Gallery, Juan Luna Avenue",Dine-in,·,Opens at 3:00 pm,,,,,Closed
Orange Brutus,3.9,(10),Fast Food,"Cinco Centrum, Puente Osmena",Dine-in,·,,,Takeaway,·,,
Burger King,4.1,(396),Fast Food,"Vibo Place, Cebu Escario, Axis Entertainment Avenue, N Escario St",,·,Open until 5:00 pm,,,,,
Chowking,3.2,(6),Fast Food,3F,,·,,₱,,,,Temporarily closed
Casa Verde,4.2,"(1,063)",Restaurant,69 Lim Tian Teng,Dine-in,·,Open until 10:00 pm,₱₱,Delivery,·,,
Shakey's Pizza Parlor,4.4,(19),Pizza,,Dine-in,·,Open until 9:00 pm,,Delivery,·,Casual pizza chain with a kids' fun zone,
Mango House - QQEnglish,1.0,(1),Delivery Restaurant,San Miguel Rd,Dine-in,·,,,,,,
Somac Korean Restaurant,4.4,(411),Korean,Pope John Paul II Ave,"""Their foods is very Korean authentic, and their staff is very attendant ...""",·,Open until 7:00 pm,₱₱,,,,
Sinangag Station,4.0,(146),Restaurant,"Go Home Bldg, 341 F. Cabahug St",Dine-in,·,,₱,Takeaway,·,,
Curry Famous Indian House,3.4,(57),Indian,"APM Mall Building, A. Soriano St. Nra.",Dine-in,·,Open until 9:00 pm,,,,,
Pizzalab,4.5,(723),Pizza Delivery,15B San Antonio Village Rd,"""For",·,Open until 6:00 pm,,deliveries,,,
Alberto's Pizza,3.7,(254),Pizza Delivery,15 B. Rodriguez St,Dine-in,·,Open until 9:00 pm,₱,Delivery,·,,
Jollibee,4.1,(435),Fast Food,F. Cabahug St,Dine-in,·,Open until 6:00 pm,₱,Takeaway,·,Fast-food chain with Filipino flavors,
Chowking,4.1,(363),Hong Kong style fast food restaurant,W Geonzon St,Dine-in,·,Open until 5:00 pm,₱,Delivery,·,Quick stop for familiar Chinese fare,
House of Lechon,4.2,"(2,464)",Filipino,Acacia St,Dine-in,·,Open until 10:00 pm,₱₱,Takeaway,·,Quick stop for familiar Chinese fare,
Chowking,3.7,(250),Fast Food,V Rama Ave,"""And they offer",·,Open until 6:00 pm,₱,deliveries,,Quick stop for familiar Chinese fare,
Shakey's Pizza Parlor,3.7,(56),Pizza,Ayala Center,Dine-in,·,Open until 9:00 pm,₱₱,,,Casual pizza chain with a kids' fun zone,
Greenwich,3.9,(23),Pizza,"Level 3 Ayala Center Cebu, Archbishop Reyes Ave",Their website mentions,·,Open until 9:00 pm,₱₱,food delivery,,,
Greenwich,3.9,(264),Pizza,,"""Love the food and its quite, ...""",·,Open until 8:00 pm,₱₱,,,,Temporarily closed
RODEO GRILL (FOOD DELIVERIES),4.1,(44),Delivery service,,Dine-in,·,Open until 9:00 pm,,,,,
Shakey's Pizza Parlor,4.2,(352),Pizza,"The Walk Asia Town, Abad St",Dine-in,·,Open until 1:00 am,₱₱,Delivery,·,Casual pizza chain with a kids' fun zone,Closed
Greenwich,3.9,(146),Pizza,"Park Centrale, LEVEL 1, Jose Maria del Mar St",Their website mentions,·,,₱₱,food delivery,,,Temporarily closed
McDonald's,3.7,(202),Fast Food,"Cebu IT Tower, 1,Arch, G/F Archbishop Reyes Ave",Dine-in,·,Open until 5:00 pm,₱,Takeaway,·,Iconic fast-food burger & fries chain,
Tatang's Extra Crispy Boneless Lechon,4.5,(138),Takeout Restaurant,Wilson St,Dine-in,·,Open until 10:00 pm,₱₱,Takeaway,·,,Temporarily closed
JCA Pizza,3.9,(93),Restaurant,935 M Salinas Dr,Dine-in,·,Open until 10:00 pm,,Delivery,·,,
Jollibee,4.1,(351),Fast Food,M. C. Briones St,Dine-in,·,Open until 9:00 pm,₱,Takeaway,·,Fast-food chain with Filipino flavors,
MyJoy,3.8,(28),Fast Food,10 Apitong St,Dine-in,·,Open until 9:00 pm,,,,,
Bonchon Chicken,4.1,(118),Chicken,"Ayala Center Cebu, Bohol Ave, The Terraces",Dine-in,·,Open until 10:30 pm,₱₱,,,Korean fried chicken specialist,
Pancake House,4.1,(44),Asian,"G/F North Arcade, Banilad Town Center, Gov. M. Cuenco Ave.",Dine-in,·,Open until 9:00 pm,₱₱,,,,
Dimsum Break,3.7,(66),Dim Sum,General Maxilom Ave,Dine-in,·,Open until 9:00 pm,₱₱,Delivery,·,,
Joed's Lutong Hapon,3.9,(409),Japanese,299 Pres. Quirino St,Dine-in,·,Open until 4:00 am,₱,,,,
Shakey's Pizza Parlor,4.2,(491),Pizza,F. Cabahug St,Dine-in,·,Open until 12:00 am,₱₱,Delivery,·,Casual pizza chain with a kids' fun zone,
PIZZERIA MICHELANGELO CITY TIME SQUARE PIZZA DELIVERY,4.1,(10),Italian,mantawi avenue,Dine-in,·,Open until 12:00 am,,Delivery,·,Fast-food chain with Filipino flavors,
Bigby's,3.9,(107),Restaurant,"ayala center cebu, 176 Archbishop Reyes Ave. Cebu Business Park",Dine-in,·,Open until 11:00 pm,,,,Quick stop for familiar Chinese fare,
McDonald's,3.9,(420),Fast Food,"The Walk, Abad St",Dine-in,·,Open until 10:00 pm,₱,Delivery,·,Iconic fast-food burger & fries chain,
Tiktilaok,4.6,(7),Fast Food,"ayala center cebu, 176 Archbishop Reyes Ave. Cebu Business Park",Dine-in,·,Open until 9:00 pm,,,,Quick stop for familiar Chinese fare,
Yellow Cab Pizza Co.,4.1,(384),Pizza,W Geonzon St,Dine-in,·,Open until 9:00 pm,₱₱,Takeaway,·,Casual pizza chain with a kids' fun zone,
Jafar's Shawarma,3.7,(30),Takeout Restaurant,"BTC Bldg, Gov. M. Cuenco Ave",Dine-in,·,Open until 10:00 pm,,Takeaway,·,,
Jonie's Sizzlers & Roast,3.6,(43),Filipino,"SM City Cebu, Upper Ground",Dine-in,·,Open until 9:00 pm,,,,,Temporarily closed
Burger King,4.1,(261),Fast Food,"Cebu Business Park, Cebu Ayala, Level 4, Ayala Center, Archbishop Reyes Ave",Dine-in,·,Open until 7:00 pm,₱₱,,,,
Pizza Hut Fuente Osmena,3.9,(130),Pizza,"Pizza Hut Fuente Osmena, Angeles Du Building 2, Fuente Osmena","""I give it five stars cause we didn't have wait long to get our food.""",·,Open until 10:00 pm,₱₱,,,Casual pizza chain with wide selection,Closed
Orange Brutus,3.8,(50),Fast Food,3 Jose Maria del Mar St Cebu City 6000 Jose Maria del Mar St,Dine-in,·,,,,,,Temporarily closed
Burger King,4.2,(555),Fast Food,"Gen Maxilom Avenue, Cor Juana Osmeña St",Dine-in,,Open until 5:00 pm,,,·,Iconic fast-food burger & fries chain,
McDonald's,3.8,(253),Fast Food,"Aegis Tower, G/F, I. Villa St",Dine-in,·,Open until 10:00 pm,₱,Takeaway,·,Iconic fast-food burger & fries chain,Temporarily closed
Chowking,3.9,(21),Fast Food,"Upper Ground Floor., SM City Cebu, Cebu City",Dine-in,,Open until 10:00 pm,₱,,·,,Temporarily closed
Jollibee,3.6,(31),Fast Food,"Level 1, Geonzon St, Salinas Dr",Dine-in,·,Open until 9:00 pm,₱,Delivery,·,Fast-food chain with Filipino flavors,
Butchero Dining,5.0,(1),Restaurant,8 Wilson St,Dine-in,·,Open until 9:00 pm,,,,,
Pizza Hut,3.5,(21),Pizza,"Pizza Hut SM City Cebu, Juan Luna Extension","""Great food and staff""",·,Open until 9:00 pm,₱₱,,,Casual pizza chain with wide selection,
Cebu's Original Lechon Belly,4.2,(119),Fast Food,"The Maxwell Hotel, N Escario St",Dine-in,·,Open until 10:00 pm,,Delivery,·,,
McDonald's,4.1,(418),Fast Food,"Ma. Christina Building, Fuente Osmeña Cir",Dine-in,·,Open until 9:00 pm,₱,Delivery,·,Iconic fast-food burger & fries chain,
Sbarro,4.1,(69),Italian,"Luz -Level 2, Paseo Ciudad Ayala Center, Cebu Business Park","""Good food. They serve big sizes of meals.""",·,Open until 9:00 pm,,,,Fast-food chain for pizza & pasta,
McDonald's,4.2,(438),Fast Food,Ouano Avenue,Dine-in,·,Open until 12:00 am,₱,Delivery,·,Iconic fast-food burger & fries chain,
Pizza Hut,3.8,(61),Pizza,"Pizza Hut Parkmall Cebu, Alfresco 2, Unit 19 Parkmall, Ouano Avenue","""Love the food and customer service. They cook upon ordering so all ...""",·,Open until 9:00 pm,₱₱,,,Casual pizza chain with wide selection,
Jollibee,3.8,(214),Fast Food,"L1, SKYRISE Beta, Samar Loop",Dine-in,·,Open until 11:00 pm,₱,Delivery,·,Fast-food chain with Filipino flavors,
Andoks,4.0,(86),Fast Food,"Mabolo, M. J. Cuenco Avenue, 6000, Cebu City, Cebu",Dine-in,·,Open until 10:00 pm,,,,Iconic fast-food burger & fries chain,
Ngohiong Express,3.2,(11),Takeout Restaurant,"Cebu GCL Building, J. Panis St",Dine-in,·,Open until 9:00 pm,,Takeaway,·,Quick stop for familiar Chinese fare,
Biaños Pizza,4.0,(165),Pizza,"Ground Floor J King Building J Luna, Corner Guibilondo St",Dine-in,·,Open until 9:00 pm,₱,Takeaway,·,Casual pizza chain with a kids' fun zone,
Bintana Coffee House,4.5,(171),Filipino,181K Elizabeth Pond St,Dine-in,·,Open until 9:00 pm,₱₱,Takeaway,·,,
Flapperz Unlimited Wings & Pork,4.4,(11),Restaurant,President Aguinaldo Street,Dine-in,·,Open until 10:00 pm,,,,,Temporarily closed
Chooks To Go,4.1,(11),Takeout Restaurant,Gorordo Ave,Dine-in,·,Open until 9:00 pm,₱,Takeaway,·,,
Wellnessland Vegan Cafe and Health Food Store,4.3,(54),Vegetarian cafe and deli,"Wellnessland Building, 314 Sikatuna St","""I give it five stars cause we didn't have wait long to get our food.""",·,Open until 10:00 pm,,,,Casual pizza chain with wide selection,Temporarily closed
Dimsum Break,4.0,(28),Fast Food,168 Park Mall Dr,Dine-in,·,Open until 10:00 pm,₱₱,Delivery,·,,Temporarily closed
Mang Inasal,3.7,(296),Fast Food,2 General Maxilom Ave,Dine-in,·,Open until 5:00 pm,₱,,,Iconic fast-food burger & fries chain,
Chowking,3.9,(235),Fast Food,"Chatswood Residences, A. S. Fortuna St","""The",·,Open until 7:00 pm,₱,delivery,,Iconic fast-food burger & fries chain,Temporarily closed
Jollibee,3.8,(111),Fast Food,"i2 Bldg, Jose Maria del Mar St",Dine-in,·,Open until 10:00 pm,₱,Delivery,·,Fast-food chain with Filipino flavors,Temporarily closed
Dimsum Break IT Park,3.7,(91),Dim Sum,,Dine-in,·,Open until 9:00 pm,₱₱,,,Fast-food chain with Filipino flavors,
Sunburst Fried Chicken,3.7,(175),Chicken,"Ground Floor, One Mango, General Arcadio M, General Maxilom Ave",Dine-in,·,Open until 12:00 am,,Delivery,·,,
McDonald's,3.6,(49),Fast Food,"SM City Cebu, Juan Luna Ave Ext",Dine-in,·,Open until 10:00 pm,₱,Delivery,·,Iconic fast-food burger & fries chain,
Jollibee,4.1,(130),Fast Food,A. Borromeo St,Dine-in,·,Open until 9:00 pm,₱,Delivery,·,Fast-food chain with Filipino flavors,
Army Navy Burger + Burrito,4.2,(174),Fast Food,"Metro, W Geonzon St","""You can order online and they",·,Open until 9:00 pm,₱₱,deliver,,Iconic fast-food burger & fries chain,
Mr. A Bar & Restaurant,4.1,(792),Restaurant,"Nivel Hills, Busay, Lahug,",Dine-in,·,Open until 2:00 am,₱₱,Delivery,·,Fast-food chain for pizza & pasta,
Lopena's Pizza House,4.3,(19),Pizza Delivery,North Coastal Road,Dine-in,·,Open until 11:00 pm,,Takeaway,·,Iconic fast-food burger & fries chain,
Midori Bento,3.8,(61),Delivery Restaurant,"A109 North Annex Rd, Paradise Village, Banilad,",Dine-in,·,Open until 4:00 pm,,,,Casual pizza chain with wide selection,
Pizza Hut Gaisano Cebu,3.2,(9),Pizza,"Pizza Hut Gaisano Cebu, Unit 114-115 Gaisano Country Mall",Dine-in,,Open until 9:00 pm,₱₱,,·,Casual pizza chain with wide selection,
Ribpublic Diner,4.2,(13),Restaurant,"SM City Cebu, 3rd flr",Dine-in,·,Open until 10:00 pm,,,,Iconic fast-food burger & fries chain,
세가족 족발,3.2,(11),Delivery Restaurant,31-b-1 M. L. Quezon Ave,Dine-in,,Open until 9:00 pm,,,·,Quick stop for familiar Chinese fare,
