section-result-title,section-result-details,section-result-location,section-result-info,section-result-info 2,cards-rating-score,section-result-num-ratings,e0HygkTYhQy__attribute-content,e0HygkTYhQy__attribute-content 2,e0HygkTYhQy__attribute-content 3,section-result-description
Cebu Groceries,Supermarket,"Gorondo Avenue, Kinasang-an, Pardo",0949 717 5231,,,,,,,
Gargar & Co.,Grocery store,3 Torquoise St,,Open until 10:30 pm,,,,,,
The Marketplace,Supermarket,"Ayala Mall, B1, Acc-EBB1, 6000 Archbishop Reyes Ave",(032) 262 0680,Open until 9:00 pm,4.3,(528),"""very clean and convenient to buy",groceries,". Complete items also""",
Gloria's Store,Grocery store,23 J. Solon Dr,,Open until 10:00 pm,5.0,(1),,,,
Grupo,Grocery store,"2nd Floor I2 Building, Jose Maria del Mar Street, Asiatown IT Park, Lahug",(032) 318 0433,,,,,,,
Wellcome Supermarket,Supermarket,"Go Home Bldg, 341 F. Cabahug St",(032) 261 0914,,4.2,(113),"""",Groceries,"are there in a small convenience store.""",
Green Place 24 Hours Convenience Store,Supermarket,No. 51 Juana Osmeña St,(032) 254 1939,,,,,,,
SM Supermarket,Supermarket,"SM City Cebu, Juan Luna Ave. Corner Cabahug And Kaoshiung St.",(032) 233 9072,Open until 9:00 pm,4.2,(712),"""It would be better if the cashiers have assistants to pack up",groceries,"...""",
Robinsons Supermarket - Base Line Center,Supermarket,"Base Line Center, Juana Osmeña St",(02) 8395 5299,Open until 9:00 pm,4.4,(161),"""Well organized for people who want to buy",groceries,"with safety.""",
J 'N C Mini Mart,Grocery store,"L.B Bldg. V. Rama Avenue, corner Guadalajara",4165984,,,,,,,
Robinsons Supermarket Fuente Cebu,Supermarket,"Lower G/F, Robinsons Cebu Fuente, Osmeña St.,, Osmeña St",(032) 256 0212,Open until 9:00 pm,3.8,(72),"""A great place to buy",groceries,", its well managed, clean and great ...""",
Robinsons Supermarket,Supermarket,"Banilad Town Center, Gov. M. Cuenco Ave",(032) 344 1389,Open until 9:00 pm,4.2,(194),"""Good for",groceries,". Has fresh fruits and vegetables section.""",
JY Supermarket,Supermarket,Gorordo Ave,(032) 232 7245,Open until 7:45 pm,3.7,(308),"""They are already familiar with me since i do my",groceries,"almost ...""",
Big+Plus Mart,Korean grocery store,Salinas Dr,(032) 239 1095,,4.0,(174),"""... we can't conviently find in our conventional shops or",groceries,"and ...""",Source for Asian groceries & home goods
Winnia Products International,Spice store,"Room 2B 2nd level Yusing Bldg 103, 013 F. Ramos St",0917 322 0262,Open until 7:00 pm,4.5,(26),,,,
Cebu Chinese Foods Management Corporation,Grocery store,G. Gaisano St,(032) 416 6388,,,,,,,
Machiya Mart,Grocery store,"102 TPE Building Governor, Gov. M. Cuenco Ave",(032) 344 0355,Open until 10:00 pm,4.1,(130),"""Your ultimate sources of Japanese products and",groceries,".""",
Society Grocery,Supermarket,G.Y. Dela Serna St,(032) 340 8424,,,,,,,
Cebu Mini Mart,Supermarket,Osmeña Boulevard,(032) 255 4308,,,,,,,
Options 24 Convenience Store,Grocery store,Aznar Road Urgello Street,(032) 255 4713,,5.0,(1),,,,
Rustan's Supermarket,Supermarket,"R. Arcenas St., Arcenas Estate, Banawa, Cebu City 6000",(032) 262 6201,Open until 9:00 pm,4.4,(52),"""The downside it's pricey compared to other",groceries,"""",
Landers Superstore,Supermarket,"23 Minore Park, Cardinal Rosales Ave. cor Pope John Paul II Ave (formerly J, Luna Ave",(032) 265 5500,Open until 9:00 pm,4.4,"(2,438)","""... best bet to get quality",groceries,", some organic produce, and home ...""",
Da Region Vii Young's International Traders Incorporation,Supermarket,"62 to 64, Plaridel Street",(032) 232 7104,Open until 9:00 pm,4.3,(528),"""very clean and convenient to buy",groceries,". Complete items also""",
Benten Japanese Grocery,Supermarket,219 A. S. Fortuna St,(032) 514 7973,Open until 10:00 pm,1.5,(4),,,,
Fooda Kasambagan,Supermarket,F. Cabahug St,(032) 260 1959,Open until 7:00 pm,4.1,(455),"""I like doing",groceries,"here instead of the bigger stores because it's ...""",
Metro Wholesale Mart,Supermarket,"Century Bldg Colon Corner, Pedro Pablo Pelaez",(032) 236 8390,Open until 9:00 pm,4.0,(32),"""",Groceries,"are there in a small convenience store.""",
Young's International Traders Incorporated,Grocery store,62-64 Plaridel Street,(032) 253 2365,,,,,,,
Supermarket,Supermarket,"One Pavilion Mall, 22 R. Duterte St. Banawa",(032) 239 8888,Open until 9:00 pm,3.8,(19),"""It would be better if the cashiers have assistants to pack up",groceries,"...""",
SM Hypermarket,Supermarket,"J Centre Mall, A.S. Fortuna Street corner V. Albano Street, Bakilid Extension",(02) 8395 5299,Open until 9:00 pm,4.1,(146),"""A small but good place to shop for",groceries,"especially ...""",
Fooda Saversmart Mango,Supermarket,General Maxilom Ave,(032) 253 3912,Open until 7:00 pm,3.9,(490),"""If you want great value of",groceries,"..this is the place..""",
Ong Eng Chan Store,Supermarket,S. Osmeña Street,(032) 340 8282,Open until 9:00 pm,3.8,(72),"""A great place to buy",groceries,", its well managed, clean and great ...""",
South Sea Product Sales,Grocery store,263 Tres de Abril St,Open until 9:00 pm,(032) 344 1389,4.2,(194),"""Good for",groceries,". Has fresh fruits and vegetables section.""",
Super Metro Hypermaket,Grocery store,138 Colon St,(032) 254 2106,Open until 9:00 pm,4.2,(130),"""Good quality and low price",groceries,".""",
Winnia Products International,Spice store,"Room 2B 2nd level Yusing Bldg 103, 013 F. Ramos St",0917 322 0262,Open until 7:00 pm,4.5,(26),"""... we can't conviently find in our conventional shops or",groceries,"and ...""",Source for Asian groceries & home goods
HCB Enterprise,Supermarket,24 Rizal Avenue Ext,(032) 262 1450,Open until 7:00 pm,4.5,(26),,,,
"Cebu South International Traders, Ltd.",Grocery store,6014 A. S. Fortuna St,(032) 582 6814,,,,,,,
