web-scraper-order,web-scraper-start-url,main,main-href,banner-src,title,contact,reviewer_name,reviewer_date,reviewr_text,reviewer_image-src,pages,pages-href
"1591022045-4472","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","Top of Cebu","https://www.yelp.com/biz/top-of-cebu-cebu-city?osq=Restaurants","","Top of Cebu","+63-32-5160718","[{""reviewer_name"":""Keith A.""},{""reviewer_name"":""Marco R.""},{""reviewer_name"":""Caitlin M.""},{""reviewer_name"":""Sivilay T.""},{""reviewer_name"":""Tawny T.""},{""reviewer_name"":""Kartik K.""}]","[{""reviewer_date"":""4/19/2019""},{""reviewer_date"":""11/7/2019""},{""reviewer_date"":""10/28/2019""},{""reviewer_date"":""3/12/2019""},{""reviewer_date"":""3/13/2019""},{""reviewer_date"":""10/27/2018""}]","","https://s3-media0.fl.yelpcdn.com/bphoto/q2uEojmCiiloIhAP2LdQ3Q/168s.jpg","",""
"1591021914-3936","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","Bollywood Tandoor","https://www.yelp.com/biz/bollywood-tandoor-cebu-city?osq=Restaurants","https://s3-media0.fl.yelpcdn.com/bphoto/_5H_v2j2xAuzbWsT0uaxZg/l.jpg","Bollywood Tandoor","+63-922-8899679","[{""reviewer_name"":""Jhon Ehdzel B.""},{""reviewer_name"":""Fred J.""}]","[{""reviewer_date"":""11/17/2018""},{""reviewer_date"":""8/18/2017""}]","","","",""
"1591021939-4000","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","Minnan Chinese Cuisine","https://www.yelp.com/biz/minnan-chinese-cuisine-cebu-city?osq=Restaurants","","Minnan Chinese Cuisine","+63-32-4181817","[{""reviewer_name"":""Grace G.""},{""reviewer_name"":""Sexy S.""}]","[{""reviewer_date"":""2/5/2018""},{""reviewer_date"":""12/5/2018""}]","This place is Amazing. I'm traveling from the USA and was in is high desire for lobster and accidentally found it, based on a referral from Jezeyel a common employee at Ipar's which was another great find. Yay. So happy.","","",""
"1591020869-2280","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","Washoku J","https://www.yelp.com/biz/washoku-j-banilad?osq=Restaurants","","Washoku J","+63-917-7736026","[{""reviewer_name"":""Cynthia Q.""},{""reviewer_name"":""Sheena Y.""},{""reviewer_name"":""john b.""},{""reviewer_name"":""Toyo M.""}]","[{""reviewer_date"":""5/31/2018""},{""reviewer_date"":""3/30/2018""},{""reviewer_date"":""5/29/2018""},{""reviewer_date"":""11/27/2015""}]","Had lunch here with my girl. The gyoza was great start so we ordered another..  and followed by Udon which was excellent.  All very reasonable too. Will be back with the kids as they love Japanese food.","","8","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=210"
"1591021598-3393","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","Casa Verde","https://www.yelp.com/biz/casa-verde-cebu-city-2?osq=Restaurants","","Casa Verde","casaverdecebu.com","[{""reviewer_name"":""Jay K.""},{""reviewer_name"":""Thunder H.""},{""reviewer_name"":""Joe T.""},{""reviewer_name"":""Joey R.""},{""reviewer_name"":""Ray J.""},{""reviewer_name"":""Dale E.""},{""reviewer_name"":""Sheika G.""},{""reviewer_name"":""Jodie S.""},{""reviewer_name"":""Monz S.""}]","[{""reviewer_date"":""7/24/2016""},{""reviewer_date"":""2/3/2019""},{""reviewer_date"":""5/31/2019""},{""reviewer_date"":""9/17/2015""},{""reviewer_date"":""8/22/2017""},{""reviewer_date"":""8/8/2016""},{""reviewer_date"":""6/11/2016""},{""reviewer_date"":""1/20/2016""},{""reviewer_date"":""6/30/2017""}]","Affordable, huge portions. Similar to Applebee's in the states. Service was good. Food was decent. Nothing outstanding to really rave about, or complain about.","","3","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=60"
"1591021211-2775","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","Taitong Steamer Foods","https://www.yelp.com/biz/taitong-steamer-foods-mandaue-city?osq=Restaurants","","Taitong Steamer Foods","+63-2-2390023","[{""reviewer_name"":""Toyo M.""}]","[{""reviewer_date"":""7/4/2016""}]","This place is obscure at its best. While walking in the rain, I came across this place hoping to have a hot cup of tea.
Upon looking at the menu, I started with bola-bola siopao. After realizing it tasted good and how I imagine chinese restaurant food should taste, I proceeded with the Hong Kong Noodles and that also tasted good. Prices seem high for a home in the wall place, but it tasted good. I haven't had good chinese food in a while except maybe for tsay cheng at the grand majestic convention center which is kinda upscale.","","6","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=150"
"1591020895-2328","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","Neo Neo BBQ Grill","https://www.yelp.com/biz/neo-neo-bbq-grill-ramos?osq=Restaurants","https://s3-media0.fl.yelpcdn.com/bphoto/1lbRcmdTnb224r-StrlopQ/o.jpg","Neo Neo BBQ Grill","+63-32-5208168","[{""reviewer_name"":""Toyo M.""},{""reviewer_name"":""Bruce K.""}]","[{""reviewer_date"":""4/1/2016""},{""reviewer_date"":""4/5/2019""}]","","","8","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=210"
"1591021277-2848","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","Shawarma","https://www.yelp.com/biz/shawarma-cebu-city?osq=Restaurants","https://s3-media0.fl.yelpcdn.com/bphoto/RcPSYPJYMZUf2qkhenpfQA/o.jpg","Shawarma","null","[{""reviewer_name"":""PatrickJ T.""}]","[{""reviewer_date"":""8/10/2019""}]","","","5","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=120"
"1591021981-4152","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","Tim Ho Wan","https://www.yelp.com/biz/tim-ho-wan-cebu-city?osq=Restaurants","","Tim Ho Wan","+63-2-6545160","[{""reviewer_name"":""Phil S.""},{""reviewer_name"":""Marissa S.""},{""reviewer_name"":""Toyo M.""},{""reviewer_name"":""Cynthia Q.""},{""reviewer_name"":""Tracy N.""},{""reviewer_name"":""Ray J.""}]","[{""reviewer_date"":""3/2/2018""},{""reviewer_date"":""10/1/2018""},{""reviewer_date"":""3/25/2017""},{""reviewer_date"":""5/31/2018""},{""reviewer_date"":""6/19/2017""},{""reviewer_date"":""8/22/2017""}]","Expectation vs reality. I expected more, sorry but it was just ok for me. Although the pork bun was exquisite, the rest of what we ordered was just mediocre. But still its a must try restaurant.","","",""
"1591020730-2036","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","Veranda Restobar","https://www.yelp.com/biz/veranda-restobar-mandaue-city?osq=Restaurants","https://s3-media0.fl.yelpcdn.com/bphoto/TPIGMeM1W8tA55XXKa9QSw/l.jpg","Veranda Restobar","null","[{""reviewer_name"":""Alan S.""},{""reviewer_name"":""Charles H.""}]","[{""reviewer_date"":""12/28/2018""},{""reviewer_date"":""1/27/2020""}]","","","9","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=240"
"1591020653-1943","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","Cafe Dessart","https://www.yelp.com/biz/cafe-dessart-cebu-city?osq=Restaurants","https://s3-media0.fl.yelpcdn.com/bphoto/SM-ClXdRVzplk9tFeQgOSw/o.jpg","Cafe Dessart","cafedessart.com","[{""reviewer_name"":""Toyo M.""}]","[{""reviewer_date"":""7/5/2019""}]","","","9","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=240"
"1591020977-2449","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","McDonald’s","https://www.yelp.com/biz/mcdonalds-cebu-city-4?osq=Restaurants","","McDonald's","mcdonalds.com.ph","[{""reviewer_name"":""PatrickJ T.""}]","[{""reviewer_date"":""8/2/2019""}]","","https://s3-media0.fl.yelpcdn.com/bphoto/CQ8VDr2zhYg1hQTEMmN7Ng/168s.jpg","7","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=180"
"1591021843-3756","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","AA BBq","https://www.yelp.com/biz/aa-bbq-cebu-city?osq=Restaurants","","AA BBq","null","[{""reviewer_name"":""Anneke D.""},{""reviewer_name"":""Thu N.""},{""reviewer_name"":""Gee F.""},{""reviewer_name"":""Trina T.""},{""reviewer_name"":""Mike M.""},{""reviewer_name"":""Stephen B.""}]","[{""reviewer_date"":""3/1/2017""},{""reviewer_date"":""12/15/2016""},{""reviewer_date"":""12/17/2018""},{""reviewer_date"":""10/15/2017""},{""reviewer_date"":""2/4/2018""},{""reviewer_date"":""7/23/2017""}]","","https://s3-media0.fl.yelpcdn.com/bphoto/_1xAOWnl5Kj_nLcLNy5fMA/168s.jpg","2","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=30"
