section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-description,GLOBAL__gm2-caption,GLOBAL__gm2-caption 2,GLOBAL__gm2-caption 3,e0HygkTYhQy__attribute,section-result-info,section-result-header-container,section-result-location
The Beverly Boutique Business Hotel,4.1,(165),3-star hotel,Relaxed hotel with a restaurant,Free parking,Free Wi-Fi,Free breakfast,·,,,
Main Hotel and Suites,4.1,(299),3-star hotel,Informal hotel with dining & a lounge,Free breakfast,,,·,,,
Cebu Guest House - Fuente,3.2,(102),2-star hotel,,Free Wi-Fi,,,·,Temporarily closed,,
Quest Hotel and Conference Center - Cebu,4.3,"(2,827)",3-star hotel,Informal lodging with dining & a pool,Pool,Free Wi-Fi,,·,,,
bai Hotel Cebu,4.6,"(4,187)",3-star hotel,Refined lodging with a rooftop pool,Pool,Spa,Free parking,·,,,
OYO 208 Anika Suites,4.3,(52),Hotel,,Free Wi-Fi,,,·,Temporarily closed,,
Islands Stay Hotels,3.2,(115),2-star hotel,,Free parking,,,·,Temporarily closed,,
Radisson Blu Cebu,4.5,"(2,921)",5-star hotel,High-end pick with a lavish outdoor pool,Pool,Spa,Free parking,·,,,
Crown Regency Hotel & Towers,3.8,"(2,187)",4-star hotel,,Pool,Spa,Free parking,·,Temporarily closed,,
Waterfront Hotel & Casino Cebu City,4.3,"(4,438)",4-star hotel,Grand hotel with a casino & 24/7 dining,Pool,Spa,Free parking,·,,,
Bayfront Hotel Cebu,4.1,"(2,284)",3-star hotel,Casual lodging with dining & water views,Spa,Free parking,Free Wi-Fi,·,,,
Moriyama Hotel,4.5,(11),Hotel,,,,,·,Temporarily closed,,
Cebu Downtown Hotel,3.9,(29),Hotel,,Free Wi-Fi,,,·,Temporarily closed,,
Escario Central Hotel,4.2,(184),2-star hotel,,Free parking,Free Wi-Fi,,·,Temporarily closed,,
Seda Ayala Center Cebu,4.3,"(1,274)",4-star hotel,,Pool,Spa,Free parking,·,Temporarily closed,,
ABC Hotel Cebu,4.2,(505),3-star hotel,,Free parking,Free Wi-Fi,,·,Temporarily closed,,
GV Tower Hotel,3.5,(388),3-star hotel,,Free parking,Free Wi-Fi,,·,Temporarily closed,,
The Henry Hotel Cebu,4.4,(445),4-star hotel,,Pool,Spa,Free parking,·,Temporarily closed,,
