section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-description,section-result-info,section-result-action href,section-result-action-icon src,section-result-action-text,section-result-info 2
Mactan-Cebu International Airport,3.5,"(2,079)",International airport,Lapu-Lapu Airport Rd,Airport with nearby lodging & gaming,(032) 340 2486,http://mciaa.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Old air strip,,,Airport,,,,,,,
Domestic Terminal Operations Division Office - Mactan Cebu City International Airport,3.7,(29),Airport,"Mactan Cebu International Airport, Airport Road",,(032) 340 2486,,,,
MCIA Terminal International Arrivals,3.7,(3),International airport,"Mactan Cebu International Airport, Airport Arrival Rd",,,,,,
Runway 4-22 Mactan Int'l Airport,,,Airport,,,,,,,
Mactan Cebu International Airport Terminal 2,3.7,(69),International airport,,,,https://www.mactancebuairport.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
MCIA Domestic Departures,4.0,(21),International airport,"Mactan Cebu International Airport, Airport-Departure Rd",,,,,,
Asturias Airstrip,,,Airstrip,6042,,,,,,
Mandarine Airlines - Mactan - Cebu City International Airport,2.5,(2),Airport,"Mactan Cebu International Airport, Airport Road",,(032) 340 2736,,,,
MCIA Domestic Arrivals,4.0,(1),International airport,"Mactan Cebu International Airport, Airport Arrival Rd",,,,,,
"Mactan-Cebu International Airport, Terminal 2, International Departing and Arriving Flights",5.0,(1),Airport,Terminal Building Access Road,,(032) 494 7000,https://mactancebuairport.com/passengers/flights/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
"Mactan-Cebu International Airport (CEB), Domestic Departing and Arriving Flights",,,Domestic airport,Lapu-Lapu Airport Rd,,,,,,
Airtropolis Consolidator Philippines Incorporated,4.0,(2),Airport,A C Cortes Avenue,,(032) 420 2350,,,,
Professional Air Maintenance Service,5.0,(2),Airport,7 General Aviation Rd,,,,,,
"Mactan-Cebu Airport (CEB), International Terminal 2",,,International airport,Mactan Airport Rd,,,,,,
Asiana Airlines - Mactan - Cebu City International Airport,4.5,(2),Airport,"Mactan Cebu International Airport, Airport Road",,,,,,
Asian Spirit,,,Airport,Mactan Cebu International Airport,,(032) 341 2553,,,,
New Bacolod-Silay International Airport,4.0,(256),International airport,Airport Road,,(034) 435 2448,http://www.bacolodsilay.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Santa Fe Airport,4.8,(30),Airport,National Road,,0923 875 1689,,,,
Panglao International Airport,3.8,(280),International airport,,,,,,,
Old Bacolod City Domestic Airport,5.0,(1),Domestic airport,,Airport with nearby lodging & gaming,(032) 340 2486,,,,
Hilongos Airport,3.9,(7),Domestic airport,,,,,,,
Bacolod-Silay Airport Building,4.4,(28),Airport,,,(032) 340 2486,,,,
Camotes Airstrip,1.0,(1),Airstrip,Unnamed Road,,,,,,
Maasin Airport,5.0,(5),Domestic airport,,,,,,,
Ubay Community Airport,4.3,(4),Airport,,,,,,,
Mactan-Cebu International Airport Authority (MCIAA),2.7,(47),Government office,Lapu-Lapu Airport Rd,,(032) 340 0228,http://mciaa.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Shangrila Helipad,,,Heliport,,,,,,,
Ormoc Airport,4.1,(21),Domestic airport,,,(032) 340 2736,,,,
Casay Airstrip,4.5,(4),Airstrip,Natalio B.Bacalso S National Hwy,,,,,,
Bago City Airport,5.0,(1),International airport,,,+62 21 3857970,,,,
Former Cebu Pacific Terminal,,,Domestic airport,,,,,,,
SO Private Wharf,4.0,(2),Heliport,Tañon Strait,,(032) 420 2350,,,,
Dumaguete–Sibulan Airport,3.7,(161),Airport,,,(035) 225 0900,,,,
Civil Aviation Authority of the Philippines - Bacolod Airport,5.0,(2),Airport,"Bacolod Airport, Bacolod City, Negros Occidental",,(034) 212 3343,http://www.caap.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Mactan Cebu International Airport Terminal,3.4,(78),Bus station,,,,,,,
Mactan Cebu Int'l. Airport Pay Parking Lot,4.2,(20),Parking lot,,,(032) 494 7000,,,,
MyBus Airport Terminal,3.7,(20),Bus and coach company,,,(034) 435 2448,,,,
Three Thirty Airstrip,4.8,(30),Airstrip,Three Thirty Airstrip,,0977 195 2124,,,,
Bus to airport,3.0,(1),Transportation service,C.D.Seno,,,,,,
Waterfront Airport Hotel & Casino Mactan,3.8,(12),Bus stop,,Airport with nearby lodging & gaming,(032) 340 2486,,,,
Philippine Airlines - Dumaguete Airport Ticket Office,3.4,(26),Domestic airport,"Shaman Inc., Dumaguete Airport, Barangay Adan-an, Sibulan, Dumaguete City, 6201, Negros Oriental",,(035) 225 4266,https://www.philippineairlines.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Tigerair Philippines,1.0,(3),Airline,"Mactan Cebu International Airport, Airport Pepartore Rd",,(032) 340 2486,,,,
Iloilo International Airport,4.2,(383),International airport,"Iloilo Airport Access Road,Cabatuan 5031,Iloilo",,(033) 320 8058,,,,
JINAIR,2.5,(4),Airline,"Mactan International Airport, Airport-Departure Rd",,(032) 494 7666,http://www.jinair.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Cebu Pacific Air. Com,2.8,(40),Airline,"Mactan Cebu International Airport, Airport-Departure Rd",,(032) 341 2550,http://www.cebupacificair.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
Sicogon Island International Airport,4.0,(1),Airport,,,(032) 340 0228,,,,
Philippines Airlines Check In,1.5,(2),Airline,Mactan Cebu International Airport - Domestic Departures,,,,,,
T1 Domestic Arrival Pick Up,4.1,(21),Public parking space,"MCIA Domestic Arrivals, Mactan Cebu International Airport, Airport Arrival Rd",,(032) 340 2736,,,,
Asian Aerospace Corporation Mactan Hangar,4.2,(5),Aviation consultant,"Lot 8, General Aviation Area, Mactan-Cebu International Airport, General Aviation Rd",,(02) 8555 5888,http://www.asianaerospace.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Air Busan,5.0,(1),Airline,Airport-Departure Rd,,(032) 268 0892,http://www.airbusan.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Air Asia Zest,2.1,(39),Airline,"Mactan Cebu International Airport, Airport-Departure Rd",,(032) 340 2486,http://www.airasia.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closing soon: 5:00 pm
Cathay Pacific,2.8,(9),Airline,"Mactan Cebu International Airport, Airport-Departure Rd",,(032) 341 0225,http://www.cathaypacific.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Flyseair.com,3.7,(161),Airline,"Mactan Cebu International Airport, Airport-Departure Rd",,(035) 225 0900,,,,
Korean Air,3.3,(6),Airline,Airport-Departure Rd,,(032) 340 5431,http://www.koreanair.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Air Freight 2100 Incorporated,3.4,(78),Courier service,"U-Freight Building, Mactan International Airport Cargo Complex, Airport Road",,(032) 341 2121,http://www.air21.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Cargo Haus,5.0,(1),Freight forwarding service,"Cargohaus Building, Airport Road, Mactan Cebu International Airport, Mactan",,(032) 340 0201,,,,
Sea Air / Tiger Airways Check In,3.7,(20),Airline,Cebu Mactan Airport Ground Level - Domestic Departures,,(034) 435 2448,,,,
Philippine Airlines,4.2,(138),Airline ticket agency,"101-108, The QC Pavillion, Gorordo Ave",,(032) 260 5635,http://www.philippineairlines.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 7:00 pm
Fedex Express Airfreight 2100 Incorporated,3.0,(1),Transportation service,"2nd Floor U Freight Building, Airport Road, MCIAA Complex",,(032) 340 9996,,,,
AIR ISLAND TOURS,3.8,(12),Aircraft rental service,"Mactan Cebu International Airport, General Aviation Rd",Airport with nearby lodging & gaming,0922 855 5574,http://airislandtour.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Ocean Jet Fast Ferries,3.0,(1),Freight forwarding service,"Asia Travel Hotels Resorts Air Ticketing Tours Packages Reservations, Lobby, Waterfront Airport Hotel, 1 Airport Road",,(032) 341 2035,http://www.oceanjet.net/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
AP Cargo Logistics Network Corporation,2.4,(54),Transportation service,888 A. C. Cortes Ave,,(032) 344 3209,http://apcargo.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Rapid Air Freight Incorporated,4.2,(383),Freight forwarding service,"Airport Road, MCIAA Compound",,(02) 8527 9923,,,,
Sipalay Airport (San Jose Airstrip),5.0,(1),Airstrip,,,(032) 494 7666,,,,
Avia tours,2.8,(40),Airline,"General Aviation Area, Mactan-Cebu International Airport, Pajac",,(032) 341 2268,,,,Open until 9:00 pm
Kunawarra Logistics Incorporated,4.0,(1),Freight forwarding service,"Door No. 5 Galco Building, Mactan International Airport Cargo Compex, Airport Road",,(032) 234 1779,,,,
Passi City Airport,1.0,(1),International airport,,,,http://www.transaire.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
AP Cargo Cebu Galco Branch,4.0,(1),Freight forwarding service,Galco Building,,(032) 340 2736,http://apcargo.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Departure and Arrivals Yellow Taxi Bay,1.0,(1),Taxi service,"Terminal 1, Mactan Cebu Int'l. Airport",,(02) 8555 5888,,,,
Cathay Pacific Airways,3.3,(18),Ticketing area,"Ayala Life-FGU Center, 703 Mindanao Ave. Cor. Biliran Road",,1800 1 110 2720,http://www.cathaypacific.com/cx/en_PH.html,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closing soon: 4:30 pm
Saferide Car Rental and Tours,4.2,(117),Car rental agency,Jose L Briones Street,,0917 540 0159,https://www.saferide.ph/cebu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closing soon: 5:00 pm
Stamm International Corporation - Cebu,2.8,(9),Freight forwarding service,"2/F, Room 201, Lilang's Center, Airport Road, Pajo Street",,(032) 340 3178,http://www.stamm.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
JDiaz Tourist Transport Services,3.7,(161),Transportation service,Lapu-Lapu Airport Rd,,0917 486 9445,,,,
Cebu Pacific Authorized Wholesale Agency,2.1,(8),Airline,"SM Seaside City, South Coastal Road Corner Mambaling Ext. South Road Properties",,(032) 340 5431,,,,
Wwwe Lapulapu Drop Center,3.4,(78),Courier service,"Marina Mall, Lapu-Lapu Airport Road, Lapu-Lapu",,(032) 494 0054,,,,
"Sky Freight Forwarders, Inc. - Cebu Office",5.0,(1),Freight forwarding service,"2nd Floor Rapid Building, Airport Road, Mactan, Lapu-Lapu City, Cebu",,(032) 236 3786,http://www.skyfreight.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Inland Corporation,3.7,(20),Customs broker,"2F CHI-Rapid Building, MCIAA Complex, Airport Road",,(032) 260 0961,http://www.inland.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 5:30 pm
Civil Aviation Authority Of The Philippines - Bacolod-Silay Airport,5.0,(1),Aviation training institute,,,(034) 435 2081,http://www.caap.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Opens at 8:00 am
AP Cargo Tagbilaran Airport Branch,3.0,(1),Freight forwarding service,"Airport Road, 47 Benigno Aquino Ave",,0910 516 8248,http://apcargo.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
MyBus Terminal,4.3,(689),Bus ticket agency,,Airport with nearby lodging & gaming,0922 855 5574,http://www.facebook.com/MyBusPh,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Grab Driver Center - Cebu,3.8,(24),Transportation service,"Maxwell Hotel Annex Bldg. 2nd Floor, N Escario St",,(032) 236 4100,https://www.grab.com/ph/driver/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 6:00 pm
Biliran Airfield,3.7,(3),Domestic airport,Biliran Circumferential Rd,,(032) 344 3209,,,,
