section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-info,section-result-info 2,section-result-action href,section-result-action-icon src,section-result-action-text
HSBC Philippines,4.0,(47),Bank,"G/F Philamlife Center Cebu Building, Cardinal Rosales Avenue, corner Samar Loop",Open until 4:00 pm,(032) 234 4180,https://www.hsbc.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Cebu Federation of Rural Banks Incorporated,,,Bank,M.J. Cuenco Avenue,,(032) 232 5745,,,
Bank of Commerce,3.0,(2),Bank,888 A. S. Fortuna St,Open until 4:00 pm,,,,
"UCPB Savings Bank, Incorporated",,,Bank,"TPE Building, Gov. M. Cuenco Ave",,(032) 416 0813,,,
PNB Philippine National Bank,2.8,(6),Bank,"TGU Tower, G/F, Jose Maria del Mar St",Open until 4:00 pm,(032) 410 6155,http://www.pnb.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
RCBC Savings Bank - P del Rosario,5.0,(1),Savings bank,Pantaleon del Rosario St,Open until 4:30 pm,(032) 255 6182,https://www.rcbcsavings.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Pen Bank,5.0,(2),Bank,A. S. Fortuna St,Open until 4:00 pm,(032) 345 0680,https://penbank.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Pen Bank,,,Bank,Natalio B. Bacalso Ave,,(032) 272 8695,http://www.penbank.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Enterprise Bank Inc.,,,Bank,Cebu S Rd,,(032) 491 4172,http://www.enterprisebank.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
City Savings Bank - Head Office Branch,2.5,(2),Bank,Osmeña Blvd,Open until 5:30 pm,(032) 411 8500,https://citysavings.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Sugbuanon Rural Bank,4.3,(3),Bank,"Barba Press Building, 715 Osmeña Blvd",Open until 4:00 pm,(032) 253 2840,http://www.facebook.com/pages/Sugbuanon-Rural-Bank-Osmena-Branch/463453657048407,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Bank Of Commerce,3.0,(2),Bank,"Cebu Fuente Building, 2 B. Rodriguez St",Open until 4:00 pm,(032) 253 1951,,,
Robinsons Bank,5.0,(2),Bank,General Maxilom Ave Ext,Open until 4:00 pm,(032) 231 5030,http://www.robinsonsbank.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Philippine National Bank,5.0,(1),Bank,"National Highway, Tabunok",Open until 5:00 pm,(032) 272 6434,http://www.pnb.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Asia United Bank,1.0,(1),Bank,"Units 3,4,5,6, Harrison Place, corner Urgello Street, Osmeña Blvd",Open until 4:00 pm,(032) 239 1099,https://www.aub.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Citystate Savings Bank,,,Savings bank,"G/F Fortune Life Bldg.,, Osmeña Blvd",Open until 4:30 pm,(032) 254 5193,,,
Robinsons Bank,,,Bank,"Ground Floor Robinsons Cybergate Cebu, Don Gil Garcia Street, corner J Llorente Street, Capitol Site",,(032) 236 0271,,,
Rural Bank of Cebu,,,Bank,Cebu S Rd,,,,,
Security Bank,3.3,(7),Bank,"Tipolo Square, Lopez Jaena St",,(032) 345 0564,https://www.securitybank.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"ATM - UCPB Savings Bank, Incorporated",,,ATM,"UCPB Building, Osmeña Boulevard",,(032) 253 1258,,,
