web-scraper-order,web-scraper-start-url,info,info-href,name,address,contact,contactother,fax,website,rate,reviews,reviewer_name,reviewer_date,reviewer_rate,reviewer_text,title_description,pages,pages-href
"1593600681-128","https://www.businesslist.ph/philippines-business-search/what:hotel/where:Cebu","San Remigio Beachclub Resort Cebu","https://www.businesslist.ph/company/196297/san-remigio-beachclub-resort-cebu","San Remigio Beachclub Resort Cebu","Baybay Tambungon San Remigio, Cebu City, Cebu, Philippines","63 32 2310382","63 32 4224070","null","null","null","null","[]","[]","[]","[]","San Remigio Beachclub Resort Cebu is located in Cebu City, Philippines. Company is working in Hotels business activities.","19","https://www.businesslist.ph/philippines-business-search/19"
"1593600792-156","https://www.businesslist.ph/philippines-business-search/what:hotel/where:Cebu","Lamisa Ug Aparador","https://www.businesslist.ph/company/99991/lamisa-ug-aparador","Lamisa Ug Aparador","V. Rama Avenue corner Lucio Lopex Drive, Cebu City, Cebu, Philippines
View Map","(032) 261-2348
(032) 261-2340","6332261 2349","www.lamisaaparador.com","www.lamisaaparador.com","null","null","[]","[]","[]","[]","LAMISA UG APARADOR TRADING SERVICES (LuA) is an offspring of Rattan Center International, Inc. (RCII) a firm engaged in manufacturing and export of fine quality furnishings for more than a quarter century. The LuA division was created to go back to where we began that is, to serve the local Philippine market.","3","https://www.businesslist.ph/philippines-business-search/3"
"1593600927-194","https://www.businesslist.ph/philippines-business-search/what:hotel/where:Cebu","Moalboal Tropics","https://www.businesslist.ph/company/299335/moalboal-tropics","Moalboal Tropics","Brgy. Paramayon, Poblacion East, Moalboal, Cebu, Cebu City, Cebu, Philippines
View Map","032 4748543","09399167709","www.facebook.com/moalboaltropics.com","www.facebook.com/moalboaltropics.com","null","null","[]","[]","[]","[]","Newly built hotel-resort in the center town of Moalboal, Cebu where everything is within reach. Accessible to famous tourist spots just like Kawasan Falls, canyoneering, white beach, and whale shark watching. Be adventurous with different water activities like snorkeling, diving and canyoneering. Witness the amazing ""sardines run"". Be greeted with colorful fishes, rare corals and sea creatures which can be found here in Moalboal.



Every rooms in the hotel are fully air conditioned, has LED cable tv, hot or cold shower, linens, towels. Free Wi-Fi and wide parking are offered. We warmly welcome you and be our guest.","",""
"1593600842-169","https://www.businesslist.ph/philippines-business-search/what:hotel/where:Cebu","Costabella Tropical Beach Hotel","https://www.businesslist.ph/company/138925/costabella-tropical-beach-hotel","Costabella Tropical Beach Hotel","Buyong Mactan Lapu-Lapu City, 6015, Cebu
View Map","+63 32 238 2700
+63 32 495 1000","+63 32 238 2705","costabellaresort.com","costabellaresort.com","null","null","[]","[]","[]","[]","Costabella Tropical Beach is a beachfront resort hotel in Cebu that lies on the scenic coastline of Mactan Island in Southern Philippines. Just a short distance from Cebu City, with warm tropical weather, good swimming, nice dive spots, and a variety of outdoor activities, the Resort Hotel in Cebu of Costabella offers island holiday essentials.","2","https://www.businesslist.ph/philippines-business-search/2"
"1593600685-129","https://www.businesslist.ph/philippines-business-search/what:hotel/where:Cebu","Allson's Inn Cebu","https://www.businesslist.ph/company/196309/allsons-inn-cebu","Allson's Inn Cebu","128 General Echavez Street, Cebu City, Cebu, Philippines","63 32 2325640","63 32 2323268","null","null","null","null","[]","[]","[]","[]","Allson's Inn Cebu is located in Cebu City, Philippines. Company is working in Hotels business activities.","19","https://www.businesslist.ph/philippines-business-search/19"
"1593600879-179","https://www.businesslist.ph/philippines-business-search/what:hotel/where:Cebu","Badian Island Resort and Spa","https://www.businesslist.ph/company/85527/badian-island-resort-and-spa","Badian Island Resort and Spa","Cebu Capitol Commercial Complex-A N. Escario Street , 6000, Cebu
View Map","63 32 25 3642
63 32 475 1101 to 05
63 32 416 6159","+63 (32) 475 11 01","badianhotel.com","badianhotel.com","null","null","[]","[]","[]","[]","The natural beauty of the island - with its picturesque location just off the Southwest Coast of Cebu - warmly embraces its visitors on their arrival. Here, the resort’s lush palms speckle the private sandy beach that slowly slips into the azure lagoon. A white tongue of sand whisks you out into an inspiring world between heaven and ocean. Fishing outriggers slip silently past the enchanting silhouette of the Mountains of Cebu, an atmosphere worth more than ten thousand words.","",""
"1593600921-192","https://www.businesslist.ph/philippines-business-search/what:hotel/where:Cebu","Bal Tours","https://www.businesslist.ph/company/139306/bal-tours","Bal Tours","143 Upper Ground Level JCenter Mall 165 A.S. Fortuna St. 6014 Mandaue City/Cebu, Mandaue, Cebu, Philippines
View Map","63 32 343 8525","63 32 343 8526","www.bal-tours.ph","www.bal-tours.ph","null","null","[]","[]","[]","[]","If you're travelling outside the Philippines, we can provide you with excellent products and services to suit your travel needs. Either alone or with a group, for business or leisure, BAL Tours manage every detail of your trip and we design special tour programs to meet your exacting requirements.","",""
"1593600737-142","https://www.businesslist.ph/philippines-business-search/what:hotel/where:Cebu","Sole E Mare Beach Resort","https://www.businesslist.ph/company/129154/sole-e-mare-beach-resort","Sole E Mare Beach Resort","Panagsama Beach, Moalboal, Cebu
View Map","(032) 474-3132","63 32 474 3132","www.soleemare-cebu.com","www.soleemare-cebu.com","null","null","[]","[]","[]","[]","Excellent scuba diving, a relaxed ambience, fine dining - this is what you can expect at Sole e Mare Beach Resort here in Moalboal on the island of Cebu in the Philippines. The Sole e Mare Beach Resort caters foremost to the active scuba diver, snorkeler and water sport enthusiast.","3","https://www.businesslist.ph/philippines-business-search/3"
"1593600709-136","https://www.businesslist.ph/philippines-business-search/what:hotel/where:Cebu","Tonros Apartelle","https://www.businesslist.ph/company/130292/tonros-apartelle","Tonros Apartelle","Gorordo Avenue, Cebu City, Cebu, Philippines","(032) 231-5201","null","null","null","null","null","[]","[]","[]","[]","Hotels","19","https://www.businesslist.ph/philippines-business-search/19"
"1593600873-177","https://www.businesslist.ph/philippines-business-search/what:hotel/where:Cebu","Beverly Boutique Hotel","https://www.businesslist.ph/company/138856/beverly-boutique-hotel","Beverly Boutique Hotel","F. Manalo Street, 6000, Cebu
View Map","(6332)254 8570","(6332) 254 8578","beverlyboutiquehotel.com","beverlyboutiquehotel.com","null","null","[]","[]","[]","[]","The Beverly Boutique Business Hotel, formerly known as Eddie’s Hotel, is conveniently located in Cebu’s vibrant business commercial and shopping district. We are only minutes away from Cebu’s shopping malls, leisure spots, entertainment centers, churches and business facilities.","2","https://www.businesslist.ph/philippines-business-search/2"
