section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-info,section-result-action href,section-result-action-icon src,section-result-action-text,section-result-info 2
Shell,4.0,(61),Gas station,"Osmeña Blvd Or Jones Ave, Cor Uytengsu St",(032) 253 6279,https://find.shell.com/ph/fuel/10022010-sh-pres-osmena-cebu-city,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Geminie Gas Station,3.8,(16),Gas station,Talamban Rd,,,,,
Bellcebu Fuel Express (Petron),3.6,(22),Gas station,Pope John Paul II Ave,(032) 231 1487,http://www.petron.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 5:00 pm
2010,3.8,(17),Gas station,Cebu Veterans Dr,(032) 417 2454,,,,
Shell,4.0,(36),Gas station,N Escario St,(032) 254 9979,https://find.shell.com/ph/fuel/10050280-sh-escario-capitol-church,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Phoenix Gas Station,3.6,(10),Gas station,,,,,,Open until 11:00 pm
Shell,4.1,(63),Gas station,"Fronting Nfa, Gov. M. Cuenco Ave",0917 322 5268,,,,
Shell,4.1,(42),Gas station,"Edison St, Cor Salinas Dr",(032) 233 4027,https://find.shell.com/ph/fuel/10022076-sh-salinas-edison-cebu,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Petron Gas Station - Banawa,4.2,(19),Gas station,R. Duterte St,,,,,
Phoenix,2.9,(7),Gas station,H Abellana,,http://www.phoenixfuels.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
RePhil Gas Station,4.0,(8),Gas station,"N Bacalso cor Katipunan, Natalio B. Bacalso Ave",,,,,
Petron,3.7,(11),Gas station,D. Jakosalem St,,http://www.petron.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Phoenix Gas Station,,,Gas station,V Rama Ave,,,,,
Phoenix Fleet Gas Station,,,Gas station,,,,,,
Bumble V Gas Station,,,Gas station,H Abellana,,,,,Open until 11:00 pm
Petron,3.6,(33),Gas station,"Canduman, 6114, H Abellana",,,,,
Shell,4.1,(26),Gas station,F. Cabahug St,(032) 266 2926,https://find.shell.com/ph/fuel/11945675-sh-f-cabahug-cebu-city,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Easy Gas Convennience Station,4.0,(1),Gas station,M J Cuenco Avenue,(032) 231 4274,,,,
Gasoline,,,Gas station,96 Ouano Private Rd,,,,,
Petron,,,Gas station,Lopez Jaena St,,,,,
Petron,4.0,(61),Gas station,Lopez Jaena St,(032) 253 6279,,,,
Phoenix Gas Station,3.8,(16),Gas station,Hernan Cortes St,,,,,
"Total (Ouano, Cebu)",4.0,(18),Gas station,Ouano Avenue,0917 708 2335,http://www.totaloil.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 5:00 pm
Caltex,3.4,(10),Gas station,Candido Padilla St,(032) 417 2454,https://www.caltex.com/ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
PTT Gas Station,3.6,(28),Gas station,Cebu South Coastal Rd,(032) 254 9979,http://www.pttphils.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Shell,3.8,(5),Gas station,M. J. Cuenco Ave,(02) 878 8888,https://find.shell.com/ph/fuel/10022021-sh-mj-cuenco-carreta-coss,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 11:00 pm
Caltex,4.4,(10),Gas station,115 Pope John Paul II Ave,0917 322 5268,https://www.caltex.com/ph/en.html,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
Petron,3.8,(9),Gas station,"Beside City Soho Condominium, 52-58 B. Rodriguez St",(032) 233 4027,,,,
SKLA Gasoline Station,4.2,(19),Gas station,,,,,,
Phoenix Gas Station 2 - Mambaling,4.0,(1),Gas station,406 Main Rd,,https://www.phoenixfuels.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Shell,3.8,(17),Gas station,J. Luna Avenue,(02) 8232 1755,http://www.shell.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
"Total (Osmena, Cebu)",3.9,(15),Gas station,"Sergio Osmena Jr Blvd, cor F. Cabahug St",0997 669 2130,http://www.totaloil.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Phoenix,3.9,(28),Gas station,South Road Property,(032) 505 0148,http://www.phoenixfuels.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Gasoline Station,3.6,(5),Gas station,Sudlon,,,,,
NEW VENTURES SHELL STATION - MAMBALING,4.5,(30),Gas station,F. Vestil St,(032) 418 1281,https://find.shell.com/ph/fuel/12503029-sh-mambaling-road-cebu,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 11:00 pm
Caltex,3.9,(9),Gas station,"A. Del Rosario Street, Mandaue City, Tipolo, Cebu, M. C. Briones St",(032) 344 4204,https://www.caltex.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Shell,4.4,(19),Gas station,R. Padilla St,(032) 266 2926,,,,
Auto Gas,4.2,(5),Gas station,Imus Ave,(032) 231 4274,http://www.auto-gas.net/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Caltex,3.9,(19),Gas station,,,https://www.caltex.com/content/caltex/ph/en.html,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
PNX Gasoline station,2.0,(1),Gas station,,,,,,
Total (Mandaue),3.8,(6),Gas station,E.O.Perez Street,0932 848 4432,http://www.totaloil.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 10:00 pm
Shell,4.3,(51),Gas station,Cebu S Rd,0916 613 8174,https://www.shell.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Shell,3.7,(7),Gas station,A. S. Fortuna St,0917 322 5268,https://find.shell.com/ph/fuel/10022044-sh-a-s-fortuna-west-coss,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 5:00 pm
Shell,4.4,(30),Gas station,Gov. M. Cuenco Ave,(032) 417 2454,,,,
Shell,4.9,(8),Gas station,Candido Padilla St,0917 322 5268,https://find.shell.com/ph/fuel/10022013-sh-c-padilla-duljo,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Caltex,3.9,(24),Gas station,Gov. M. Cuenco Ave,0917 304 0060,http://www.caltex.com/ph/?utm_source=Google&utm_medium=Map&utm_content=Caltex-Talamban&utm_campaign=GMAP_Philippines,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 11:00 pm
Shell,3.4,(14),Gas station,Cebu South Coastal Rd,0917 326 9800,https://find.shell.com/ph/fuel/11620502-sh-san-roque-talisay-cebu,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
Shell,2.8,(10),Gas station,Natalio B. Bacalso Ave,(02) 3266 9824,https://find.shell.com/ph/fuel/12568171-sh-natalio-bacalso-cebu,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
NEW VENTURES SHELL STATION - MANGO,4.2,(5),Gas station,General Maxilom Ave,,,,,
PTT Gas,4.0,(1),Gas station,Talamban Rd,,,,,
GSC Gasoline Station,3.0,(4),Gas station,F Bas,(032) 261 5123,,,,
Shell,5.0,(2),Gas station,,(032) 273 2145,http://www.shell.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
1st Auto Gas,2.8,(5),Gas station,2 Gorordo Ave,(032) 417 2677,,,,
PTT,3.7,(6),Gas station,Hernan Cortes St,,http://www.pttphils.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Petron,4.2,(10),Gas station,1464 V Rama Ave,(032) 418 1281,http://www.petron.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 11:00 pm
