section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-description,section-result-info,section-result-info 2,section-result-info 3
Ayala Center Cebu,4.4,"(13,753)",Shopping mall,Cardinal Rosales Ave,Large modern mall with a cinema,(032) 888 3777,,
Robinsons Mall,4.4,(64),Shopping mall,Robinsons Mall,,,,
mall,5.0,(1),Shopping mall,"Ayala Mall, Cardinal Rosales Ave",,0999 851 8230,,
SM City Cebu,4.4,"(15,438)",Shopping mall,Juan Luna Avenue,Large shopping mall with a cinema,(032) 231 0557,Open until 9:00 pm,
J Centre Mall,4.1,"(5,129)",Shopping mall,165 A. S. Fortuna St,Mall with a food court & restaurants,0906 406 1880,Open until 9:00 pm,
Parkmall,4.2,"(5,969)",Shopping mall,"Ouano Avenue, Mandaue Reclamation Area",Pet-friendly mall with shops & eateries,(032) 344 7817,Open until 9:00 pm,
Gaisano Country Mall,3.8,"(3,016)",Shopping mall,Banilad Rd,"Large, open-air shopping center",(032) 231 1481,Open until 9:00 pm,
JY Square Mall & Supermarket,3.7,"(2,269)",Shopping mall,1 Salinas Dr,Compact & mellow shopping mall,(032) 232 7235,Open until 7:00 pm,
mall,5.0,(1),Shopping mall,,,0999 851 8230,,
One Pavillion,4.0,(90),Outlet mall,"One Pavilion Mall, 22 R. Duterte St. Banawa",,(032) 239 8888,,
Elizabeth Mall,3.9,"(3,474)",Shopping mall,Natalio B. Bacalso Ave,"Shopping, dining & entertainment complex",(032) 417 7735,Open until 8:00 pm,
Robinson Commercial Complex,4.0,(1),Shopping mall,"Osmeña Blvd, Cebu City",,(032) 255 4784,,
Gaisano Grand Mall - Talamban,3.7,(800),Shopping mall,Kalubihan,,(032) 520 5662,Open until 9:00 pm,
CityMall--Cebu City,4.0,(1),Shopping mall,Natalio B. Bacalso Ave,,,,
"Garden Row, Ayala Malls Central Bloc",,,Shopping mall,Abad St,,,,
SM City Cebu,4.5,"(1,124)",Shopping mall,"Juan Luna Ave. cor. Cabahug and, Kaohsiung St",,(032) 231 3450,Open until 9:00 pm,
Colonnade Mall Cebu,4.1,"(1,454)",Shopping mall,Colon St,"Shopping venue with stores, eats & films",(032) 254 0618,Open until 8:00 pm,
Ayala Malls Central Bloc,4.1,(753),Shopping mall,"Central Bloc, I. Villa St",Modern shopping mall with a cinema,(02) 410 8800,Open until 7:00 pm,
퍼시픽몰(Pacific Mall),,,Shopping mall,Cebu N Rd,,,,
Gaisano Mall Mactan Island,3.8,"(1,875)",Shopping mall,gaisano mactan club mon lapulapu mactan,Bustling department store with eateries,0915 378 3680,Opens at 4:00 pm,Closed
