section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-info,section-result-action href,section-result-action-icon src,section-result-action-text,section-result-info 2
Western Union - Robinsons Saving Bank,5.0,(1),Money order service,"GF, Robinsons Cybergate Cebu, Don Gil Garcia Corner J Llorente Street",0956 764 0026,https://www.robinsonsbank.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Foreign Exchange Dealer,,,Money order service,"Colonade, Colon St. Cor Legaspi St.",(032) 253 0658,,,,
Western Union,2.3,(3),Money transfer service,"Dumos Bldg, Junquera St",(032) 266 0807,http://www.westernunion.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Xoom Global Money Transfer,,,Money transfer service,Gorordo Ave,(032) 417 9654,http://www.xoom.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
MS Money Changer,,,Money order service,Robinsons Cybergate,,,,,
Xoom Money Transfer,,,Money transfer service,"65 Magallanes corner Jakosalem Streets, Cebu City, 6000, Cebu",(032) 253 4739,https://www.xoom.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Xoom Money Transfer,,,Money transfer service,M.J. Cuenco Avenue,(032) 520 1941,http://www.xoom.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Western Union,,,Money transfer service,"Abella Mary ELLFN Lim BLDG, Poblacion I",(032) 417 0071,http://www.westernunion.com.ph/en/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Xoom Money Transfer,,,Money transfer service,"Candelaria Arcade, A.C. Cortes Avenue corner S.B. Cabahug Street, Ibabao",(032) 345 0453,http://www.xoom.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Xoom Money Transfer - BPI Cebu Capitol,,,Money transfer service,Osmena Boulevard corner Jasmin Street,(032) 255 5095,http://www.xoom.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Western Union-Ebiz,5.0,(5),Money transfer service,,0917 834 5327,http://www.westernunion.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 5:00 pm
Western Union - Petnet-Jessever,1.0,(2),Money transfer service,"G/F Jessever Building, Fuente Osmena Boulevard, Cebu City, 6000, Cebu",(032) 232 7184,http://www.westernunion.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 6:30 pm
Money Gram,4.0,(2),Money transfer service,Gorordo Ave,(032) 412 9973,http://global.moneygram.com/ph/en,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Xpress Money,3.0,(1),Money transfer service,"Cebuana Lhuillier Services Corporation, Pei Building, 6 Acacia Street, Barangay Camputhaw",(032) 412 9054,http://www.xpressmoney.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Western Union,,,Money transfer service,Natalio B. Bacalso Ave,,http://www.westernunion.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
USSC Service Store,5.0,(4),Money transfer service,"Gaisano Country Mall, Gov. M. Cuenco Ave",(032) 416 2889,http://www.ussc.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Western Union,3.0,(3),Money transfer service,"Maria Cristina Bldg, Fuente Osmena",(032) 412 5303,http://www.westernunion.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Trans - Fast,,,Money transfer service,302 Gorordo Ave,(032) 414 4954,http://www.transfast.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
USSC Service Store,,,Money transfer service,"Worldwide Bldg., Juan Luna Ext. Corner A. Soriano St.",(032) 410 6856,http://www.ussc.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
