section-result-title,section-result-details,section-result-location,section-result-info,cards-rating-score,section-result-num-ratings,section-result-action href,section-result-action-icon src 2,section-result-action-text 2,section-result-info 2
Coinstar Money Transfer,Money transfer service,"Cebuana Lhuillier, 103 Gorordo Street",(032) 417 9654,,,,,,
Coinstar Money Transfer,Money transfer service,"Smart Wireless Center, Level 2 SM City, North Reclamation Area",(032) 511 2431,,,,,,
Money Gram,Money transfer service,Gorordo Ave,(032) 412 9973,4.0,(2),http://global.moneygram.com/ph/en,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Xpress Money,Money transfer service,"G-Xchange Inc., Globelines Payments and Services Center, 2nd Level, West Entrance",(032) 415 8575,5.0,(1),http://www.xpressmoney.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Coinstar Money Transfer,Money transfer service,"Cebuana Lhuillier, Rose Building, Tres de Abril corner A. Lopez Street, Labangon",(032) 417 9639,5.0,(1),,,,
Coinstar Money Transfer,Money transfer service,"Cebuana Lhuillier, Englis V. Rama Avenue, Guadalupe",(032) 412 9635,,,,,,
Coinstar Money Transfer,Money transfer service,"Banco de Oro, Ground Floor PDI Condominium, Archbishop Reyes Avenue, Banilad",(032) 702 6350,,,,,,
Coinstar Money Transfer,Money transfer service,"Cebuana Lhuillier, Quezon Street, Poblacion, Lilo-An",(053) 585 0094,,,,,,
MoneyGram,Money transfer service,Stall 286A Level 2 West Entry Ayala Center Mall Cebu,(032) 239 0410,1.0,(1),http://global.moneygram.com/ph/tl,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 7:30 pm
MoneyGram,Money transfer service,N Escario St,(048) 433 4110,5.0,(1),http://global.moneygram.com/ph/tl,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 5:30 pm
Xoom Money Transfer,Money transfer service,"65 Magallanes corner Jakosalem Streets, Cebu City, 6000, Cebu",(032) 253 4739,,,https://www.xoom.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Coinstar Money Transfer,Money transfer service,"Metrobank, Borromeo corner Lopez Street",(032) 253 7565,,,,,,
Xoom Global Money Transfer,Money transfer service,Gorordo Ave,(032) 417 9654,,,http://www.xoom.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Coinstar Money Transfer,Money transfer service,"Metrobank, Metrobank Plaza, Osmeña Boulevard",(032) 253 2650,,,,,,
Coinstar Money Transfer,Money transfer service,"UCPB Building, National Highway",(032) 345 2894,,,,,,
MJMP Money Exchange,Money transfer service,Nasipit,(032) 418 0418,,,,,,Open until 5:00 pm
Xoom Money Transfer,Money transfer service,M.J. Cuenco Avenue,(032) 520 1941,,,http://www.xoom.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Xpress Money,Money transfer service,"G-Xchange Inc., Globe Telecom, Level 3, Expansion Building, Ayala Center",0916 778 5041,3.0,(1),http://www.xpressmoney.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
MoneyGram,Money transfer service,4 Nasipit Rd,0916 719 6072,,,http://global.moneygram.com/ph/tl,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 6:00 pm
MoneyGram,Money transfer service,46 Osmeña Blvd,(02) 779 9800,,,http://global.moneygram.com/ph/tl,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 10:00 pm
Western union money transfer,Money transfer service,Gov. M. Cuenco Ave,(032) 417 9654,4.0,(1),,,,Open until 9:00 pm
