section-result-title,section-result-location,section-result-info,section-result-action href,section-result-action-icon src,section-result-action-text,cards-rating-score,section-result-num-ratings,section-result-info 2
Xoom Global Money Transfer,Gorordo Ave,(032) 417 9654,http://www.xoom.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
Xoom Money Transfer,M.J. Cuenco Avenue,(032) 520 1941,http://www.xoom.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
Xoom Money Transfer,"65 Magallanes corner Jakosalem Streets, Cebu City, 6000, Cebu",(032) 253 4739,https://www.xoom.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
Western union money transfer,Gov. M. Cuenco Ave,,,,,4.0,(1),Open until 9:00 pm
Xoom Money Transfer,"Candelaria Arcade, A.C. Cortes Avenue corner S.B. Cabahug Street, Ibabao",(032) 345 0453,http://www.xoom.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
Coinstar Money Transfer,"Metrobank, 117 Gorordo Ave",(032) 231 0712,,,,,,
Coinstar Money Transfer,"Banco de Oro, Ground Floor PDI Condominium, Archbishop Reyes Avenue, Banilad",(032) 702 6350,,,,,,
Coinstar Money Transfer,"Smart Wireless Center, Level 2 SM City, North Reclamation Area",(032) 511 2431,,,,,,
Coinstar Money Transfer,"Cebuana Lhuillier, 103 Gorordo Street",(032) 417 9654,,,,,,
Coinstar Money Transfer,"Cebuana Lhuillier, Englis V. Rama Avenue, Guadalupe",(032) 412 9635,,,,,,
Coinstar Money Transfer,"UCPB, UCPB Building, Salinas Drive, Lahug",(032) 233 2123,,,,,,
Coinstar Money Transfer,"Cebuana Lhuillier, Quezon Street, Poblacion, Lilo-An",(053) 585 0094,,,,,,
Coinstar Money Transfer,"Cebuana Lhuillier, Rose Building, Tres de Abril corner A. Lopez Street, Labangon",(032) 417 9639,,,,5.0,(1),
Coinstar Money Transfer,"Metrobank, Metrobank Plaza, Osmeña Boulevard",(032) 253 2650,,,,,,
Coinstar Money Transfer,"UCPB Building, National Highway",(032) 345 2894,,,,,,
Coinstar Money Transfer,"Metrobank, Borromeo corner Lopez Street",(032) 253 7565,,,,,,
Xoom Money Transfer - BPI Cebu Capitol,Osmena Boulevard corner Jasmin Street,(032) 255 5095,http://www.xoom.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
MJMP Money Exchange,Nasipit,(032) 418 0418,,,,,,Open until 5:00 pm
Coinstar Money Transfer,"Metrobank, South National Road, Bulacao",(032) 272 0425,,,,,,
Coinstar Money Transfer,"Cebuana Lhuillier, Bulacao Pardo",(032) 417 9611,,,,,,
Xpress Money,"G-Xchange Inc., Globelines Payments and Services Center, 2nd Level, West Entrance",(032) 415 8575,http://www.xpressmoney.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,5.0,(1),
Ria money transfer,,(032) 520 1941,,,,,,
Xpress Money,"Cebuana Lhuillier Services Corporation, Pei Building, 6 Acacia Street, Barangay Camputhaw",(032) 412 9054,http://www.xpressmoney.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,3.0,(1),
Sunrise Remittance,"Cebuana Lhuillier, Salinas Drive, Lahug",(032) 233 6118,http://www.sunriseremit.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,4.0,(1),Open until 9:00 pm
MoneyGram,N Escario St,(048) 433 4110,http://global.moneygram.com/ph/tl,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,5.0,(1),Open until 5:30 pm
