section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-info,section-result-info 2,section-result-action href,section-result-action-icon src,section-result-action-text,section-result-info 3
Cebu Port Authority,4.2,(16),Port authority,"CPA Executive Building, CIP Complex, Sergio Osmeña Jr Boulevard",Open until 5:00 pm,(032) 402 4131,http://www.cpa.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
"Passenger Terminal 1, PIER 1",3.7,(86),Port authority,Quezon Blvd,,,http://cebubook.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Cebu Port Authority (PMO - CIP One-Stop Shop),4.1,(7),Port authority,,,(032) 233 3814,http://cpa.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Cebu Port Authority (CPA) - Port Management Division 3,3.8,(10),Ferry service,"Terminal 2 Building, Cebu Baseport, Cebu City, Cebu",,(032) 253 1853,http://www.cpa.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed
Cebu Port Authority,,,Seaport,Don Andres Soriano Ave.,,(032) 344 9211,http://www.cpa.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Cebu Port Authority,3.4,(21),Seaport,Quezon Blvd. Pier 1,,,http://www.cpa.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Toledo City Port,4.2,(21),Seaport,,,,,,,
Port Restaurant,3.7,(290),Filipino,"Waterfront Hotel & Casino, Salinas Dr",Open until 5:00 pm,(032) 516 6018,http://www.port.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Cebu Port Authority (CPA) - Port Management Office 8,3.7,(7),,"Port of Toledo Office, Toledo City Port",,(032) 467 8700,http://www.cpa.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Cordova RORO Port,3.7,(108),Port,"Sitio Camolinas, Barangay Poblacion, Roro Port Road",,0932 703 9048,,,,
Toledo City Port,,,Port authority,,,,,,,
Cebu Port Authority (CPA) - 4th St.,,,Port authority,Gate 4 Quezon Blvd,Open until 5:00 pm,,http://www.cpa.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Cebu Harbor,,,Port authority,,,,,,,
Ouano Port To Tubigon,4.0,(2),Department of Transportation,6014,,,,,,
Catarman Port Lighthouse,,,Port authority,Hilutungan Channel,,,,,,
FF Ruins,,,Port authority,,,,,,,
Port to Valhalla,,,Port operating company,Belgium Street,,,,,,
Marigondon Port,3.6,(5),Seaport,,,,,,,
PCG OUANO sub Station,,,Port authority,,,,,,,
Port Net Transport Services Inc.,,,Freight forwarding service,P. Burgos,,(032) 343 9937,,,,
Manuto River,4.2,(16),River port,,Open until 5:00 pm,0995 021 8420,,,,Temporarily closed
