section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-info,section-result-info 2,section-result-action href,section-result-action-icon src,section-result-action-text
Post Office,3.8,(4),Post office,Osmeña Blvd,Open until 5:00 pm,(032) 412 4432,http://www.phlpost.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
UC Post Office,3.0,(1),Post office,,Open until 5:00 pm,(032) 412 4432,http://www.phlpost.gov.ph/post-office-location.php,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Cebu Central Post Office,1.6,(84),Post office,"Cebu Central Post Office, A. Pigafetta Street",Open until 5:00 pm,(032) 416 3989,https://m.facebook.com/pages/Cebu-Central-Post-Office/172290309529811,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Pardo Post Office,3.0,(1),Post office,A. Gabuya St,,,http://www.phlpost.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Philippine Postal Corporation,2.7,(7),Post office,Osmeña Blvd,Open until 5:00 pm,(032) 412 4432,https://www.phlpost.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Phil Post,3.6,(7),Post office,Bontuyan Street,Open until 5:00 pm,(02) 3410 6874,http://www.phlpost.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Talisay Post Office,3.5,(2),Post office,"City Hall, Fidel Bas",Open until 5:00 pm,(032) 272 3794,https://www.phlpost.gov.ph/post-office-location.php,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Post Office,3.5,(6),Post office,"Gaisano Country Mall, Gov. M. Cuenco Ave",Open until 6:00 pm,(032) 402 9447,,,
Mandaue Central Post Office,2.9,(36),Post office,,Open until 5:00 pm,(032) 414 5467,https://www.phlpost.gov.ph/post-office-location.php,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Post Office,3.7,(3),Post office,Leon Kilat St,Open until 5:00 pm,(032) 520 6265,http://www.philpost.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
PHLPost,1.0,(1),Post office,General Maxilom Ave Ext,Open until 7:00 pm,,https://www.phlpost.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Philippine Postal Corporation,2.3,(37),Post office,A. Pigafetta Street,Open until 5:00 pm,(032) 520 6265,https://www.phlpost.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
babag 2 post office,3.0,(1),Post office,,,,,,
Lapu-Lapu City Post Office,2.4,(31),Post office,Lapu-Lapu City Hall Rd,Open until 5:00 pm,,,,
Minglanilla Post Office,1.8,(9),Post office,,Open until 5:00 pm,(032) 490 0419,,,
Post Office Mandaue City,3.0,(2),Post office,Gomez St,,,https://www.phlpost.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Mandaue City Hall Post Office,,,Post office,116 S.B. Cabahug,Open until 5:00 pm,(032) 345 4952,,,
Philippine Postal Corporation Region 7 Office,1.9,(9),Government office,M. Logarta St,,(032) 422 6344,https://www.phlpost.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Cebu Provincial Capitol,4.4,(54),Local government office,,Open until 5:00 pm,(032) 888 2328,,,
City of Naga Post Office,3.0,(1),Post office,Natalio B. Bacalso S National Hwy,Open until 4:30 pm,,,,
