section-result-title,cards-rating-score,section-result-num-ratings,section-result-cost,section-result-details,section-result-location,section-result-description,section-result-info,e0HygkTYhQy__attribute-content,e0HygkTYhQy__attribute-separator,e0HygkTYhQy__attribute-content 2,e0HygkTYhQy__attribute,section-result-info 2
Shakey's Pizza Parlor,4.2,(491),₱₱,Pizza,F. Cabahug St,Casual pizza chain with a kids' fun zone,Open until 12:00 am,Dine-in,·,Delivery,·,
Yna's Food Haus,4.3,(65),,Takeout Restaurant,J. Abad Santos St Villa Aurora,,Open until 9:00 pm,Dine-in,·,Takeaway,·,
Ekit Food Haus,4.3,(85),,Takeout Restaurant,Tandang Sora St cor Magsaysay St Villa Aurora,,Open until 8:30 pm,Dine-in,·,Takeaway,·,
Ramen Yushoken,4.6,"(1,010)",₱₱₱,Restaurant,"G/F Oakridge Business Park, 880 A. S. Fortuna St",,Open until 11:00 pm,,,,·,
Balamban Liempo,4.1,(60),,Restaurant,"1, E-Zone, F. Cabahug St",,Open until 10:00 pm,Dine-in,·,Takeaway,·,
I Love Bucket Shrimps - Capitol,4.4,(567),₱₱,Seafood,A. Climaco St,,Open until 7:00 pm,,,,·,
House of Lechon,4.2,"(2,464)",₱₱,Filipino,Acacia St,,Open until 10:00 pm,Dine-in,·,Takeaway,·,
Chicka Loka Grill n Bbq,4.3,(22),,Takeout Restaurant,M. J. Cuenco Ave,,Open until 12:00 am,Dine-in,·,Takeaway,·,
Burrow,4.3,(679),₱₱,Chicken Wings,"Unit 4, Tsai Hotel And Residences, Wilson St",,Open until 10:00 pm,Dine-in,·,Takeaway,·,
Pancake House,4.2,(227),₱₱,Family-friendly,"2nd Level, The Terraces Ayala Center Cebu, Biliran Rd",,Open until 11:00 pm,Dine-in,,,·,
Shakey's Pizza Parlor,4.2,(352),₱₱,Pizza,"The Walk Asia Town, Abad St",Casual pizza chain with a kids' fun zone,Open until 1:00 am,Dine-in,·,Delivery,·,
Burger King,4.2,(713),₱₱,Fast Food,F. Cabahug St,,Open until 5:00 pm,,,,·,
TGI FRIDAYS,4.1,(548),₱₱₱,American,"Ground level, The Terraces Ayala Center Cebu, 6000",Lively American restaurant & bar chain,Open until 10:00 pm,,,,·,
Sbarro,4.1,(69),,Italian,"Luz -Level 2, Paseo Ciudad Ayala Center, Cebu Business Park",Fast-food chain for pizza & pasta,Open until 9:00 pm,,,,·,
