web-scraper-order,web-scraper-start-url,link,link-href,name,address,contact,reviewer_name,reviewer_rate,reviews,rate,reviewer_text,open_establishment,type,dishes,cost,services,pages,pages-href
"1592235000-168","https://www.zomato.com/cebu/delivery","Circa 1900","https://www.zomato.com/cebu/circa-1900-lahug-cebu-city","Circa 1900","Casa Uno, Sanjercas Ville Extension Road, Gorordo Avenue, Lahug, Cebu City","+63324173886","[{""reviewer_name"":""Francis Elumbaring Senangote""},{""reviewer_name"":""Rovie’ta""}]","[{""reviewer_rate"":""5.0""},{""reviewer_rate"":""1.0""}]","174 Reviews","4.4","[{""reviewer_text"":""The ambience is very homy and relaxing. Food is really great. Price worthy. Expensive but reasonable.""},{""reviewer_text"":""It’s pretty much basic cooking for a fine dining setting.  an overpriced dish where you can have better serving from restaurants. The condiments choices on pork ribs  are something you can find from grocery stores. The bones less bangus already having stench, not fresh at all. I really didn’t appreciate it""}]","11am – 12midnight (Today)","Casual Dining - Asian, American","Wine","Romantic Dinner","[{""services"":""Home Delivery""},{""services"":""Takeaway Available""},{""services"":""Full Bar Available""},{""services"":""Bottle Service""},{""services"":""Outdoor Seating""},{""services"":""Indoor Seating""},{""services"":""Table booking recommended""},{""services"":""Wifi""}]","",""
"1592234527-117","https://www.zomato.com/cebu/delivery","David's Tea House","https://www.zomato.com/cebu/davids-tea-house-tipolo","David's Tea House","City Time Square, Mantawe Avenue, Tipolo, Mandaue City","+63322680964","[]","[]","27 Reviews","3.7","[{""reviewer_text"":""It’s finally in Cebu. The taste gives me the nostalgia of the Binondo restos. Kinda pricey, but they serve proper chinese food. This is my go to place for anything Dimsum...they serve the right condiment to compliment the dimsum (Finally a siopao sauce and Not Ketchup!!!) unlike any other dimsum places in the City. The congee, noodles and lechon macau is also my favorite and they’re pretty consistent with the food quality over the years too, and regardless of location.""},{""reviewer_text"":""•Amazing service: They still welcomed and served us even if it's 10 minutes til 11pm, which is their closing time. Servers make sure to tell you how many more minutes when you ask for a follow-up. Their service is fast and keen. They are very attentive. We asked for extra peanuts as a joke because we were enjoying it along with the tea they serve after ordering, and they did serve an extra plate of peanuts 👏🏼👏🏼👏🏼\n•Great food: It's a 10/10. I've only tried some of their dimsum and I wasn't even hungry, but the Japanese siomai was hard to pass. We also had David's Congee and that was the best! It's the reason why we come back here. I believe their other dishes are just...read more""}]","Opens tomorrow at 11am","Casual Dining - Chinese","null","","[{""services"":""Home Delivery""},{""services"":""Takeaway Available""},{""services"":""Wine and Beer""},{""services"":""Indoor Seating""},{""services"":""Outdoor Seating""},{""services"":""Buffet""},{""services"":""Wifi""},{""services"":""Table booking recommended""}]","4","https://www.zomato.com/cebu/delivery?page=4"
"1592234972-165","https://www.zomato.com/cebu/delivery","Anzani","https://www.zomato.com/cebu/anzani-lahug-cebu-city","Anzani","Panorama Heights, Nivel Hills, Lahug, Cebu City","+63322327375","[{""reviewer_name"":""Chantal Nunez""},{""reviewer_name"":""Saikiran Kelleti""}]","[{""reviewer_rate"":""3.0""},{""reviewer_rate"":""5.0""}]","107 Reviews","4.3","[{""reviewer_text"":""""},{""reviewer_text"":""Great customer service. We had a reservation at 10pm on valentines day but we were stuck in traffic for almost 2 hours and when we called the restaurant they waited for us and accommodated us 5 mins before closing. When our friends informed them that they were going to prank us at the restaurant, they even helped them hide and participated in it. The food, especially their wine collection, and ambience is wonderful and I recommend this restaurant to anyone who wants to have a good time. The staff was really friendly.""}]","11:30am – 2:30pm, 5:30pm – 12midnight (Today)","Fine Dining, Wine Bar - Mediterranean","Wine Cellar, Pasta, Whole Wheat Spaghetti, Ravioli, Pizza","Romantic Place","[{""services"":""Home Delivery""},{""services"":""Full Bar Available""},{""services"":""Wifi""},{""services"":""Indoor Seating""},{""services"":""Private Dining Area Available""},{""services"":""Outdoor Seating""},{""services"":""Luxury Dining""},{""services"":""Table booking recommended""}]","",""
"1592234340-91","https://www.zomato.com/cebu/delivery","Chateau de Busay","https://www.zomato.com/cebu/chateau-de-busay-busay","Chateau de Busay","Lower Busay, Nivel Hills, Busay, Cebu City","+63324010564","[{""reviewer_name"":""Ianne Jorj""},{""reviewer_name"":""Chbz Chiboi""}]","[{""reviewer_rate"":""5.0""},{""reviewer_rate"":""4.0""}]","28 Reviews","3.7","[{""reviewer_text"":""the view is just excellent, plus the garden setting is a perfect place for any celebration like weddings, debut parties and the like. the location offers great picturesque view also, which means it’s perfect for pictorials. the place is a little bit distant from the city though so you have to have your own transportation or perhaps you can ride a motorcycle from JY square to here. parking space is available. food is a bit pricey but all worth your money. the escargots de bourgogne and the angus beef with salad nicoise is a must-try!""},{""reviewer_text"":""A beautiful place where you can have any type of occassions. Usually famous for weddings because of its overlooking view, fresh air, away from the busy streets & very cold atmosphere during the night (which is good for dates though.. haha!😅).  Aside from that, they provide good food from their kitchen.  Although I often visit there on invitations by friends who are celebrating their occassion, so far the experience there is worth it!😊""}]","Opens tomorrow at 11am","Fine Dining - Asian, Seafood","PHP2100 for two people (approx.) Without alcohol","","[{""services"":""Home Delivery""},{""services"":""Takeaway Available""},{""services"":""Full Bar Available""},{""services"":""Outdoor Seating""},{""services"":""Wifi""},{""services"":""Indoor Seating""},{""services"":""Free Parking""},{""services"":""Table booking recommended""}]","...","https://www.zomato.com/cebu/delivery?page=6"
"1592234937-162","https://www.zomato.com/cebu/delivery","Mooon Cafe","https://www.zomato.com/cebu/mooon-cafe-lahug","Mooon Cafe","The Walk, IT Park, Lahug, Cebu City","+63325054239","[{""reviewer_name"":""John Santos""},{""reviewer_name"":""QueenCee""}]","[{""reviewer_rate"":""3.0""},{""reviewer_rate"":""5.0""}]","86 Reviews","4.0","[{""reviewer_text"":""I was with colleagues from different countries and all wanted Mexican food for lunch. Good thing Mooon Cafe was close by. We ordered the Nacho Supreme, quesadilla and the chimichanga. Servings were adequate and the food was tasty. Service was fast and the staff were very attentive. A little pricey for lunch for 4 people but at least we got to satisfy our Mexican food cravings.""},{""reviewer_text"":""Really good staff. They always follow up to tellvyou ablut your order. The place is not very spacious but it is alright and they don't close really early which I think is good.\n\nI love the food.""}]","11am – 1am (Today)","Casual Dining - Mexican, Filipino, Asian","Sisig, Chicken Fajita, Calamari, Pizza, Steak, Chips","PHP800 for two people (approx.) Without alcohol","[{""services"":""Home Delivery""},{""services"":""Takeaway Available""},{""services"":""Wine and Beer""},{""services"":""Outdoor Seating""},{""services"":""Serves Cocktails""},{""services"":""Craft Beer""},{""services"":""Indoor Seating""},{""services"":""Wifi""},{""services"":""Bottle Service""},{""services"":""Table booking recommended""}]","",""
"1592234288-82","https://www.zomato.com/cebu/delivery","Mama's Little Secret","https://www.zomato.com/cebu/mamas-little-secret-opao","Mama's Little Secret","V. B. Cabahug, Opao, Mandaue City","+639227606897","[]","[]","12 Reviews","3.6","[]","Opens tomorrow at 4pm","Quick Bites - Burger, Home-made","null","PHP50 for a pint of beer (approx.)","[{""services"":""Home Delivery""},{""services"":""Beer""},{""services"":""Wifi""},{""services"":""Indoor Seating""}]","...","https://www.zomato.com/cebu/delivery?page=6"
"1592234892-158","https://www.zomato.com/cebu/delivery","Yakski Barbeque","https://www.zomato.com/cebu/yakski-barbeque-capitol-site","Yakski Barbeque","268 Don Mariano Cui Street, Capitol Site, Cebu City","+63322543977","[]","[]","96 Reviews","4.3","[{""reviewer_text"":""The staffs were good and service was fast. They offer charging station but with a fee which is reasonable. I really appreciate that even though it's an open space resto, they have a \""no smoking\"" policy.""},{""reviewer_text"":""I really like their dipping sauce""}]","11:30am – 2:30pm, 5pm – 12midnight (Today)","Quick Bites - Filipino, Grill","null","","[{""services"":""Home Delivery""},{""services"":""Takeaway Available""},{""services"":""Beer""},{""services"":""Indoor Seating""}]","",""
"1592234418-104","https://www.zomato.com/cebu/delivery","Double Dough Tango Pizzeria","https://www.zomato.com/cebu/double-dough-tango-pizzeria-4-basak-lapu-lapu-city","Double Dough Tango Pizzeria","Collinwood Market Place, Collinwood Subdivision, Basak, Lapu-Lapu City, Cebu","+639976091121","[{""reviewer_name"":""Eunice Eugene Martinez""},{""reviewer_name"":""Camz Yee""}]","[{""reviewer_rate"":""1.0""},{""reviewer_rate"":""4.0""}]","17 Reviews","3.3","[{""reviewer_text"":""Service is too slow.. Like super slow and i dont like the spaghetti""},{""reviewer_text"":""I decided to try to this pizza place since it is quite trending on facebook and instagram. People have positive comments. The traffic was awful when we went there. We ordered the what people recommended on some reviews, which is the deep dish Chicago pizza. It was so big for a 10-inch size. The taste is yummy but not the type that I want to try again. However, I am curious about the other things on the menu like the calzone and chicken wings.""}]","Opens tomorrow at 2pm","Casual Dining - Pizza, Filipino, Italian","null","Cash only","[{""services"":""Home Delivery""},{""services"":""Takeaway Available""},{""services"":""Beer""},{""services"":""Indoor Seating""},{""services"":""Free Parking""}]","5","https://www.zomato.com/cebu/delivery?page=5"
"1592234501-112","https://www.zomato.com/cebu/delivery","Ryan's Pizzarelli","https://www.zomato.com/cebu/ryans-pizzarelli-capitol-site","Ryan's Pizzarelli","181 F-1 Ma. Cristina Extension, Capitol Site, Cebu City","+63323478827","[]","[]","56 Reviews","4.2","[]","9:30am – 12midnight (Today)","Quick Bites - Pizza","null","PHP600 for two people (approx.)","[{""services"":""Home Delivery""},{""services"":""Takeaway Available""},{""services"":""Indoor Seating""},{""services"":""Wifi""}]","4","https://www.zomato.com/cebu/delivery?page=4"
"1592234505-113","https://www.zomato.com/cebu/delivery","Koreanderia Cupbop","https://www.zomato.com/cebu/koreanderia-cupbop-ramos-cebu-city","Koreanderia Cupbop","Parkway Food Strip, Velez College, F. Ramos Street, Ramos, Cebu City","Not available for this place","[]","[]","38 Reviews","3.8","[{""reviewer_text"":""""},{""reviewer_text"":""Their food is a little too pricey for what you get.\nI like how you have options on how spicy you want your meal to be.\nTheir kimbap is delicious and the sauce that goes with it is great.""}]","Opens tomorrow at 10am","Quick Bites - Korean","null","Cash only","[{""services"":""Home Delivery""},{""services"":""Takeaway Available""},{""services"":""Indoor Seating""},{""services"":""Free Parking""}]","4","https://www.zomato.com/cebu/delivery?page=4"
