web-scraper-order,web-scraper-start-url,link,link-href,name,address,contact,reviewer_name,reviewer_rate,reviews,rate,reviewer_text,open_establishment,type,dishes,cost,services,pages,pages-href
"1592238897-341","https://www.zomato.com/cebu/restaurants","","https://www.zomato.com/cebu/10-dove-street-confectionery-banilad-mandaue-city/info","10 Dove Street Confectionery","Oakridge Business Park, A. S. Fortuna Street, Banilad, Mandaue City","+63324181010","[]","[]","60 Reviews","4.1","[]","Opens at 7am","Bakery - Bakery","null","PHP550 for two people (approx.)","[{""services"":""Home Delivery""},{""services"":""Takeaway Available""},{""services"":""Desserts and Bakes""},{""services"":""Wifi""},{""services"":""Outdoor Seating""},{""services"":""Indoor Seating""}]","2","https://www.zomato.com/cebu/restaurants?page=2"
"1592238772-334","https://www.zomato.com/cebu/restaurants","","https://www.zomato.com/cebu/larsian-barbeque-capitol-site/info","Larsian Barbeque","Don Mariano Cui Street, Capitol Site, Cebu City","Not available for this place","[]","[]","141 Reviews","3.2","[{""reviewer_text"":""Food: Grilled seafoods and meats. Pusô (hanging rice).\n\nPlace: Different stalls with almost the same items on the menu. Location has been renovated so tables and grilling stations are more organized compared to the old one. Be cautious though upon getting your bill as there are times that they add up some items you didn't order. Sum it all up if the amount is correct. You have been warned. \n\nPrice: Affordable.""},{""reviewer_text"":""Food - Must try when visiting the Queen City of the South!\n\nPlace - Located in the heart of Fuente Osmena. Typical ihaw-ihaw place. Different stalls but almost the same items on the menu. Try to look around first before settling on the stall of your choice. Try to haggle as well. \n\nPrice - Affordable. Other's might say prices here are relatively high compared to other ihawan but hey, they have rental obligations and staffs to pay.""}]","24 Hours (Today)","Quick Bites - Filipino, Grill","null","PHP250 for two people (approx.)","[{""services"":""Breakfast""},{""services"":""Indoor Seating""}]","3","https://www.zomato.com/cebu/restaurants?page=3"
"1592238102-296","https://www.zomato.com/cebu/restaurants","","https://www.zomato.com/cebu/soho-park-7-lahug-cebu-city/info","Soho Park","Ground Floor, Asian Premier Residences, Abad Street, Lahug City, Cebu","+63324157715","[]","[]","41 Reviews","3.6","[{""reviewer_text"":""""},{""reviewer_text"":""One server was not accommodating and the other one was fine but she miscalculated our bill. It was an okay experience; the steak was so-so but I don't think I'm coming back. I also think it's too pricey and I could name more restaurants where  I'm willing to pay the same price I spent here.""}]","Opens at 7:30am","Casual Dining - European, International","null","Cash only","[{""services"":""Breakfast""},{""services"":""Wine and Beer""},{""services"":""Craft Beer""},{""services"":""Table booking recommended""},{""services"":""Serves Organic Food""},{""services"":""Vegetarian Friendly""},{""services"":""Indoor Seating""},{""services"":""Kid Friendly""},{""services"":""Wifi""},{""services"":""Vegan Options""},{""services"":""All Day Breakfast""}]","5","https://www.zomato.com/cebu/restaurants?page=5"
"1592238243-303","https://www.zomato.com/cebu/restaurants","","https://www.zomato.com/cebu/bucket-shrimps-capitol-site/info","Bucket Shrimps","Orchid Street, Capitol Site, Cebu City","+639956233060","[{""reviewer_name"":""Dinky""},{""reviewer_name"":""Rox Ulang""}]","[{""reviewer_rate"":""4.0""},{""reviewer_rate"":""5.0""}]","89 Reviews","4.1","[{""reviewer_text"":""Food tasted well. Buttered shrimp is a must try.""},{""reviewer_text"":""I love the food especially the buttered shrimp. Defenitely will be back!""}]","Opens at 11am","Casual Dining - Filipino, Seafood","Beer","PHP700 for two people (approx.) Without alcohol","[{""services"":""Home Delivery""},{""services"":""Takeaway Available""},{""services"":""Beer""},{""services"":""Indoor Seating""},{""services"":""Wifi""},{""services"":""Table booking recommended""}]","5","https://www.zomato.com/cebu/restaurants?page=5"
"1592237853-285","https://www.zomato.com/cebu/restaurants","","https://www.zomato.com/cebu/yakski-barbeque-capitol-site/info","Yakski Barbeque","268 Don Mariano Cui Street, Capitol Site, Cebu City","+63322543977","[]","[]","96 Reviews","4.3","[]","Opens at 11:30am","Quick Bites - Filipino, Grill","null","","[{""services"":""Home Delivery""},{""services"":""Takeaway Available""},{""services"":""Beer""},{""services"":""Indoor Seating""}]","...","https://www.zomato.com/cebu/restaurants?page=6"
"1592239173-359","https://www.zomato.com/cebu/restaurants","","https://www.zomato.com/cebu/j-co-donuts-coffee-cebu-business-park/info","J.CO Donuts & Coffee","Ground Floor, The Terraces, Ayala Center Cebu, Cebu Business Park, Cebu City","+63324012686","[{""reviewer_name"":""FoodCraving Review""},{""reviewer_name"":""Ohh Poe""}]","[{""reviewer_rate"":""5.0""},{""reviewer_rate"":""5.0""}]","85 Reviews","4.4","[{""reviewer_text"":""Craving for donut I have to try their signature donut the Alcapone. A soft donut topped with belgian white chocolate and sprinkle with slices of almond. The dough is very soft and the sweetness is just enough unlike its competition. The almonds and the white belgian chocolate combine with the donut gives a very pleasant taste.\nAbove it all they also have a very cozy place. Good for hang out or just relax while enjoying a bite of your donut.""},{""reviewer_text"":""This place rocks the house.\nSometimes I'm in the mood for down and dirty donuts Like Mister Donut, but other times you want what almost can be described as gourmet donuts and that is how I would describe Jco.\nGreat place to go visit and to get delivery too on Grab or Foodpanda.\nPricy yes but this isn't just a mere donut it's practically a meal in and of itself.\nSome of the donuts are like a work of art.""}]","Opens at 10am","Bakery - Bakery, Coffee","Donut, Coffee","PHP500 for two people (approx.)","[{""services"":""Takeaway Available""},{""services"":""Desserts and Bakes""},{""services"":""Outdoor Seating""},{""services"":""Wifi""},{""services"":""Indoor Seating""}]","",""
"1592238631-325","https://www.zomato.com/cebu/restaurants","","https://www.zomato.com/cebu/acacia-steakhouse-capitol-site-cebu-city/info","Acacia Steakhouse","Green Valley Subdivision, Acacia Street, Capitol Hills, Capitol Site, Cebu City","+639228052957","[]","[]","106 Reviews","4.6","[{""reviewer_text"":""5 for the steak, consistency was just right,not too chewy. I just wish there was a little bit more done on the presentation. Aesthetics for the price you pay does add to its value. To add, the staff could be tad bit more friendlier. Smile when you enter and smile when you go.""},{""reviewer_text"":""""}]","Opens at 11:30am","Casual Dining - Steak","null","PHP1200 for two people (approx.)","[{""services"":""Home Delivery""},{""services"":""Takeaway Available""},{""services"":""Indoor Seating""},{""services"":""Outdoor Seating""},{""services"":""Wifi""},{""services"":""Table booking recommended""}]","3","https://www.zomato.com/cebu/restaurants?page=3"
"1592237839-284","https://www.zomato.com/cebu/restaurants","","https://www.zomato.com/cebu/starbucks-1-cebu-business-park/info","Starbucks","Ground Floor, The Terraces, Ayala Center Cebu, Cebu Business Park, Cebu City","+63322318456","[]","[]","52 Reviews","4.2","[{""reviewer_text"":""""},{""reviewer_text"":""""}]","Opens at 7am","Café - Coffee","null","PHP550 for two people (approx.)","[{""services"":""Takeaway Available""},{""services"":""Indoor Seating""},{""services"":""Wifi""},{""services"":""Outdoor Seating""},{""services"":""Desserts and Bakes""}]","...","https://www.zomato.com/cebu/restaurants?page=6"
"1592238472-316","https://www.zomato.com/cebu/restaurants","","https://www.zomato.com/cebu/mooon-cafe-lahug/info","Mooon Cafe","The Walk, IT Park, Lahug, Cebu City","+63325054239","[{""reviewer_name"":""John Santos""},{""reviewer_name"":""QueenCee""}]","[{""reviewer_rate"":""3.0""},{""reviewer_rate"":""5.0""}]","86 Reviews","4.0","[{""reviewer_text"":""I was with colleagues from different countries and all wanted Mexican food for lunch. Good thing Mooon Cafe was close by. We ordered the Nacho Supreme, quesadilla and the chimichanga. Servings were adequate and the food was tasty. Service was fast and the staff were very attentive. A little pricey for lunch for 4 people but at least we got to satisfy our Mexican food cravings.""},{""reviewer_text"":""Really good staff. They always follow up to tellvyou ablut your order. The place is not very spacious but it is alright and they don't close really early which I think is good.\n\nI love the food.""}]","11am – 1am (Today)","Casual Dining - Mexican, Filipino, Asian","Sisig, Chicken Fajita, Calamari, Pizza, Steak, Chips","PHP800 for two people (approx.) Without alcohol","[{""services"":""Home Delivery""},{""services"":""Takeaway Available""},{""services"":""Wine and Beer""},{""services"":""Outdoor Seating""},{""services"":""Serves Cocktails""},{""services"":""Craft Beer""},{""services"":""Indoor Seating""},{""services"":""Wifi""},{""services"":""Bottle Service""},{""services"":""Table booking recommended""}]","4","https://www.zomato.com/cebu/restaurants?page=4"
"1592237878-286","https://www.zomato.com/cebu/restaurants","","https://www.zomato.com/cebu/h-cafe-harolds-hotel-lahug-cebu-city/info","H Cafe - Harolds Hotel","Harolds Hotel, Gorordo Avenue Corner Rosal Street, Lahug, Cebu City 6000 6000","+63325057777","[]","[]","48 Reviews","3.9","[{""reviewer_text"":""""},{""reviewer_text"":""""}]","Opens at 6am","Casual Dining - American, European, Asian","null","PHP1200 for two people (approx.)","[{""services"":""Breakfast""},{""services"":""Outdoor Seating""},{""services"":""Table booking recommended""},{""services"":""Group Meal""},{""services"":""Indoor Seating""},{""services"":""Wifi""},{""services"":""Buffet""}]","...","https://www.zomato.com/cebu/restaurants?page=6"
