section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-description,section-result-info,section-result-action href,section-result-action-icon src,section-result-action-text,section-result-info 2,section-result-info 3,e0HygkTYhQy__attribute-content,e0HygkTYhQy__attribute-content 2,e0HygkTYhQy__attribute-content 3
Mactan-Cebu International Airport,3.5,"(2,043)",Airport,Lapu-Lapu Airport Rd,Airport with nearby lodging & gaming,(032) 340 2486,http://mciaa.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,,,
Domestic Terminal Operations Division Office - Mactan Cebu City International Airport,3.7,(29),Airport,"Mactan Cebu International Airport, Airport Road",,(032) 340 2486,,,,,,,,
Runway 4-22 Mactan Int'l Airport,,,Airport,,,,,,,,,,,
Mactan Cebu International Airport Terminal 2,3.4,(54),International airport,,,,https://mactancebuairport.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,,,
Professional Air Maintenance Service,5.0,(2),Airport,7 General Aviation Rd,,,,,,,,,,
MCIA Terminal International Arrivals,3.7,(3),International airport,"Mactan Cebu International Airport, Airport Arrival Rd",,,,,,,,,,
MCIA Domestic Departures,3.8,(19),International airport,"Mactan Cebu International Airport, Airport-Departure Rd",,,,,,,,,,
National Quarantine Office - Mactan - Cebu City International Airport,,,Airport,"Mactan Cebu International Airport, Airport Road",,(032) 340 8121,,,,,,,,
"Mactan-Cebu International Airport, Terminal 2, International Departing and Arriving Flights",,,Airport,Terminal Building Access Road,,(032) 494 7000,https://mactancebuairport.com/passengers/flights/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,,,
Mactan Cebu International Airport (CEB) Terminal 2 - International Departing and Arriving Flights,2.7,(28),International airport,Agunod,,(032) 340 2486,https://mactancebuairport.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,,,
Airtropolis Consolidator Philippines Incorporated,4.0,(2),Airport,A C Cortes Avenue,,(032) 420 2350,,,,,,,,
