section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-info,section-result-info 2,section-result-action href,section-result-action-icon src 2,section-result-action-text 2,section-result-info 3
The One Family Clinic & Laboratory Co.,3.9,(485),Medical clinic,#22 R. Duterte St,Open until 8:00 pm,(032) 261 0643,,,,
LH Prime Medical Clinic Mandaue,3.7,(19),Medical clinic,A. S. Fortuna St,,0917 871 5053,http://www.lhprime.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
HealthFirst Clinic,2.3,(3),Medical clinic,"Level 1, i2 Building, Jose Maria del Mar Street Cebu IT Park",,(032) 236 6986,http://www.healthfirst.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Larida Medical Clinic,,,Medical clinic,,Open until 10:00 pm,(032) 514 0054,,,,
MyHealth Clinic-Cybergate Cebu,2.3,(45),Medical clinic,"3rd Level Robinsons Cybergate Mall, Fuente Osmena, Don Gil Garcia St",Open until 7:00 pm,(032) 268 8502,http://www.myhealth.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
"Good News Medical Clinic, Inc.",5.0,(1),Medical clinic,A.S.Fortuna,,(032) 345 8083,,,,
Friendly Care Clinic,3.7,(17),Medical clinic,Legaspi Ext.,Opens at 7:00 am,(032) 254 7446,https://www.friendlycareclinic.com/cebu-clinic/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed
White Cross Medical Clinic,4.5,(2),Medical clinic,"Room 205 Teodora Building, Osmeña Boulevard, Corner Dionisio Jakosalem St",,(032) 255 0305,https://whitecrossmedicalcliniccebu.business.site/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed today
Abella Clinic,4.0,(1),Medical clinic,Tres de Abril St,,(032) 515 8490,,,,
Dr. Fernando G. Arcibal Medical Clinic,5.0,(1),Medical clinic,Maximo V. Patalinghug Jr. Avenue,Open until 7:00 pm,(032) 512 8658,,,,
LH Prime Medical Clinic (Mactan Airport),4.0,(4),Medical clinic,Matumbo-Pusok Road,,0917 716 1393,http://www.lhprime.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed
Clinic & Laboratory,,,Medical clinic,"Tiangue Rd,Babag-Looc Road",,0906 756 5895,,,,
Medical & Dental Clinic,,,Medical clinic,Colon St,,(032) 253 7401,,,,
AOS Aesthetic Clinic,4.6,(7),Medical clinic,"Rivergate Bldg., General Maxilom Ave",,(032) 520 9998,http://www.aosaesthetic.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
LH Prime Medical Clinic Labangon,3.9,(18),Medical laboratory,"F. Llamas St. Punta Princesa Labangon, Cebu City",,(032) 261 5109,http://www.lhprime.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed
"Aventus Medical Care, Inc. Cebu IT Park Clinic",1.8,(35),Medical clinic,Unit 203 TGU Tower Block 1 Lot 6 & 7 Phase 1 Asia Town,Opens at 7:00 am,(032) 268 8072,,,,Closed
LH Prime Medical Clinic,4.3,(4),Medical clinic,A.S. Fortuna Street,Opens at 6:00 am,(032) 345 3488,http://www.lhprime.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed
Quick Care Medical Clinic,5.0,(1),Medical clinic,Fidel Bas,,,,,,
Tiongson- Lim Medical Clinic,5.0,(2),Medical clinic,V Rama Ave,Open until 7:00 pm,(032) 254 5473,http://limpiredigital.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Maxicare Primary Care Center Clinic,3.0,(2),Medical clinic,,Open until 10:00 pm,(032) 260 9067,http://www.maxicare.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
The One Family Clinic & Laboratory Co.,3.9,(485),Medical clinic,#22 R. Duterte St,Open until 8:00 pm,(032) 261 0643,,,,
LH Prime Medical Clinic Mandaue,3.7,(19),Medical clinic,A. S. Fortuna St,,0917 871 5053,http://www.lhprime.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
HealthFirst Clinic,2.3,(3),Medical clinic,"Level 1, i2 Building, Jose Maria del Mar Street Cebu IT Park",,(032) 236 6986,http://www.healthfirst.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Larida Medical Clinic,,,Medical clinic,,Open until 10:00 pm,(032) 514 0054,,,,
MyHealth Clinic-Cybergate Cebu,2.3,(45),Medical clinic,"3rd Level Robinsons Cybergate Mall, Fuente Osmena, Don Gil Garcia St",Open until 7:00 pm,(032) 268 8502,http://www.myhealth.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
"Good News Medical Clinic, Inc.",5.0,(1),Medical clinic,A.S.Fortuna,,(032) 345 8083,,,,
Friendly Care Clinic,3.7,(17),Medical clinic,Legaspi Ext.,Opens at 7:00 am,(032) 254 7446,https://www.friendlycareclinic.com/cebu-clinic/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed
White Cross Medical Clinic,4.5,(2),Medical clinic,"Room 205 Teodora Building, Osmeña Boulevard, Corner Dionisio Jakosalem St",,(032) 255 0305,https://whitecrossmedicalcliniccebu.business.site/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed today
Abella Clinic,4.0,(1),Medical clinic,Tres de Abril St,,(032) 515 8490,,,,
Dr. Fernando G. Arcibal Medical Clinic,5.0,(1),Medical clinic,Maximo V. Patalinghug Jr. Avenue,Open until 7:00 pm,(032) 512 8658,,,,
LH Prime Medical Clinic (Mactan Airport),4.0,(4),Medical clinic,Matumbo-Pusok Road,,0917 716 1393,http://www.lhprime.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed
Clinic & Laboratory,,,Medical clinic,"Tiangue Rd,Babag-Looc Road",,0906 756 5895,,,,
Medical & Dental Clinic,,,Medical clinic,Colon St,,(032) 253 7401,,,,
AOS Aesthetic Clinic,4.6,(7),Medical clinic,"Rivergate Bldg., General Maxilom Ave",,(032) 520 9998,http://www.aosaesthetic.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
LH Prime Medical Clinic Labangon,3.9,(18),Medical laboratory,"F. Llamas St. Punta Princesa Labangon, Cebu City",,(032) 261 5109,http://www.lhprime.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed
"Aventus Medical Care, Inc. Cebu IT Park Clinic",1.8,(35),Medical clinic,Unit 203 TGU Tower Block 1 Lot 6 & 7 Phase 1 Asia Town,Opens at 7:00 am,(032) 268 8072,,,,Closed
LH Prime Medical Clinic,4.3,(4),Medical clinic,A.S. Fortuna Street,Opens at 6:00 am,(032) 345 3488,http://www.lhprime.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed
Quick Care Medical Clinic,5.0,(1),Medical clinic,Fidel Bas,,,,,,
Tiongson- Lim Medical Clinic,5.0,(2),Medical clinic,V Rama Ave,Open until 7:00 pm,(032) 254 5473,http://limpiredigital.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Maxicare Primary Care Center Clinic,3.0,(2),Medical clinic,,Open until 10:00 pm,(032) 260 9067,http://www.maxicare.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
ActiveOne Clinic,3.0,(4),Medical clinic,Jose Maria del Mar St,Opens at 8:00 am,(032) 236 6986,http://www.activeonehealth.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed
Maayo Medical Clinic,4.4,(39),Medical clinic,"North Park, UN Avenue corner Plaridel Street, Alang-alang",Closing soon: 6:00 pm,(032) 888 2662,http://www.maayomedical.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Sto. Nino Diagnostic Clinic,4.0,(3),Diagnostic center,"A&D Building, B. Rodriguez St",Opens at 8:30 am,(032) 254 9485,,,,Closed
Dr. B-B TIU Medical and Ultrasound Clinic,4.4,(10),Medical clinic,435 J. Alcantara St,Opens at 8:00 am,(032) 416 4956,https://m.facebook.com/drbbtiu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed
Tapang Medical Clinic,5.0,(1),Medical clinic,Babag-Looc Road,Open until 7:00 pm,(032) 268 8502,,,,
Mom and Kids Clinic,4.7,(11),Women's health clinic,"2nd Floor, E&P Arcade, Maximo V. Patalinghug Jr. Avenue, Lapu-Lapu City, Cebu, Maximo V. Patalinghug Jr. Avenue",Closing soon: 6:00 pm,(032) 495 3725,https://www.facebook.com/momandkidstamiya/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Clinic,3.7,(17),Medical clinic,Lawis,Opens at 7:00 am,(032) 495 6606,,,,Closed
MyHealth Clinic - Robinsons Galleria Cebu,4.0,(1),Medical clinic,Robinsons Galleria Cebu,Open until 9:00 pm,(032) 232 1200,http://myhealth.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed today
DE ASIS MEDICAL CLINIC ( Norzel Medical and Diagnostic Clinic ),5.0,(1),Medical clinic,Tagunol St,,(032) 239 0068,,,,Closed today
Urgel Clinic (Family Medicine & Pediatrics),5.0,(1),Medical clinic,"Unit 4 G/F VNU Arcade II, Hernan Cortes St",Reopens at 6:00 pm,(032) 512 8658,,,,Closed
Kim Doctors' Medical Clinic,5.0,(1),Medical clinic,Datag,Open until 10:00 pm,(032) 564 2341,https://www.facebook.com/Kim-Doctors-Medical-Clinic-562913583812344/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed
Dr. Alejandro S. Montejo,5.0,(3),Medical clinic,Poblacion,,(032) 272 3848,,,,
University Clinic,,,Medical clinic,University of San Carlos,Open until 8:00 pm,(032) 230 0100,,,,
Medical Clinic,4.6,(7),Medical clinic,Buhisan Rad,,(032) 381 5631,,,,
LH Prime Medical Clinic Mandaue,3.8,(6),Medical clinic,"A.S. Fortuna Street, Bakilid Mandaue City, Philippines 6014",,(032) 345 3488,http://www.lhprime.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed
Hi-Precision Diagnostics,3.8,(17),Medical clinic,MV Patalinhug Avenue,Opens at 6:00 am,(032) 520 1142,http://www.hi-precision.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed
"Gerry H. Tan, MD Clinic",5.0,(1),Medical clinic,"Room 204, Medical Arts Building 1, Cebu Doctor's University Hospital, Osmeña Boulevard, Cebu City, Cebu",Opens at 6:00 am,(032) 412 4803,http://www.docgerrytan.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed today
Bas Medical Clinic,5.0,(1),Medical clinic,985 Natalio B. Bacalso Ave,,(032) 491 7262,,,,
HP Plus - WES Building,5.0,(2),Medical clinic,"Wes Bldg., J. Llorente St",Opens at 6:00 am,(032) 256 0151,http://hi-precision.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed
Maxicare Healthcare Corporation - Primary Care Center,2.4,(10),Medical clinic,"Lot 5, Block 6, Mindanao Avenue, Cebu Business Park, Ayala",Open until 10:00 pm,0917 828 8423,http://www.maxicare.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Heaven's Eyes Clinic,5.0,(2),Medical clinic,"I, 164 J. Urgello St",Opens at 8:00 am,(032) 360 4105,,,,Closed
Duyongco Maternity Clinic,2.3,(3),Women's health clinic,N. Bacalso National Highway,Closing soon: 6:00 pm,(032) 272 6148,https://www.facebook.com/pages/Duyongco-Maternity-Clinic/436015393200509,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Tang Medical Clinic Tabunok,5.0,(1),Medical clinic,Z-2 849,Open until 8:00 pm,(032) 272 2907,https://tang-medical-clinic-tabunok.business.site/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed
Abella dental care clinic,5.0,(4),Dental clinic,Ompad St,Closing soon: 6:00 pm,(032) 233 7637,,,,Closed
My OPM Clinic - Ray Alivio,5.0,(2),Medical clinic,Robinsons Cybergate,Open until 7:00 pm,0922 385 8373,,,,
Asian Oriental Medical Clinic,5.0,(3),Acupuncture clinic,,Closing soon: 6:00 pm,0917 596 0236,,,,
Tan-Chua Dental Care Clinic,5.0,(2),Dental clinic,"Erlinda Badilles, 481 Kinasang - An",Closing soon: 6:00 pm,(032) 273 3879,,,,Closed
