section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-info,section-result-info 2,section-result-action href,section-result-action-icon src 2,section-result-action-text 2
Talisay City College,4.3,(9),College,Garces St,Temporarily closed,(032) 273 8170,,,
Mandaue City College,5.0,(3),College,"Mandaue City Cultural and Sports Complex, Don Andres Soriano Ave., Centro, Mandaue City",Temporarily closed,(032) 236 5520,http://www.facebook.com/MANDAUECITYCOLLEGE,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Royal Christian College,2.3,(3),College,M. C. Briones St,Temporarily closed,(032) 343 9399,https://www.edukasyon.ph/schools/royal-christian-college,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Lapu-Lapu City College,3.4,(5),Government college,,Temporarily closed,(032) 341 4517,,,
Rizwoods Colleges Authentic Montessori Programs,4.0,(2),College,Pag Utlan,Temporarily closed,0923 946 9291,https://www.facebook.com/Rizwoods-Colleges-Montessori-321354218004671/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Rizwoods Colleges,3.0,(1),College,51 Natalio B. Bacalso Ave,Temporarily closed,(032) 415 5848,https://www.edukasyon.ph/schools/rizwoods-colleges,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Informatics College Cebu,4.0,(9),College,"C.L. Benedicto Bldg., J. De Vera Street",Temporarily closed,(032) 231 0380,https://www.informatics.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
College Of Nursing,,,Nursing school,"University Of The Visayas, Gullas Dr. Gov. M Cuenco Ave",Temporarily closed,(032) 346 9292,http://uv.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
College of Technological Sciences - Cebu,4.3,(11),College,Natalio B. Bacalso Ave,Temporarily closed,(032) 256 1302,,,
Mandaue City College (MCC),2.7,(7),College,H. Abellana St,Temporarily closed,(032) 343 3913,,,
Asian College Of Technology,3.9,(32),College,Pantaleon del Rosario St,Temporarily closed,(032) 238 2380,http://www.act.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Lapu-Lapu City College,5.0,(3),College,"STEC, B. Benedicto St.",Temporarily closed,0933 246 8620,,,
BMC College,,,College,86 Mabini St. Cor. Bonifacio St.,Temporarily closed,(032) 253 7206,,,
College Of Medical Technology,,,College,"Matias, Urgello Street",Temporarily closed,,,,
College Of Technology,,,College,M. J. Cuenco Ave,Temporarily closed,(032) 256 1537,http://www.ctu.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Cebu Eastern College,4.4,(24),College,Leon Kilat St,Temporarily closed,(032) 254 2761,,,
CBD College,3.8,(6),College,"F. Jaca St, Cebu City, 6000 Cebu Blabla",Temporarily closed,(032) 272 7810,https://ched.gov.ph/cbd-college-profile/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Asian College Of Technology,4.0,(8),College,Highway,Temporarily closed,(032) 272 7582,http://www.act.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
College Of HRM,,,College,"Annex UCLM Bldg., A. C. Cortes Ave",Temporarily closed,,,,
Cebu Sacred Heart College,3.0,(6),College,"Lawaan, Talisay City, Cebu",Temporarily closed,(032) 272 4347,https://ched.gov.ph/cebu-sacred-heart-college-profile/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"Cebu Technological University - Cebu City Medical Center, College of Nursing",4.3,(9),Nursing school,17 D. Jakosalem St,Temporarily closed,(032) 256 2523,,,
College Of Arts And Sciences,5.0,(3),College,"Ranulfo Building, 206 F. Ramos Street",Temporarily closed,(032) 253 1871,,,
St. Theresa's College - Institutional Planning Office,2.3,(3),College,"St. Theresa's College, Juana Osmeña Street",Temporarily closed,(032) 256 3165,,,
College Of Commerce Office,3.4,(5),College,"University Of San Jose-Recoletos, Magallanes Street",Temporarily closed,(032) 253 7900,,,
Velez College,4.4,(9),College,41 F. Ramos St,Temporarily closed,(032) 253 1871,http://www.velezcollege.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Saint Louis College - Cebu,4.6,(33),School,,Temporarily closed,(032) 344 4170,https://slccebu.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"Saint Theresa's College, College Dean’s Office/Registrar’s Office",4.0,(9),College,"Saint Theresa's College, Juan Osmeña Street, Ramon Aboitiz Street",Temporarily closed,(032) 253 6339,,,
Benedicto College,2.7,(3),College,"Benedicto, A. S. Fortuna St",Temporarily closed,(032) 422 2700,http://www.benedictocollege.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Rizwoods Colleges,2.9,(9),College,14 Cabreros St,Temporarily closed,(032) 415 5848,https://www.facebook.com/pages/Rizwoods-Colleges/136540639708854,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Consolacion Community College,4.0,(7),Community college,6001 Cebu N Rd,Temporarily closed,(032) 424 8798,https://www.edukasyon.ph/schools/consolacion-community-college,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
University Of The Visayas - College Of Nursing Office,3.9,(32),College,"University Of The Visayas, Colon Street",Temporarily closed,(032) 416 1538,,,
Philippine State College of Aeronautics - Mactan Air Base,4.8,(8),Aviation training institute,,Temporarily closed,(032) 340 5613,https://ched.gov.ph/philippine-state-college-aeronautics-mactan-air-base-profile/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Matias H. Aznar Memorial College of Medicine (MHAM-CM),4.2,(5),College,Elizabeth Pond St,Temporarily closed,(063) 412 2942,,,
College Of Education Office,,,College,"University of San Jose-Recoletos Basak Campus, Cebu South Road",Temporarily closed,(032) 417 9512,http://www.usjr.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
College Of Nursing Deans Secretary Office,,,College,"University of San Carlos - Talamban Campus, Governor M. Cuenco Avenue",Temporarily closed,(032) 343 3006,,,
STI,4.4,(24),College,40 Salinas Dr,Temporarily closed,(02) 8231 4984,http://www.sti.edu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Facilities Management College,3.8,(6),College,Air Port Rd,Temporarily closed,(032) 272 7810,,,
College of Law - University of Cebu Banilad Campus,4.0,(8),School,"University of Cebu Banilad Campus Main Building, Gov. M. Cuenco Avenue",Temporarily closed,(032) 233 8888,,,
Clinic College,,,University,"University Of Cebu Main Campus, Sanciangko Street",Temporarily closed,(032) 255 7777,,,
College of Arts and Sciences,3.0,(6),University,427 H J. Alcantara St,Temporarily closed,(032) 272 4347,,,
