section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-info,section-result-info 2,section-result-action href,section-result-action-icon src,section-result-action-text,section-result-info 3
Beauty Getaway,4.6,(15),Facial spa,"Maryville Place Corner C. Rosal and, Acacia Street",Temporarily closed,0995 615 6448,https://lifeisbeyeeutiful.com/2018/07/10/beauty-getaway-your-tropical-beauty-escape/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
La Reine Beauty Studio,1.0,(1),Beauty salon,India St,Temporarily closed,(032) 350 3164,,,,
Pink Seoul Korean Beauty Salon,4.4,(46),Beauty salon,F. Cabahug St,Temporarily closed,(032) 260 0894,,,,
Beauty & Butter,3.2,(6),Beauty salon,"SM City Cebu, Juan Luna Ave . Cor Cabaaug Any Kaosaiung St .",Temporarily closed,(032) 236 9113,,,,
D' Beauty Wonderland,3.3,(9),Beauty salon,261-A Don Mariano Cui St,Temporarily closed,(032) 256 2730,,,,
Beautilicious House of Beauty,,,Beauty salon,Rizal Ave Ext.,Temporarily closed,,,,,
Sharen's Beauty Land,,,Beauty salon,"Marina, Mactac",Temporarily closed,(032) 494 0493,,,,
Beauty Cclim,4.2,(11),Beauty salon,,Temporarily closed,0905 522 9002,,,,
Beauty Hall,,,Beauty salon,"Unit 33 - Alfresco 1, Park Mall, Ouano Avenue",Temporarily closed,(032) 328 0815,https://www.facebook.com/beautyhallspa,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Marie & Grace Beauty Salon,,,Beauty salon,"Unit 3 P&D Building, Jose Rizal St",Temporarily closed,0998 951 5050,http://marie-grace-beauty-salon.business.site/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Chelsea hair. nails. beauty,4.6,(7),Beauty salon,98 D Gorordo Ave,Temporarily closed,0916 324 5244,,,,
INSTA BEAUTY,,,Beauty salon,"B.M Dimataga St. poblacion lapu-lapu city cebu, Lopez - Jaena St",Temporarily closed,0919 504 0617,,,,
Noemi'S Beauty Care,,,Beauty salon,"Colon, Cebu City",Temporarily closed,(032) 255 7755,,,,
Beauty Plus salon,,,Beauty salon,Poblacion,Temporarily closed,(032) 490 0689,,,,
Mayeng Beauty Salon,,,Beauty salon,Francisco Llamas St,Temporarily closed,,,,,
Beauty and Beyond - City Time Square,3.8,(4),Beauty salon,"2F, Unit B209, City Time Square, Phase 2,",Temporarily closed,(032) 318 2433,http://www.beautyandbeyondphilippines.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Genesa Salon And Beauty Care,,,Beauty salon,409 Basak Pardo Street,Temporarily closed,(032) 415 4763,,,,
EJ's Beauty Salon,,,Beauty salon,,Temporarily closed,4904951,,,,
Lovely Lyn Beauty Salon,,,Beauty salon,"Consuelo Shopping Center, Colon Street",Temporarily closed,(032) 255 8613,,,,
Her Style Beauty Salon,,,Beauty salon,C.M.Cabahug,Temporarily closed,0932 395 3923,,,,
Beauty Getaway,4.6,(15),Facial spa,"Maryville Place Corner C. Rosal and, Acacia Street",Temporarily closed,0995 615 6448,https://lifeisbeyeeutiful.com/2018/07/10/beauty-getaway-your-tropical-beauty-escape/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
La Reine Beauty Studio,1.0,(1),Beauty salon,India St,Temporarily closed,(032) 350 3164,,,,
Pink Seoul Korean Beauty Salon,4.4,(46),Beauty salon,F. Cabahug St,Temporarily closed,(032) 260 0894,,,,
Beauty & Butter,3.2,(6),Beauty salon,"SM City Cebu, Juan Luna Ave . Cor Cabaaug Any Kaosaiung St .",Temporarily closed,(032) 236 9113,,,,
D' Beauty Wonderland,3.3,(9),Beauty salon,261-A Don Mariano Cui St,Temporarily closed,(032) 256 2730,,,,
Beautilicious House of Beauty,,,Beauty salon,Rizal Ave Ext.,Temporarily closed,,,,,
Sharen's Beauty Land,,,Beauty salon,"Marina, Mactac",Temporarily closed,(032) 494 0493,,,,
Beauty Cclim,4.2,(11),Beauty salon,,Temporarily closed,0905 522 9002,,,,
Beauty Hall,,,Beauty salon,"Unit 33 - Alfresco 1, Park Mall, Ouano Avenue",Temporarily closed,(032) 328 0815,https://www.facebook.com/beautyhallspa,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Marie & Grace Beauty Salon,,,Beauty salon,"Unit 3 P&D Building, Jose Rizal St",Temporarily closed,0998 951 5050,http://marie-grace-beauty-salon.business.site/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Chelsea hair. nails. beauty,4.6,(7),Beauty salon,98 D Gorordo Ave,Temporarily closed,0916 324 5244,,,,
INSTA BEAUTY,,,Beauty salon,"B.M Dimataga St. poblacion lapu-lapu city cebu, Lopez - Jaena St",Temporarily closed,0919 504 0617,,,,
Noemi'S Beauty Care,,,Beauty salon,"Colon, Cebu City",Temporarily closed,(032) 255 7755,,,,
Beauty Plus salon,,,Beauty salon,Poblacion,Temporarily closed,(032) 490 0689,,,,
Mayeng Beauty Salon,,,Beauty salon,Francisco Llamas St,Temporarily closed,,,,,
Beauty and Beyond - City Time Square,3.8,(4),Beauty salon,"2F, Unit B209, City Time Square, Phase 2,",Temporarily closed,(032) 318 2433,http://www.beautyandbeyondphilippines.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Genesa Salon And Beauty Care,,,Beauty salon,409 Basak Pardo Street,Temporarily closed,(032) 415 4763,,,,
EJ's Beauty Salon,,,Beauty salon,,Temporarily closed,4904951,,,,
Lovely Lyn Beauty Salon,,,Beauty salon,"Consuelo Shopping Center, Colon Street",Temporarily closed,(032) 255 8613,,,,
Her Style Beauty Salon,,,Beauty salon,C.M.Cabahug,Temporarily closed,0932 395 3923,,,,
Salon De Rose,2.6,(31),Beauty salon,"Ayala Center, Barrio Luz, Bohol Ave",Temporarily closed,(032) 231 7328,http://www.salonderose.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Melomer's Beauty saloon,3.8,(4),Beauty salon,"697 m. Dela Concepcion Street 697 m .dela cocepcion street, 697 m.dela copcepcion street",Temporarily closed,0919 379 0164,,,,
Rhea's Beauty Salon,4.0,(10),Beauty salon,M. L. Quezon Ave,Temporarily closed,0933 133 4638,,,,
