section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-info,section-result-info 2,section-result-action href,section-result-action-icon src 2,section-result-action-text 2
Pink Seoul Korean Beauty Salon,4.4,(46),Beauty salon,F. Cabahug St,Temporarily closed,(032) 260 0894,,,
LA METISSE Salon de Beauté,4.8,(12),Beauty salon,"Unit 121, RainTree Mall, Fuente Osmeña Cir",Temporarily closed,(032) 266 9198,http://www.lametisse.net/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
La Reine Beauty Studio,1.0,(1),Beauty salon,India St,Temporarily closed,(032) 350 3164,,,
Richton Hair Salon Inc.,4.0,(2),Beauty salon,Gaisano Country Mall,Temporarily closed,(032) 234 2973,,,
ZYL Beauty Salon,5.0,(2),Beauty salon,,Temporarily closed,0932 881 3343,,,
Glamuruza Beauty Salon,2.0,(2),Beauty salon,168 Ouano Avenue,Temporarily closed,(032) 239 6289,,,
Eljis Beauty Salon,,,Beauty salon,Natalio B. Bacalso Ave,Temporarily closed,(032) 511 7165,,,
Mercs Hair And Nail Salon,1.0,(1),Beauty salon,,Temporarily closed,,,,
Chulo Hair Salon,4.7,(16),Beauty salon,"Rosedale, LDM Building, 2010 Gov. M. Cuenco Ave",Temporarily closed,(032) 236 6113,https://www.facebook.com/chulohairsalon/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Karen Beauty Salon and Spa,3.8,(4),Beauty salon,785 V Rama Ave,Temporarily closed,(032) 513 3172,,,
Rica's Hair Salon,4.7,(3),Beauty salon,Katipunan St,Temporarily closed,0916 207 8557,http://www.facebook.com/Ricas-hair-salon-labangun-branch-471969792981868,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Joy Hair & Beauty Salon,,,Beauty salon,Saac 1,Temporarily closed,(032) 238 7859,,,
Bridges Salon,4.2,(25),Beauty salon,"9410, The Gallery, Pope John Paul II Ave",Temporarily closed,(032) 233 0023,,,
La Beauty Salon,,,Beauty salon,Hernan Cortes St,Temporarily closed,(032) 344 0592,,,
Charm Me Beauty Salon,4.0,(1),Beauty salon,"Marina Mall, Mactan",Temporarily closed,(032) 495 5197,,,
Clique Hair Nail Salon,4.7,(13),Beauty salon,"Unit 12 Streetscape, Paseo Saturnino, Ma. Luisa Road",Temporarily closed,(032) 520 7767,,,
Grace Beauty Parlo,4.0,(1),Beauty salon,728 M. L. Quezon Ave,Temporarily closed,0923 463 8646,https://www.facebook.com/grace.m.tinapay?fref=ts&ref=br_tf,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Salon De Rose,2.6,(31),Beauty salon,"Ayala Center, Barrio Luz, Bohol Ave",Temporarily closed,(032) 231 7328,http://www.salonderose.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Feel N Salon,,,Beauty salon,Gov. M. Cuenco Ave,Temporarily closed,(032) 416 1182,,,
L Dior Beauty Salon,,,Beauty salon,"Gaisano Country Mal, Camp Lapulapu Road, Banilad",Temporarily closed,(032) 233 1809,,,
Bangs Hair Salon,4.4,(46),Beauty salon,"Level 3, North Wing Area, SM City Cebu, Juan Luna Avenue Extension",Temporarily closed,(032) 236 5201,,,
D'Dreamlooks Dermaclinic Beauty & Wellness Salon,4.2,(5),Beauty salon,"Basement 2, Ayala Center Cebu, Luzon Ave",Temporarily closed,(032) 273 8773,http://www.ddreamlooks.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Ricci Salon,1.0,(1),Beauty salon,"Cebu Doctors University Hospital, Medical Arts Bldg. 1, Door # 1 MP Yap St., Capitol Site",Temporarily closed,(032) 253 8952,,,
Eppo Salon,4.5,(4),Beauty salon,,Temporarily closed,0927 768 8937,,,
D' Beauty Wonderland,3.3,(9),Beauty salon,261-A Don Mariano Cui St,Temporarily closed,(032) 256 2730,,,
Joy da Joy Salon,3.9,(38),Beauty salon,"CIP Bldg, F. Cabahug St",Temporarily closed,0905 228 8091,,,
Piandre Salon,4.3,(33),Beauty salon,"Oakridge Business Park, 880 A. S. Fortuna St",Temporarily closed,(032) 412 1824,http://www.piandre.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
COLORBAR Salon and Day Spa,4.4,(12),Hair salon,"G/F FPN Epic Center, A.S. Fortuna St.",Temporarily closed,(032) 236 8044,https://www.facebook.com/ColorbarSalonCebu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Expose Salon,4.5,(37),Beauty salon,"Unit Q, Crossroads Mall, Gov. M. Cuenco Ave.",Temporarily closed,(032) 231 6550,,,
Carlos Reyes Hair Salon,3.8,(4),Beauty salon,194 Junquera St,Temporarily closed,0932 406 6974,,,
