section-result-title,section-result-details,section-result-location,section-result-info,section-result-info 2,cards-rating-score,section-result-num-ratings,section-result-action href,section-result-action-icon src 2,section-result-action-text 2,section-result-info 3
Botica Nueva,Pharmacy,279 Corner Manauli Lincoln St,Open until 8:00 pm,(032) 253 1653,,,,,,
GV Botica,Pharmacy,"Osmeña Boulevard corner Sanciangko Street, Cebu City, Cebu",Open until 9:00 pm,(032) 253 7978,5.0,(1),http://www.gvhotels.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
GV Botica,Pharmacy,Sangi,,0922 887 0619,,,https://www.facebook.com/pages/GV-Botica/147488421976244,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Botica Crisfila,,"53 Floor Main Store, Calderon, Cebu City, Cebu",,(032) 256 1503,,,,,,
Botica Nuestra Divina Gracia,Drug store,68 Riza Ave Extension,,(032) 418 9573,,,,,,
Botica John,Pharmacy,,,(032) 273 2953,,,,,,
Botica Alze & General Merchandise,Pharmacy,"N. Bacalso Extension corner Tabada, Mambaling",,(032) 418 9548,,,,,,
Lab Botica,Pharmacy,Cor Garfieno St And Tres De Abril,,(02) 7266 0883,,,,,,
Botica John,Pharmacy,Katipunan St,,(032) 412 5000,,,,,,
Botica 2V.J,Pharmacy,1127 V Rama Ave,,,,,,,,
Botica John,Pharmacy,237 Rizal St,,(032) 340 8482,,,,,,
Botica Selco,Pharmacy,26 M. C. Briones St,,(032) 256 1275,,,,,,
Botica Rivera And General Merchandise,Pharmacy,12 Salinas Extension,,,,,,,,
Botica Sagrada Pamilya,Pharmacy,,Open until 10:00 pm,,,,,,,
Botica Micaela & General Merchandise,Pharmacy,260 Tres de Abril St,,,,,,,,
Botica Marcia,Pharmacy,A. Tumulak St,,(032) 340 5833,,,,,,
VSMMC Doh Botica,Pharmacy,B. Rodriguez St,,(032) 253 4423,,,http://www.vsmmc.doh.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Botica St Jude,,"G Y Dela Cerna, Lapu-Lapu City",,(032) 340 8155,,,,,,
Botica Nuestra Senora Divina Garcia,Pharmacy,,,0926 616 2738,,,,,,
Botica Rivera,,34 Tiburcio Padilla St,,(032) 415 5313,,,,,,
Botica Lao,,"98-J M. J. Cuenco, Cebu City, Cebu",Open until 8:00 pm,(032) 232 8364,,,,,,
Botica Medicus,,"Cebu Doctors College, Cebu City",Open until 9:00 pm,(032) 255 4359,5.0,(1),,,,
Botica john pharmacy,Pharmacy,Toledo - Tabunok Rd,0922 887 0619,,5.0,(1),,,,
Botica Marcia,,Looc-Basak Rd,,(032) 340 5833,,,,,,
Botica Alze And Gen. Merchandize,General store,Tabada St,,(032) 260 8905,,,,,,
Botica Sta. Maria,Pharmacy,Tagunol St,Open until 10:00 pm,(032) 273 2953,,,,,,
Botica San Fernando?,,,,(032) 564 2888,,,,,,
Botika Ni Mama,Pharmacy,Emilio Jaca Sr.,(02) 7266 0883,,,,,,,
Botica Sto.Nino,Pharmacy,Central Nautical Hwy,(032) 412 5000,,,,,,,
Ymong Botica,Pharmacy,"30, Central Nautical Hwy",,,,,,,,
Botica Marina,Pharmacy,,(032) 340 8482,,,,,,,
Botica Generica,Drug store,Ubay - Talibon Rd,Open until 9:00 pm,(032) 256 1275,,,,,,
Botica Rezel,Pharmacy,Alturas Market St,,,,,,,,
Botica Santo Tomas,Wholesale drugstore,,,Open until 10:00 pm,,,,,,
Eco Hub Cebu,Cutlery store,"across Botica, Solar Building, Katipunan Street, D.E",,,,,,,,Temporarily closed
Buenavista Botica Josele,Pharmaceutical company,,,0929 421 0351,,,,,,
Banco de Oro Automatic Teller Machine,,Fooda Savers-Guadalupe between Botica 2VJ &amp; Franzy Salon V. Rama Avenue,(032) 253 4423,,,,,,,
Western Union - Eden's Pawnshop and Jewelry Store-Katipunan,,"Solar Building, Katipunan Street (across Botica D.E.), Barangay Tisa, Cebu City, 6000, Cebu",,(032) 414 4556,3.0,(2),,,,
Botica Marina,,"San Jose, Talibon, Bohol",,(038) 515 0010,,,,,,
Botica Carmels,,,(032) 415 5313,,,,,,,
Botica Curada,Pharmacy,,(032) 232 8364,Open until 8:00 pm,3.0,(1),,,,
BOTICA JAN,Drug store,Sorsogon City,(032) 430 9297,Open until 9:00 pm,5.0,(1),,,,
Bagong Botica,Pharmacy,Pagadian City,,(062) 215 1575,5.0,(1),,,,
