section-result-title,section-result-details,section-result-location,section-result-info,cards-rating-score,section-result-num-ratings,section-result-info 2,section-result-info 3
Botika Ni Mama,Drug store,"Nadela Building, Gabuya St",(032) 416 4047,,,,
Botika ni Mama,Pharmacy,Gov. M. Cuenco Ave,(032) 268 9249,,,,
Botika ni Mama,Pharmacy,Paseo Toby Ronald,(032) 416 4047,,,,
Botika Ni Mama,Pharmacy,Emilio Jaca Sr.,,,,,
Botika Odessa And General Merchandise,Pharmacy,Natalio B. Bacalso Ave,(032) 417 9004,5.0,(1),,
Lawasnong botika,Physician,53 Spolarium St,,,,,
Botika Ng Barangay Looc,Drug store,A.Mabini,(032) 420 2927,,,,
Botika John,,S. Osmeña Street,,,,,
Botika ni Mama,General store,H Abellana,(032) 414 4797,,,,
Botika Mama,,Tabunok Talisay City Cebu,(036) 497 1655,,,,
Botika ni Mama,Hindu temple,Emilio Jaca Sr.,(032) 410 6583,3.0,(4),Temporarily closed,
Botika Ng Barangay,Medical Center,Rafael Rabaya St.,(032) 273 3733,5.0,(1),,
GV Botica,Pharmacy,"Osmeña Boulevard corner Sanciangko Street, Cebu City, Cebu",(032) 253 7978,5.0,(1),,Open until 9:00 pm
Botica Sto.Nino,Pharmacy,Central Nautical Hwy,,,,,
Botica Santo Tomas,Wholesale drugstore,,,,,,
Botikang Pinoy,Pharmacy,C. Rodriguez Cor B Rodriguez,(032) 412 0424,,,,
Mega Value Drug Store,Pharmacy,"117, Colomall, Osmeña Blvd",(032) 412 4797,,,,
Farmacia Ni Dok,Pharmacy,"H & H Market, Masulog Road",,,,,
Farmacia,Pharmacy,S. Osmeña Street,,5.0,(1),,
Botika Yesha,Pharmacy,Cor. Rodriguez Yulo St.,(034) 704 3703,,,,Open until 8:00 pm
"Botika Ng Bayan Sa Tubigon, Bohol",,Pooc Occidental Tagbilaran North Road,(038) 508 8883,,,,
Botika de Jennifer,Pharmacy,Loay Interior Road,(032) 268 9249,,,,
Catigbian Botika ng Bayan,Pharmacy,Cortes - Balilihan - Catigbian - Macaas Rd,(032) 416 4047,3.0,(1),,Closing soon: 5:00 pm
Calape Botika Ng Bayan,Pharmacy,Sta. Cruz Barangay Rd,,,,,Closing soon: 5:00 pm
Botika Express,Pharmacy,Sierra Bullones - Malinao Dam - Pilar Rd,(032) 417 9004,5.0,(1),,
Botika Cheska,Pharmacy,Tabao Proper Zone 1-Valladolid Negros Occidental Road,(034) 702 2715,,,,
BOTIKA SA PAROKYA,Pharmacy,Roque Hofilena St,(033) 495 3800,,,,Closing soon: 5:00 pm
Botika Ng Bayan La Castellana Branch,Medical supply store,,,,,,
BOTIKA MART - BAYAD CENTER,Corporate office,,(032) 414 4797,,,,
Botika sa Katawhan,Pharmacy,,(036) 497 1655,5.0,(1),,
Botika St. Roch,,"Cor. Magsaysay-Veterans World II Sts., Cadiz City, Negros Occidental",(034) 399 2911,3.0,(4),Temporarily closed,
CEV's BOtika,Pharmacy,Jalandoni St,(032) 273 3733,5.0,(1),,
Botika Valeria,Pharmacy,,(032) 253 7978,5.0,(1),Open until 9:00 pm,
