section-result-title,cards-rating-score,section-result-num-ratings,section-result-cost,section-result-details,section-result-location,section-result-description,e0HygkTYhQy__attribute-content,section-result-info,section-result-info 2
McDonald's,4.1,(314),₱,Fast Food,P. Burgos St,Iconic fast-food burger & fries chain,Delivery,,
Chowabungga,4.4,(230),,Fast Food,"GF i1 Building, Jose Maria del Mar St",,,Closed,Opens at 5:00 pm
Triple V Express Fastfood,,,,Fast Food,,,,,
Cebu Fastfood,,,,Fast Food,,,,,
Burger King,4.2,(713),₱₱,Fast Food,F. Cabahug St,Fast-food chain for grilled burgers,,,Open until 5:00 pm
Shevan Fast Food,4.5,(2),,Fast Food,122 Junquera Ext,,,,Open until 10:00 pm
Chowking,4.2,(80),₱,Fast Food,"Ground Floor, Elizabeth Mall, Leon Kilat St cor. South SuperHighway",,,Temporarily closed,
McDonald's,4.1,(215),₱,Fast Food,Colon St,Iconic fast-food burger & fries chain,Delivery,,
Burger King,4.1,(261),₱₱,Fast Food,"Cebu Business Park, Cebu Ayala, Level 4, Ayala Center, Archbishop Reyes Ave",Fast-food chain for grilled burgers,,,
McDonald's,4.0,(576),₱,Fast Food,"Hi-Way, M.L. Quezon National Highway",Iconic fast-food burger & fries chain,Delivery,,
Jollibee P. Del Rosario (USC),4.2,(583),₱,Fast Food,"P. Del Rosario St., corner Pelaez, R. Landon Ext",Fast-food chain with Filipino flavors,Delivery,,Open until 9:00 pm
Bon Chon Chicken,4.1,(15),₱₱,Fast Food,"SM City Cebu, Cebu Port Center, uan Luna Ave.",Korean fried chicken specialist,,,Open until 9:00 pm
McDonald's,4.3,(46),₱,Fast Food,Basak-Marigondon Rd,Iconic fast-food burger & fries chain,,,
McDonald's,4.0,(295),₱,Fast Food,"Gaisano Fiesta Mall, Cebu S Rd",Iconic fast-food burger & fries chain,Delivery · Takeaway,,Open until 11:30 pm
McDonald's,4.0,(277),₱,Fast Food,"JY Square Mall, G/F, 1 Salinas Dr",Iconic fast-food burger & fries chain,Delivery · Takeaway,,
McDonald's,3.7,(202),₱,Fast Food,"Cebu IT Tower, 1,Arch, G/F Archbishop Reyes Ave",Iconic fast-food burger & fries chain,Delivery · Takeaway,,
McDonald's,3.9,(418),₱,Fast Food,"The Walk, Abad St",Iconic fast-food burger & fries chain,Delivery,,
McDonald's,4.1,(417),₱,Fast Food,"Ma. Christina Building, Fuente Osmeña Cir",Iconic fast-food burger & fries chain,Delivery,,
Chick N' Fries,,,,Fast Food,174 Gov. M. Roa St,,,,
McDonald's,4.1,(276),₱,Fast Food,Natalio B. Bacalso S National Hwy,Iconic fast-food burger & fries chain,Delivery · Takeaway,,Open until 11:30 pm
Chowking,4.5,(12),₱,Fast Food,"G/F, SM Seaside Cebu, Cebu South Coastal Rd, Cebu City, Cebu",Iconic fast-food burger & fries chain,Delivery,Temporarily closed,
Jollibee,4.2,(143),₱,Fast Food,General Maxilom Ave,Fast-food chain with Filipino flavors,Delivery,Closed,Open until 12:00 am
ESKINA Fastfood,,,,Fast Food,"Room 208, Rivergate Building, Mango Avenue",,,,
Mergies' Budget Meal,2.0,(2),,Fast Food,12 C. Rodriguez Street,,,,Open until 11:30 pm
McDonald's,4.2,(437),₱,Fast Food,Ouano Avenue,Iconic fast-food burger & fries chain,Delivery,Open until 5:00 pm,
Jollibee,4.2,(429),₱,Fast Food,,Fast-food chain with Filipino flavors,Delivery · Takeaway,,Open until 11:00 pm
80'S Cook-Out Restaurant,4.2,(80),,Fast Food,131-a Rahmann St,,,,Temporarily closed
Jollibee,4.0,(128),₱,Fast Food,A. Borromeo St,Fast-food chain with Filipino flavors,Delivery,,Open until 9:00 pm
Jollibee,4.0,(60),₱,Fast Food,"J Centre Mall Building, A. S. Fortuna St",Fast-food chain with Filipino flavors,Delivery,,Open until 10:00 pm
Bayadpo Delivery And Services,4.0,(576),,Fast Food,"Corner Plaridel Street, Ac Cortes Avenue",Iconic fast-food burger & fries chain,Delivery,,
Jollibee,4.1,(686),₱,Fast Food,"Hanson, 231 Dionisio Jakosalem St",Fast-food chain with Filipino flavors,Delivery,Open until 9:00 pm,
McDonald's,4.1,(505),₱,Fast Food,"EMSU Building, 24 Osmeña Blvd",Iconic fast-food burger & fries chain,Delivery,Open until 9:00 pm,
Back Yard Burgers,3.0,(1),,Fast Food,ParkMall Cebu,Chain with creative burgers & shakes,,,
Chowking,4.0,(41),₱,Fast Food,"Colon Development Bldg. Osmeña cor. Zamora, Cebu City",Iconic fast-food burger & fries chain,Delivery · Takeaway,Temporarily closed,Open until 11:30 pm
KFC,4.2,(95),₱,Fast Food,"17-C Barba Press Bldg., Jones Ave., Cebu City, Cebu",Fast-food fried chicken chain,Delivery,,Open until 10:00 pm
Jollibee,4.2,(281),₱,Fast Food,Gov. M. Roa Avenue,Fast-food chain with Filipino flavors,Delivery,,Open until 12:00 am
McDonald's,4.1,(477),₱,Fast Food,N Escario St,Iconic fast-food burger & fries chain,Delivery · Takeaway,,
Burger King,4.1,(61),₱₱,Fast Food,"Cebu SM Seaside, Lower Ground Floor, SM Seaside City Cebu, South Coastal Road corner Mambaling Extension, South Road Properties",Fast-food chain for grilled burgers,Delivery,,
McDonald's,4.1,(233),₱,Fast Food,Osmeña Blvd,Iconic fast-food burger & fries chain,,,
