section-result-title,section-result-details,cards-rating-score,section-result-num-ratings,section-result-cost,section-result-location,section-result-description,section-result-info,e0HygkTYhQy__attribute-content,section-result-info 2
Cebu Fastfood,Fast Food,,,,,,,,
Triple V Express Fastfood,Fast Food,,,,,,,,
McDonald's,Fast Food,4.0,(57),₱,"E-Mall, Sanciangko St",Iconic fast-food burger & fries chain,Open until 8:00 pm,,
ESKINA Fastfood,Fast Food,,,,"Room 208, Rivergate Building, Mango Avenue",,,,
Bayadpo Delivery And Services,Fast Food,,,,"Corner Plaridel Street, Ac Cortes Avenue",,,,
Burger King,Fast Food,4.2,(713),₱₱,F. Cabahug St,Fast-food chain for grilled burgers,Open until 5:00 pm,,
Jollibee,Fast Food,3.6,(31),₱,"Level 1, Geonzon St, Salinas Dr",Fast-food chain with Filipino flavors,,Delivery,
Chrisdon Restaurant,Fast Food,4.5,(2),,155 F Villa St,,,,
JohnChrisTyl Fastfood,Restaurant,5.0,(1),,"6000, 69 F. Gonzales St",,Opens at 6:00 am,,Closed
"Remros Food, Inc.",Fast Food,,,,Cebu Business Park,,,,
Jollibee,Fast Food,4.0,(128),₱,A. Borromeo St,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
M & J Fastfood,Takeout Restaurant,,,,Don Andres Soriano Avenue,,,Takeaway,
Ahbwu Fastfood,Restaurant,,,,15 Julio Diaz St,,,,
Bon Chon Chicken,Fast Food,4.1,(15),₱₱,"SM City Cebu, Cebu Port Center, uan Luna Ave.",Korean fried chicken specialist,Open until 9:00 pm,,
Norway Fastfood,Restaurant,,,,231 Tres de Abril St,,,,
Prito Kings,Fast Food,2.0,(1),,"Sacred Heart School, 1774 General Maxilom Avenue Extension",,,,
Chowking,Fast Food,4.0,(10),₱,"G/F Pacific Mall Mandaue, Estancia-Ibabaw, Mandaue City",,,,Temporarily closed
Aley's Fastfood,Takeout Restaurant,,,,F.F. Cruz St,,Open until 8:00 pm,Takeaway,
Sherly Ann Fastfood,Takeout Restaurant,2.5,(2),,Nacua Compound,,Open until 10:00 pm,Takeaway,
McDonald's,Fast Food,4.1,(314),₱,P. Burgos St,Iconic fast-food burger & fries chain,,Delivery,
Cebu Fastfood,Fast Food,,,,,,,,
Triple V Express Fastfood,Fast Food,,,,,,,,
McDonald's,Fast Food,4.0,(57),₱,"E-Mall, Sanciangko St",Iconic fast-food burger & fries chain,Open until 8:00 pm,,
ESKINA Fastfood,Fast Food,,,,"Room 208, Rivergate Building, Mango Avenue",,,,
Bayadpo Delivery And Services,Fast Food,,,,"Corner Plaridel Street, Ac Cortes Avenue",,,,
Burger King,Fast Food,4.2,(713),₱₱,F. Cabahug St,Fast-food chain for grilled burgers,Open until 5:00 pm,,
Jollibee,Fast Food,3.6,(31),₱,"Level 1, Geonzon St, Salinas Dr",Fast-food chain with Filipino flavors,,Delivery,
Chrisdon Restaurant,Fast Food,4.5,(2),,155 F Villa St,,,,
JohnChrisTyl Fastfood,Restaurant,5.0,(1),,"6000, 69 F. Gonzales St",,Opens at 6:00 am,,Closed
"Remros Food, Inc.",Fast Food,,,,Cebu Business Park,,,,
Jollibee,Fast Food,4.0,(128),₱,A. Borromeo St,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
M & J Fastfood,Takeout Restaurant,,,,Don Andres Soriano Avenue,,,Takeaway,
Ahbwu Fastfood,Restaurant,,,,15 Julio Diaz St,,,,
Bon Chon Chicken,Fast Food,4.1,(15),₱₱,"SM City Cebu, Cebu Port Center, uan Luna Ave.",Korean fried chicken specialist,Open until 9:00 pm,,
Norway Fastfood,Restaurant,,,,231 Tres de Abril St,,,,
Prito Kings,Fast Food,2.0,(1),,"Sacred Heart School, 1774 General Maxilom Avenue Extension",,,,
Chowking,Fast Food,4.0,(10),₱,"G/F Pacific Mall Mandaue, Estancia-Ibabaw, Mandaue City",,,,Temporarily closed
Aley's Fastfood,Takeout Restaurant,,,,F.F. Cruz St,,Open until 8:00 pm,Takeaway,
Sherly Ann Fastfood,Takeout Restaurant,2.5,(2),,Nacua Compound,,Open until 10:00 pm,Takeaway,
McDonald's,Fast Food,4.1,(314),₱,P. Burgos St,Iconic fast-food burger & fries chain,,Delivery,
DG's Fastfood,Filipino,4.3,(3),,Sanciangko St,,Open until 11:30 pm,,
Arlene's Fastfood,Restaurant,,,,Imus Ave,,,,
Noelle Marie's Restaurant,Fast Food,4.0,(57),,"79, Don Gil Garcia Street, Capitol Site",Iconic fast-food burger & fries chain,Open until 8:00 pm,,
McDonald's,Fast Food,4.1,(215),₱,Colon St,Iconic fast-food burger & fries chain,,Delivery,
