section-result-title,cards-rating-score,section-result-num-ratings,section-result-cost,section-result-details,section-result-location,section-result-description,section-result-info,section-result-action href,section-result-action-icon src,section-result-action-text,e0HygkTYhQy__attribute-content,section-result-info 2,section-result-info 3
McDonald's,4.1,(314),₱,Fast Food,P. Burgos St,Iconic fast-food burger & fries chain,(032) 348 6236,https://mcdonalds.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Delivery,,
Burger King,4.2,(713),₱₱,Fast Food,F. Cabahug St,Fast-food chain for grilled burgers,(032) 266 9886,http://facebook.com/burgerkingph,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,Open until 5:00 pm,
Cebu Fastfood,,,,Fast Food,,,(032) 254 5471,,,,,,
Jollibee,4.2,(362),₱,Fast Food,"Pueblo Verde, Mepz 2",Fast-food chain with Filipino flavors,(032) 494 1306,http://www.jollibee.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Delivery,,
Shevan Fast Food,4.5,(2),,Fast Food,122 Junquera Ext,,(032) 254 4565,,,,,Open until 10:00 pm,
Chowabungga,4.4,(230),,Fast Food,"GF i1 Building, Jose Maria del Mar St",,(032) 416 9837,,,,,Opens at 5:00 pm,Closed
McDonald's,4.1,(215),₱,Fast Food,Colon St,Iconic fast-food burger & fries chain,(02) 86236,https://mcdonalds.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Delivery,,
Burger King,4.1,(261),₱₱,Fast Food,"Cebu Business Park, Cebu Ayala, Level 4, Ayala Center, Archbishop Reyes Ave",Fast-food chain for grilled burgers,(032) 231 0844,http://facebook.com/burgerkingph,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
McDonald's,4.0,(57),₱,Fast Food,"E-Mall, Sanciangko St",Iconic fast-food burger & fries chain,(032) 568 6236,https://mcdonalds.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,Open until 8:00 pm,
McDonald's,4.1,(186),₱,Fast Food,V.Albano,Iconic fast-food burger & fries chain,(02) 86236,https://mcdonalds.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Delivery,,
McDonald's,4.1,(561),₱,Fast Food,"NH1, National Hwy",Iconic fast-food burger & fries chain,(032) 345 2430,https://mcdonalds.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Delivery · Takeaway,,
Triple V Express Fastfood,,,,Fast Food,,,(032) 232 0682,,,,,,
McDonald's,3.9,(418),₱,Fast Food,"The Walk, Abad St",Iconic fast-food burger & fries chain,(032) 415 5515,https://mcdonalds.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Delivery,,
McDonald's,4.0,(576),₱,Fast Food,"Hi-Way, M.L. Quezon National Highway",Iconic fast-food burger & fries chain,(02) 86236,https://mcdonalds.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Delivery,,
McDonald's,4.3,(46),₱,Fast Food,Basak-Marigondon Rd,Iconic fast-food burger & fries chain,,https://mcdonalds.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
McDonald's,4.1,(417),₱,Fast Food,"Ma. Christina Building, Fuente Osmeña Cir",Iconic fast-food burger & fries chain,(02) 86236,https://mcdonalds.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Delivery,,
McDonald's,4.0,(277),₱,Fast Food,"JY Square Mall, G/F, 1 Salinas Dr",Iconic fast-food burger & fries chain,(032) 348 6236,http://www.mcdelivery.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Delivery · Takeaway,,
Bon Chon Chicken,4.1,(15),₱₱,Fast Food,"SM City Cebu, Cebu Port Center, uan Luna Ave.",Korean fried chicken specialist,(032) 260 8008,http://www.bonchon.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,Open until 9:00 pm,
McDonald's,4.2,(437),₱,Fast Food,Ouano Avenue,Iconic fast-food burger & fries chain,(02) 86236,https://mcdonalds.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Delivery,,
McDonald's,4.0,(295),₱,Fast Food,"Gaisano Fiesta Mall, Cebu S Rd",Iconic fast-food burger & fries chain,(032) 348 6236,https://mcdonalds.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Delivery · Takeaway,Open until 11:30 pm,
McDonald's,3.7,(202),₱,Fast Food,"Cebu IT Tower, 1,Arch, G/F Archbishop Reyes Ave",Iconic fast-food burger & fries chain,(02) 86236,https://mcdonalds.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Delivery · Takeaway,,
Burger King,4.1,(61),₱₱,Fast Food,"Cebu SM Seaside, Lower Ground Floor, SM Seaside City Cebu, South Coastal Road corner Mambaling Extension, South Road Properties",Fast-food chain for grilled burgers,(032) 255 7951,http://facebook.com/burgerkingph,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,Open until 5:00 pm,
Orange Brutus,3.9,(10),,Fast Food,"Cinco Centrum, Puente Osmena",,(032) 255 4783,http://www.orangebrutus.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
Burger King,4.1,(395),,Fast Food,"Vibo Place, Cebu Escario, Axis Entertainment Avenue, N Escario St",Fast-food chain for grilled burgers,(032) 254 8541,http://facebook.com/burgerkingph,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Delivery,Open until 5:00 pm,
Chick N' Fries,4.5,(2),,Fast Food,174 Gov. M. Roa St,,(032) 232 2305,,,,,Open until 10:00 pm,
Jollibee,4.2,(11),₱,Fast Food,Santo Niño St,Fast-food chain with Filipino flavors,(032) 898 7777,http://www.jollibee.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Delivery,Open until 9:00 pm,Closed
Jollibee,4.0,(128),₱,Fast Food,A. Borromeo St,Fast-food chain with Filipino flavors,(032) 898 7777,http://jollibeedelivery.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Delivery,Open until 9:00 pm,
ESKINA Fastfood,4.1,(261),,Fast Food,"Room 208, Rivergate Building, Mango Avenue",Fast-food chain for grilled burgers,(032) 495 4884,,,,,,
Jollibee P. Del Rosario (USC),4.2,(583),₱,Fast Food,"P. Del Rosario St., corner Pelaez, R. Landon Ext",Fast-food chain with Filipino flavors,(032) 254 0173,http://www.jollibee.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Delivery,Open until 9:00 pm,
Chowking,4.2,(80),₱,Fast Food,"Ground Floor, Elizabeth Mall, Leon Kilat St cor. South SuperHighway",Iconic fast-food burger & fries chain,(032) 343 8888,,,,Delivery,,Temporarily closed
Jollibee,4.2,(143),₱,Fast Food,General Maxilom Ave,Fast-food chain with Filipino flavors,(032) 345 2430,http://www.jollibee.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Delivery,Open until 12:00 am,
Burger King,4.2,(552),,Fast Food,"Gen Maxilom Avenue, Cor Juana Osmeña St",,(032) 255 7914,http://www.burgerkingdelivery.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,Open until 5:00 pm,
Jollibee,4.1,(434),₱,Fast Food,F. Cabahug St,Fast-food chain with Filipino flavors,(032) 238 9700,http://www.jollibee.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Delivery · Takeaway,,
beestop,4.2,(17),,Fast Food,"Elizabeth Mall, Sanciangko St",Iconic fast-food burger & fries chain,(02) 86236,https://www.facebook.com/beestopsurenamasarap/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Delivery,Open until 8:00 pm,
Jollibee,4.2,(429),₱,Fast Food,,Fast-food chain with Filipino flavors,(032) 344 1006,http://www.jollibee.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Delivery · Takeaway,Open until 11:00 pm,
Jollibee,4.2,(281),₱,Fast Food,Gov. M. Roa Avenue,Fast-food chain with Filipino flavors,(032) 254 5300,https://www.jollibee.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Delivery,Open until 12:00 am,
80'S Cook-Out Restaurant,4.0,(277),,Fast Food,131-a Rahmann St,Iconic fast-food burger & fries chain,(032) 253 3243,,,,Delivery · Takeaway,,
Mergies' Budget Meal,2.0,(2),,Fast Food,12 C. Rodriguez Street,Korean fried chicken specialist,(032) 260 8008,,,,,Open until 11:30 pm,
McDonald's,4.1,(505),₱,Fast Food,"EMSU Building, 24 Osmeña Blvd",Iconic fast-food burger & fries chain,(02) 8348 6236,https://mcdonalds.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Delivery,,
McDonald's,4.1,(477),₱,Fast Food,N Escario St,Iconic fast-food burger & fries chain,(02) 86236,https://mcdonalds.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Delivery · Takeaway,Open until 11:30 pm,
"Quest Restaurants, Incorporated",4.3,(6),,Fast Food,"Basement 1, Quest Hotel Cebu, J. Solon Drive",Iconic fast-food burger & fries chain,(032) 727 0431,,,,Delivery · Takeaway,,
Jollibee,4.2,(84),₱,Fast Food,,Fast-food chain for grilled burgers,0966 384 8939,,,,Delivery,Open until 5:00 pm,
Jollibee,4.1,(686),₱,Fast Food,"Hanson, 231 Dionisio Jakosalem St",Fast-food chain with Filipino flavors,(032) 256 6055,http://www.jollibee.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Delivery,,
Back Yard Burgers,3.0,(1),,Fast Food,ParkMall Cebu,Chain with creative burgers & shakes,(032) 663 7000,http://www.backyardburgers.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Delivery,Open until 5:00 pm,
Chowking,4.0,(41),₱,Fast Food,"Colon Development Bldg. Osmeña cor. Zamora, Cebu City",,(032) 343 8888,,,,,Open until 10:00 pm,Temporarily closed
