section-result-title,cards-rating-score,section-result-num-ratings,section-result-cost,section-result-details,section-result-location,section-result-description,section-result-info,e0HygkTYhQy__attribute-content,section-result-info 2
Burger King,4.2,(713),₱₱,Fast Food,F. Cabahug St,Fast-food chain for grilled burgers,Closing soon: 5:00 pm,,
Jollibee P. Del Rosario (USC),4.2,(583),₱,Fast Food,"P. Del Rosario St., corner Pelaez, R. Landon Ext",Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
Chowabungga,4.4,(230),,Fast Food,"GF i1 Building, Jose Maria del Mar St",,Opens at 5:00 pm,,Closed
Half Or Full Restaurant,,,,Fast Food,"Elizabeth Mall, Leon Kilat Street",,,,
Jollibee,4.0,(128),₱,Fast Food,A. Borromeo St,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
Jollibee,4.2,(659),₱,Fast Food,"National Highway, A. S. Fortuna St",Fast-food chain with Filipino flavors,,Delivery,
Jollibee,4.1,(350),₱,Fast Food,M. C. Briones St,Fast-food chain with Filipino flavors,,Delivery,
Jollibee,4.2,(257),₱,Fast Food,,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
Jollibee,4.3,(221),₱,Fast Food,1256 Gov. M. Cuenco Ave,Fast-food chain with Filipino flavors,Open until 9:00 pm,Takeaway,
Jollibee A.S. Fortuna,4.2,(204),₱,Fast Food,A. S. Fortuna St,Fast-food chain with Filipino flavors,,Delivery,
McDonald's,4.1,(314),₱,Fast Food,P. Burgos St,Iconic fast-food burger & fries chain,,Delivery,
Jollibee,4.1,(160),₱,Fast Food,A. Del Rosario St,Fast-food chain with Filipino flavors,,Delivery,
Jollibee,4.0,(799),₱,Fast Food,19 Gorordo Ave,Fast-food chain with Filipino flavors,,Takeaway,
Jollibee,3.8,(192),₱,Fast Food,Island Central Mall,Fast-food chain with Filipino flavors,,Delivery,
Siomai King,,,,Fast Food,"Food Court, Level 2, Robinsons Cybergate",,,,
Jollibee - Basak Mactan,4.1,(493),₱,Fast Food,Basak,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
McDonald's,4.1,(186),₱,Fast Food,V.Albano,Iconic fast-food burger & fries chain,,Delivery,
