section-result-title,section-result-details,cards-rating-score,section-result-num-ratings,section-result-cost,section-result-location,section-result-description,section-result-info,section-result-info 2,e0HygkTYhQy__attribute-content
Cebu Fastfood,Fast Food,,,,,,,,
Triple V Express Fastfood,Fast Food,,,,,,,,
McDonald's,Fast Food,4.0,(57),₱,"E-Mall, Sanciangko St",Iconic fast-food burger & fries chain,Open until 8:00 pm,,
ESKINA Fastfood,Fast Food,,,,"Room 208, Rivergate Building, Mango Avenue",,,,
Chowking,Fast Food,4.2,(80),₱,"Ground Floor, Elizabeth Mall, Leon Kilat St cor. South SuperHighway",,,Temporarily closed,
Bayadpo Delivery And Services,Fast Food,,,,"Corner Plaridel Street, Ac Cortes Avenue",,,,
Burger King,Fast Food,4.2,(713),₱₱,F. Cabahug St,Fast-food chain for grilled burgers,Open until 5:00 pm,,
McDonald's,Fast Food,4.1,(314),₱,P. Burgos St,Iconic fast-food burger & fries chain,,,Delivery
McDonald's,Fast Food,4.1,(186),₱,V.Albano,Iconic fast-food burger & fries chain,,,Delivery
McDonald's,Fast Food,4.1,(561),₱,"NH1, National Hwy",Iconic fast-food burger & fries chain,,,Delivery · Takeaway
McDonald's,Fast Food,3.9,(418),₱,"The Walk, Abad St",Iconic fast-food burger & fries chain,,,Delivery
McDonald's,Fast Food,4.0,(576),₱,"Hi-Way, M.L. Quezon National Highway",Iconic fast-food burger & fries chain,,,Delivery
Orange Brutus,Fast Food,4.0,(6),,2 Archbishop Reyes Ave,,Open until 10:00 pm,,
McDonald's,Fast Food,4.1,(417),₱,"Ma. Christina Building, Fuente Osmeña Cir",Iconic fast-food burger & fries chain,,,Delivery
Jollibee,Fast Food,4.2,(143),₱,General Maxilom Ave,Fast-food chain with Filipino flavors,Open until 12:00 am,,Delivery
Jollibee,Fast Food,4.2,(429),₱,,Fast-food chain with Filipino flavors,Open until 11:00 pm,,Delivery · Takeaway
Shevan Fast Food,Fast Food,4.5,(2),,122 Junquera Ext,,Open until 10:00 pm,,
Jollibee,Fast Food,4.2,(362),₱,"Pueblo Verde, Mepz 2",Fast-food chain with Filipino flavors,,,Delivery
McDonald's,Fast Food,4.3,(46),₱,Basak-Marigondon Rd,Iconic fast-food burger & fries chain,,,
McDonald's,Fast Food,3.8,(253),₱,"Aegis Tower, G/F, I. Villa St",Iconic fast-food burger & fries chain,,,Delivery · Takeaway
Burger King,Fast Food,4.1,(261),₱₱,"Cebu Business Park, Cebu Ayala, Level 4, Ayala Center, Archbishop Reyes Ave",Fast-food chain for grilled burgers,,,
McDonald's,Fast Food,3.7,(202),₱,"Cebu IT Tower, 1,Arch, G/F Archbishop Reyes Ave",Iconic fast-food burger & fries chain,,,Delivery · Takeaway
McDonald's,Fast Food,4.0,(295),₱,"Gaisano Fiesta Mall, Cebu S Rd",Iconic fast-food burger & fries chain,Open until 11:30 pm,,Delivery · Takeaway
McDonald's,Fast Food,4.1,(276),₱,Natalio B. Bacalso S National Hwy,Iconic fast-food burger & fries chain,Open until 11:30 pm,,Delivery · Takeaway
McDonald's,Fast Food,4.0,(277),₱,"JY Square Mall, G/F, 1 Salinas Dr",Iconic fast-food burger & fries chain,Temporarily closed,,Delivery · Takeaway
McDonald's,Fast Food,4.1,(477),₱,N Escario St,Iconic fast-food burger & fries chain,,,Delivery · Takeaway
KFC,Fast Food,4.2,(95),₱,"17-C Barba Press Bldg., Jones Ave., Cebu City, Cebu",Fast-food fried chicken chain,Open until 10:00 pm,,Delivery
McDonald's,Fast Food,3.8,(132),₱,M.L. Quezon National Highway,Iconic fast-food burger & fries chain,,,Delivery
Jollibee,Fast Food,4.2,(281),₱,Gov. M. Roa Avenue,Fast-food chain with Filipino flavors,Open until 12:00 am,,Delivery
McDonald's,Fast Food,4.1,(233),₱,Osmeña Blvd,Iconic fast-food burger & fries chain,,,Delivery · Takeaway
Chowking,Fast Food,4.5,(12),₱,"G/F, SM Seaside Cebu, Cebu South Coastal Rd, Cebu City, Cebu",Iconic fast-food burger & fries chain,,Temporarily closed,Delivery
Jollibee,Fast Food,4.2,(11),₱,Santo Niño St,Fast-food chain with Filipino flavors,Open until 9:00 pm,,Delivery
McDonald's,Fast Food,4.1,(215),₱,Colon St,Iconic fast-food burger & fries chain,,Open until 10:00 pm,Delivery
Jollibee,Fast Food,4.4,(157),₱,"E-Mall, N. Bacalso Ave Leon Kilat St",Fast-food chain with Filipino flavors,Open until 8:00 pm,,Delivery
McDonald's,Fast Food,4.1,(505),₱,"EMSU Building, 24 Osmeña Blvd",Iconic fast-food burger & fries chain,,Open until 12:00 am,Delivery
