section-result-title,section-result-details,section-result-location,cards-rating-score,section-result-num-ratings,section-result-info,section-result-info 2,e0HygkTYhQy__attribute-content,section-result-cost,section-result-description
Philcebu Food and Beverage Corporation,Wholesaler,M. L. Quezon Street,,,,,,,
8's Chillin Food & Beverages,Restaurant,,,,,,,,
All Weather Cafe,Restaurant,"H. Abellana St., Jagobiao, 6014, Mandaue, Cebu City",4.3,(3),,,,,
Fruit Magic,Juice,Airport Road,,,,,,,
Forth and Tay Bonifacio District,Restaurant,F. Cabahug St,3.8,(5),Temporarily closed,,,,
Brother Bryan's Food Bar,Fast Food,"Robinsons Place Cebu, Fuente Osmeña Boulevard, Sta. Cruz",5.0,(1),,,,,
Café Shang Tea Restaurant,Restaurant,A. S. Fortuna St,,,,,,,
D+B Wine Shop by Corinthia Gourmet,Wine store,"Unit 1 The Crossroads, Gov. M. Cuenco Ave",5.0,(6),,Open until 9:00 pm,"""Easy to",,
Bazoora,Grill,,4.3,(9),,,"""... your thirst for a",,
Sweet Street Local Delicacies Shop,Restaurant,"Sweet Street Local Delicacy Shop, Old PUJ terminal, M.L. Quezon National Highway",4.5,(41),,Open until 9:00 pm,"""Worth it ang food ky affordable og lami jud cya pero, tig kaonan jud ...""",₱,
Pure Foods Tender Juicy,Takeout Restaurant,"Grand Mall, Basak-Sisi-Agus Rd",4.0,(1),,Open until 6:00 pm,Takeaway,,
Golden Dimsum,Dim Sum,,3.0,(1),,Open until 10:00 pm,,,
Manggahan Bar and Grilling,Restaurant,30 Wilson St,4.2,(212),,Open until 3:00 am,"""Excellent food with excellent service to match.""",₱₱,
Royal Cafe,Restaurant,Gorordo Ave,4.7,(3),,Open until 9:00 pm,"""Student friendly cafe with good food.""",,
10 Dove Street Confectionery,Cafe,"Oakridge Business Park, 880 A. S. Fortuna St",4.4,(234),,Open until 6:00 pm,10 Best Chocolate Cakes you can find in Cebu,₱₱,
KAYU Kitchen & Bar,Restaurant,32 A Sanson Rd,4.4,(204),Closed,Reopens at 5:30 pm,"""Good",,
"Phat Pho, Crossroads Mall",Vietnamese,"Crossroads, Gov. M. Cuenco Ave",4.5,(47),Closed,Reopens at 5:30 pm,"""It has great pho and vietnamese food that you can get here, although ...""",,
Abaca Baking Company,Restaurant,"Crossroads, Banilad Rd",4.6,(508),,Open until 10:00 pm,"""The food is great and staff can explain the gist of the dishes.""",₱₱,
