section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-info,section-result-action href,section-result-action-icon src,section-result-action-text
Perpetual Succour Hospital,3.4,(125),General hospital,Gorordo Ave,(032) 233 8620,https://www.perpetualsuccourcebu.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
South Western Hospital,1.0,(1),General hospital,"South Western Hospital, Villa Aznar Street, Urgello Street Corner",(032) 415 5555,,,
Vicente Sotto Memorial Medical Center - Public,2.9,(95),General hospital,B. Rodriguez St,(032) 253 9891,http://vsmmc.doh.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Cebu South General Hospital,3.1,(42),General hospital,Natalio B. Bacalso S National Hwy,(032) 272 2223,https://cebudocgroup.com/about/hospitals/sgh,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Chong Hua Hospital,3.9,(36),General hospital,"Fuente Osmeña, Don Mariano Cui St",(032) 233 8000,http://www.chonghuahospital.org/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
St. Vincent General Hospital - CEBU,2.9,(36),General hospital,210 Jones Ave,(032) 238 6870,http://www.svgh.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"Dr. Ignacio M. Cortes General Hospital, Inc.",3.3,(12),General hospital,S.B. Cabahug,(032) 346 7850,,,
Cebu (Velez) - General Hospital,3.8,(42),General hospital,F. Ramos St,(032) 253 1871,,,
Dr. Victoria Redula,,,General hospital,"Visayan Community Hospital, Osmeña Boulevard",(032) 253 3892,,,
University of Cebu Medical Center - UCMed,3.3,(105),General hospital,A1 Ouano Avenue,(032) 517 0888,https://ucmed.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Dr. Ma. Raquel Pasinillo,,,General hospital,"Perpetual Succour Hospital, Gorordo Avenue",(032) 231 2891,,,
Cardiology-Cebu Doctors Hospital,,,General hospital,"MAB 2 316, Cebu Doctors Hospital, Osmeña Boulevard",(032) 253 8358,,,
Northern Mindanao Medical Center,,,General hospital,Capitol Compound de oro city,,,,
H.W. Miller Memorial Sanitarium and M Hospital,,,General hospital,400 Tres de Abril St,(032) 261 1974,,,
Dr. Josemar Mercado,,,General hospital,"Department of Surgery, Cebu Doctors University Hospital, Osmeña Boulevard, Cebu",(032) 255 5555,,,
Cebu North General Hospital,3.4,(26),General hospital,Kauswagan Rd,(032) 343 7777,https://cebudocgroup.com/about/hospitals/ngh,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Talisay District Hospital,2.9,(22),Government hospital,"Talisay District Hospital, San Isidro",(032) 273 3226,https://tdh.doh.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Chong Hua Hospital,2.3,(52),Hospital,Mantawe Ave,(032) 233 8000,http://www.chonghuahospital.org/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
ARC Hospital,4.1,(43),Hospital,Sitio Malinao,(032) 493 4248,http://www.archospitals.org/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
St. Anthony Mother & Child Hospital,3.9,(35),Hospital,Cabreros St,(032) 418 9477,http://samch.doh.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Perpetual Succour Hospital,3.4,(125),General hospital,Gorordo Ave,(032) 233 8620,https://www.perpetualsuccourcebu.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
South Western Hospital,1.0,(1),General hospital,"South Western Hospital, Villa Aznar Street, Urgello Street Corner",(032) 415 5555,,,
Vicente Sotto Memorial Medical Center - Public,2.9,(95),General hospital,B. Rodriguez St,(032) 253 9891,http://vsmmc.doh.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Cebu South General Hospital,3.1,(42),General hospital,Natalio B. Bacalso S National Hwy,(032) 272 2223,https://cebudocgroup.com/about/hospitals/sgh,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Chong Hua Hospital,3.9,(36),General hospital,"Fuente Osmeña, Don Mariano Cui St",(032) 233 8000,http://www.chonghuahospital.org/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
St. Vincent General Hospital - CEBU,2.9,(36),General hospital,210 Jones Ave,(032) 238 6870,http://www.svgh.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"Dr. Ignacio M. Cortes General Hospital, Inc.",3.3,(12),General hospital,S.B. Cabahug,(032) 346 7850,,,
Cebu (Velez) - General Hospital,3.8,(42),General hospital,F. Ramos St,(032) 253 1871,,,
Dr. Victoria Redula,,,General hospital,"Visayan Community Hospital, Osmeña Boulevard",(032) 253 3892,,,
University of Cebu Medical Center - UCMed,3.3,(105),General hospital,A1 Ouano Avenue,(032) 517 0888,https://ucmed.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Dr. Ma. Raquel Pasinillo,,,General hospital,"Perpetual Succour Hospital, Gorordo Avenue",(032) 231 2891,,,
Cardiology-Cebu Doctors Hospital,,,General hospital,"MAB 2 316, Cebu Doctors Hospital, Osmeña Boulevard",(032) 253 8358,,,
Northern Mindanao Medical Center,,,General hospital,Capitol Compound de oro city,,,,
H.W. Miller Memorial Sanitarium and M Hospital,,,General hospital,400 Tres de Abril St,(032) 261 1974,,,
Dr. Josemar Mercado,,,General hospital,"Department of Surgery, Cebu Doctors University Hospital, Osmeña Boulevard, Cebu",(032) 255 5555,,,
Cebu North General Hospital,3.4,(26),General hospital,Kauswagan Rd,(032) 343 7777,https://cebudocgroup.com/about/hospitals/ngh,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Talisay District Hospital,2.9,(22),Government hospital,"Talisay District Hospital, San Isidro",(032) 273 3226,https://tdh.doh.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Chong Hua Hospital,2.3,(52),Hospital,Mantawe Ave,(032) 233 8000,http://www.chonghuahospital.org/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
ARC Hospital,4.1,(43),Hospital,Sitio Malinao,(032) 493 4248,http://www.archospitals.org/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
St. Anthony Mother & Child Hospital,3.9,(35),Hospital,Cabreros St,(032) 418 9477,http://samch.doh.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Chong Hua Hospital - Private,3.4,(121),Hospital,"Don Mariano Cui Street, Fuente Osmeña Cir",(032) 255 8000,http://chonghua.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Lapu-Lapu City District Hospital,3.2,(14),Government hospital,,(032) 340 0249,,,
Mandaue City Hospital,1.5,(6),Hospital,,(032) 345 9739,,,
Adventist Hospital Cebu - Main Building (Miller Hospital),4.1,(26),Hospital,,(032) 261 2100,,,
Mactan Doctors' Hospital,2.4,(63),Private hospital,"Maximo V. Patalinhug, Jr. Avenue",(032) 236 0000,http://www.mactan.cduh.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Our Lady of the Rule Maternity and General Hospital,5.0,(4),Hospital,"Humay-humay Road, Pajo, Lapulapu City, Pajo St",(032) 340 7318,,,
Women's and Children's Community Hospital,3.0,(4),Hospital,Aniceto Seno,(032) 238 3994,,,
Miller Hospital,5.0,(1),Hospital,400 Tres de Abril St,,,,
Chong Hua Hospital Transvaginal Ultrasound,,,Private hospital,"Chong Hua Hospital, Don Mariano Cui Street, Fuente Osmeña",(032) 255 8000,http://www.chonghua.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Tojong Maternity and General Hospital,,,Hospital,P. Rodriguez St,(032) 495 8401,,,
Southwestern University Medical Center,3.4,(32),Medical Center,53 J. Urgello St,0999 555 3999,https://m.facebook.com/profile.php?id=154316554629393,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Eversley Childs Sanitarium and General Hospital,3.2,(19),Government hospital,Upper Jagobiao Rd,(032) 238 6811,http://ecs.doh.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Chong Hua Medical Arts Center,3.2,(44),Hospital,"3 Mirasol Street, Fuente Osmeña Cir",(032) 255 8000,http://chonghua.com.ph/index.php/doctors,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"GVA Cebu Hospital Equipment, Inc.",,,Hospital,543 Lopez Jaena St,(032) 344 0655,,,
"Alex E. Alegrado, MD",,,Hospital,"Allegiant Regional Care Hospitals, Sitio Malinao Rd",(032) 517 6051,,,
ALLIED CARE EXPERTS (ACE) MEDICAL CENTER CEBU INC.,,,Hospital,,(032) 383 3454,http://acemccebu.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Perpetual Succour Hospital Cebu Cancer Institute,3.6,(5),Cancer treatment center,"SPC Medical Specialty Center, Gorordo Ave",(032) 233 9399,https://www.perpetualsuccourcebu.com/cebu-cancer-institute,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
CDUH Medical Arts Building 2,3.7,(3),Medical Center,Gov. M. Roa St,(032) 253 7511,http://www.cduh.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Carmen Copper Corporation Hospital,4.5,(10),Hospital,"Don Andres Soriano, National Hwy",(032) 888 1201,,,
Larrazabal Eye,4.2,(10),Eye care center,"Cebu Doctors University Hospital, Gov. M. Roa St",(032) 412 2020,http://www.larrazabaleye.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Cebu Provincial Hospital-Danao,2.1,(8),Government hospital,Central Nautical Hwy,,http://www.cebupublications.tumblr.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Centre For Sight,5.0,(1),Eye care center,"Cebu Doctor's University Hospital, Osmeña Blvd",(032) 256 2020,http://www.centreforsight.net/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Cebu Docor Dental Clinic,3.3,(12),Dental clinic,"Miller Hospital, 400 Tres de Abril St",(032) 238 8012,https://cebudocordental.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
