section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,GLOBAL__gm2-caption,GLOBAL__gm2-caption 2,section-result-info,section-result-description,section-result-header-container,section-result-location
OYO 495 The Pocket Hotel,4.6,(20),Hotel,Free parking,Free Wi-Fi,,,,
Sampaguita Suites,3.6,(394),2-star hotel,Free parking,Free Wi-Fi,Temporarily closed,,,
Connecting Flight Mactan Cebu Hostel,3.9,(44),Hotel,,,Temporarily closed,,,
AOSMEC Square Hotel,3.7,(221),2-star hotel,Free parking,Free Wi-Fi,,,,
Alpa City Suites,4.1,(505),3-star hotel,Free parking,Free Wi-Fi,Temporarily closed,,,
Express Inn Mabolo,3.3,(325),3-star hotel,Spa,Free Wi-Fi,Temporarily closed,,,
RedDoorz near UV Mandaue Cebu,3.9,(39),Hotel,Free Wi-Fi,,Temporarily closed,,,
OYO 493 Bria Mactan,4.0,(25),Hotel,,,Temporarily closed,,,
"Shangri-La's Mactan Resort and Spa, Cebu",4.6,"(7,102)",5-star hotel,Pool,Spa,,Tropical beachfront resort & luxury spa,,
Well Hotel,3.9,(138),2-star hotel,Free parking,Free Wi-Fi,Temporarily closed,,,
Pacific Pensionne,3.5,(308),3-star hotel,Pool,Free parking,Temporarily closed,,,
Mambaling Pension House - 1 Star,3.2,(122),3-star hotel,Free Wi-Fi,,Temporarily closed,,,
Skypark Pensionne,3.9,(278),2-star hotel,Spa,Free parking,Temporarily closed,,,
Golden Valley Hotel,3.8,(168),3-star hotel,Free parking,Free Wi-Fi,Temporarily closed,,,
The Stopover Hostel - Mactan,3.2,(104),2-star hotel,Free Wi-Fi,,Temporarily closed,,,
OYO 476 Hedda Hotel,4.0,(10),Hotel,,,Temporarily closed,,,
OYO 517 Jcad Hotel Lahug,3.0,(8),Hotel,,,Temporarily closed,,,
Skyblue Hotel - 2 Star,3.3,(120),3-star hotel,Spa,Free parking,Temporarily closed,,,
OYO 485 The Rooms By Alinace,3.7,(25),Hotel,Free parking,Free Wi-Fi,Temporarily closed,,,
Yello Hotel,4.5,(20),Hotel,Pool,Free parking,Temporarily closed,,,
OYO 465 Ford's Inn,3.8,(88),3-star hotel,Spa,Free parking,,Unassuming budget hotel with a cafe,,
8th Street Hostel,3.4,(48),Hostel,Free Wi-Fi,,Temporarily closed,,,
