section-result-title,cards-rating-score,section-result-num-ratings,section-result-hotel-price,section-result-details,section-result-description,GLOBAL__gm2-caption,GLOBAL__gm2-caption 2,GLOBAL__gm2-caption 3,section-result-info,section-result-header-container,section-result-location
Sarrosa International Hotel & Residential Suites,3.9,(556),"₱2,221",3-star hotel,Casual hotel with an indoor pool & a gym,Pool,Free parking,Free Wi-Fi,,,
OYO 465 Ford's Inn,3.8,(88),₱587,3-star hotel,Unassuming budget hotel with a cafe,Spa,Free parking,Free Wi-Fi,,,
Sugbutel Family Hotel,4.0,(686),,2-star hotel,,Free Wi-Fi,,,Temporarily closed,,
Sampaguita Suites,3.6,(394),,2-star hotel,,Free Wi-Fi,Free parking,,Temporarily closed,,
Mövenpick Hotel Mactan Island Cebu,4.5,"(3,390)","₱7,840",5-star hotel,Sleek hotel with a private beach & spa,Pool,Free Wi-Fi,Free parking,,,
Cebu Northwinds Hotel,3.8,(287),"₱1,530",3-star hotel,"Unassuming rooms, plus free breakfast",Free Wi-Fi,Free parking,,,,
Express Inn Mabolo,3.3,(325),,3-star hotel,,Free Wi-Fi,Free breakfast,,Temporarily closed,,
Seda Ayala Center Cebu,4.3,"(1,273)",,4-star hotel,,Pool,Free Wi-Fi,Free parking,Temporarily closed,,
Connecting Flight Mactan Cebu Hostel,3.9,(44),,Hotel,,,,,Temporarily closed,,
Naps & Maps,4.0,(180),,2-star hotel,,Free Wi-Fi,Free breakfast,,Temporarily closed,,
Skypark Pensionne,3.9,(278),,2-star hotel,,Free Wi-Fi,Free parking,,Temporarily closed,,
RedDoorz near UV Mandaue Cebu,3.9,(39),,Hotel,,Free Wi-Fi,,,Temporarily closed,,
Hostel 7 Cebu,4.3,(186),₱603,Hotel,Laid-back hostel with open-air dining,,,,,,
Bayfront Hotel Cebu,4.1,"(2,277)","₱2,068",3-star hotel,Casual lodging with dining & water views,Free Wi-Fi,Free parking,,,,
OYO 495 The Pocket Hotel,4.6,(20),₱849,Hotel,,Free Wi-Fi,Free breakfast,Free parking,,,
"Shangri-La's Mactan Resort and Spa, Cebu",4.6,"(7,102)","₱1,266",5-star hotel,Tropical beachfront resort & luxury spa,Pool,Free Wi-Fi,Free parking,,,
Mezzo Hotel,4.0,(456),,4-star hotel,,Pool,Free Wi-Fi,Free parking,Temporarily closed,,
Crown Regency Hotel & Towers,3.8,"(2,187)",,4-star hotel,,Pool,Free Wi-Fi,Free breakfast,Temporarily closed,,
One Central Hotel - 3 Star,4.2,(629),,3-star hotel,,Pool,Free Wi-Fi,Free parking,Temporarily closed,,
The Stopover Hostel - Mactan,3.2,(104),,2-star hotel,,Free Wi-Fi,,,Temporarily closed,,
Radisson Blu Cebu,4.5,"(2,918)","₱6,521",5-star hotel,High-end pick with a lavish outdoor pool,Pool,Free Wi-Fi,Free parking,,,
