section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-info,section-result-description,GLOBAL__gm2-caption
TMS Lodge,3.0,(36),Lodge,"New Cebu Coliseum Bldg, Lion Kilat St. Cor Sancianko St",Temporarily closed,,
Famed Lodge,4.0,(4),Lodge,Pelaez St,Temporarily closed,,
Cortes Avenue Lodge,3.7,(11),Lodge,A. C. Cortes Ave,Temporarily closed,,
Hidden Lodge,3.1,(21),Lodge,,Temporarily closed,,
Oyy Lodge,3.0,(16),Lodge,Sangi,Temporarily closed,,
KSL Lodge,4.0,(1),Lodge,,Temporarily closed,,
Hotel And Lodge,1.0,(1),Lodge,"6000, 114 J Luna Ave Ext",Temporarily closed,,
Hidden Lodge,2.9,(20),Lodge,"Raya Gold Plaza, B.B Cabahug",Temporarily closed,,
Wow Lodge Pension House,2.9,(15),Lodge,Pusok Rd,Temporarily closed,,
Wow Lodge,3.0,(11),Lodge,"F&E Luna Pas Bldg, E. Ceniza St.",Temporarily closed,,
King Solomon Lodge,3.8,(17),Lodge,Osmeña Blvd,Temporarily closed,,
Toyang's Lodge,4.0,(2),Lodge,"10.245291,123.782784, San Vicente",Temporarily closed,,
Done Rial Lodge,5.0,(2),Lodge,"New Cebu Coliseum Commercial Complex, Leon Kilat St",Temporarily closed,,
Wow Lodge,3.8,(10),Lodge,,Temporarily closed,,
Hype 62 Lodge,4.5,(2),Lodge,"301, Men Chavez, 59 N Escario St",Temporarily closed,,
Russel's Pension,4.3,(9),Lodge,,Temporarily closed,,
Queen Joe Lodge,,,Lodge,7 Colon St,Temporarily closed,,
Wow Lodge,2.9,(9),Extended stay hotel,"J & E building, Toledo - Manipis Rd",Temporarily closed,,
OYO 166 Maanyag Pension House,3.5,(62),2-star hotel,,,Modest budget hotel with a patio,Free parking
Wow Lodge,3.5,(14),Indoor lodging,Pusok Rd,Temporarily closed,,
TMS Lodge,3.0,(36),Lodge,"New Cebu Coliseum Bldg, Lion Kilat St. Cor Sancianko St",Temporarily closed,,
Famed Lodge,4.0,(4),Lodge,Pelaez St,Temporarily closed,,
Cortes Avenue Lodge,3.7,(11),Lodge,A. C. Cortes Ave,Temporarily closed,,
Hidden Lodge,3.1,(21),Lodge,,Temporarily closed,,
Oyy Lodge,3.0,(16),Lodge,Sangi,Temporarily closed,,
KSL Lodge,4.0,(1),Lodge,,Temporarily closed,,
Hotel And Lodge,1.0,(1),Lodge,"6000, 114 J Luna Ave Ext",Temporarily closed,,
Hidden Lodge,2.9,(20),Lodge,"Raya Gold Plaza, B.B Cabahug",Temporarily closed,,
Wow Lodge Pension House,2.9,(15),Lodge,Pusok Rd,Temporarily closed,,
Wow Lodge,3.0,(11),Lodge,"F&E Luna Pas Bldg, E. Ceniza St.",Temporarily closed,,
King Solomon Lodge,3.8,(17),Lodge,Osmeña Blvd,Temporarily closed,,
Toyang's Lodge,4.0,(2),Lodge,"10.245291,123.782784, San Vicente",Temporarily closed,,
Done Rial Lodge,5.0,(2),Lodge,"New Cebu Coliseum Commercial Complex, Leon Kilat St",Temporarily closed,,
Wow Lodge,3.8,(10),Lodge,,Temporarily closed,,
Hype 62 Lodge,4.5,(2),Lodge,"301, Men Chavez, 59 N Escario St",Temporarily closed,,
Russel's Pension,4.3,(9),Lodge,,Temporarily closed,,
Queen Joe Lodge,,,Lodge,7 Colon St,Temporarily closed,,
Wow Lodge,2.9,(9),Extended stay hotel,"J & E building, Toledo - Manipis Rd",Temporarily closed,,
OYO 166 Maanyag Pension House,3.5,(62),2-star hotel,,,Modest budget hotel with a patio,Free parking
Wow Lodge,3.5,(14),Indoor lodging,Pusok Rd,Temporarily closed,,
Shelter Lodge Apartment,5.0,(1),Serviced apartment,"Dulcinea Hotel Suites Cebu, Shangs Mactan Town Center M.L. Quezon National Highway",Temporarily closed,,
Silverdale Inn,5.0,(2),Lodge,"ADM Building, Sanciangko St",Temporarily closed,,
cebu leisure lodge,3.7,(71),2-star hotel,,Temporarily closed,,Spa
KBC House,4.8,(5),Lodge,,Temporarily closed,,
LS 2 Pension House,3.8,(84),Lodge,Junquera Ext,Temporarily closed,,
Teana's Lodge,4.0,(1),Lodge,,Temporarily closed,,
Hawaiian Village Inn,4.8,(4),Lodge,"Hawaiian Village, Basak-Marigondon Rd",Temporarily closed,,
Roseate Pensione,4.1,(63),Lodge,,Temporarily closed,,
Pacific Tourist Inn,3.7,(184),Lodge,,Temporarily closed,,Free Wi-Fi
Jacinth Pension House,4.0,(19),Lodge,,Temporarily closed,,Free parking
JJS Nest Inn,3.0,(1),Lodge,P. Gullas St,Temporarily closed,,
