section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-description,GLOBAL__gm2-caption,GLOBAL__gm2-caption 2,section-result-info,section-result-location,section-result-header-container
The Henry Hotel Cebu,4.3,(444),4-star hotel,Quirky art-filled property with a pool,Pool,Spa,,,
Amethyst Boutique Hotel Cebu,4.6,(69),3-star hotel,Casual hotel with dining & event space,Free parking,Free Wi-Fi,,,
Robe's Pension House,4.0,(308),1-star hotel,,Free parking,Free Wi-Fi,Temporarily closed,,
Ranile's Pension House,3.9,(27),2-star hotel,,Free parking,Free Wi-Fi,Temporarily closed,,
Fuente Pension House,4.1,(237),2-star hotel,,Free parking,Free Wi-Fi,Temporarily closed,,
Anri Pension House,3.9,(157),2-star hotel,,Free parking,Free Wi-Fi,Temporarily closed,,
RE-CJC Pension House,3.7,(50),2-star hotel,,,,,,
Gratitude Pension House,3.7,(163),Inn,,Free Wi-Fi,,Temporarily closed,,
Mactan Pension House,3.1,(126),2-star hotel,,Free Wi-Fi,,Temporarily closed,,
Go Land Pension House,4.2,(14),2-star hotel,,,,Temporarily closed,,
The Seven Archangels Pension House,3.7,(16),Hostel,,,,Temporarily closed,,
Ringtop Pension House,3.7,(25),Lodging,,Free parking,Free Wi-Fi,Temporarily closed,,
Jacinth Pension House,4.1,(14),Hotel,,,,Temporarily closed,,
OYO 166 Maanyag Pension House,3.5,(62),2-star hotel,Modest budget hotel with a patio,Free parking,Free Wi-Fi,,,
Robes Pension House,4.5,(33),Lodging,,,,Temporarily closed,41 R. Landon St,
OYO 157 Casa Venna Pension House,3.2,(25),3-star hotel,,Free parking,,Temporarily closed,,
Coconut Pension House,3.9,(164),3-star hotel,,Free parking,Free Wi-Fi,Temporarily closed,,
Hope Pension House,2.8,(36),Hotel,,,,Temporarily closed,"Arcenas Bldg., Colon St",
Marvie's Pension House,,,Hotel,,,,Temporarily closed,,
Win's Pension House,4.1,(20),Lodging,,Free Wi-Fi,,Temporarily closed,,
LS 2 Pension House,3.8,(84),Lodge,,,,Temporarily closed,Junquera Ext,
Jacinth Pension House,4.0,(19),Lodge,,Free parking,Free Wi-Fi,Temporarily closed,,
Wow Lodge Pension House,2.9,(15),Lodge,,,,Temporarily closed,Pusok Rd,
Lord's Pension House,3.6,(40),Hotel,,,,Temporarily closed,Orlacsan St,
Jasmin Pension House,4.0,(57),3-star hotel,,,,Temporarily closed,,
Mambaling Pension House - 2,1.0,(1),Hotel,,,,Temporarily closed,,
Citiview Pension House,3.5,(30),Lodge,,,,Temporarily closed,"Citiview Bldg., Osmena Blvd. Corner Sanciangko Street",
SOUTHPOLE PENSION HOUSE,3.6,(17),2-star hotel,,,,Temporarily closed,,
Mc Sherry Pension House,3.4,(77),Hotel,,,,Temporarily closed,0260 Pelaez St,
Citi Pension House,4.3,(7),Lodging,,,,Temporarily closed,476 M. J. Cuenco Ave,
Amparing Pension House,2.3,(3),Hotel,,,,Temporarily closed,Bankal-Mahayahay-Soong Road,
Cherry's Pension House,3.5,(10),Inn,,,,Temporarily closed,"Centro,",
Maia Pension House,3.0,(17),Hostel,,,,Temporarily closed,30-A J.C Zamora St. cor. Max Lazarte St.,
LGC's Pension House - 1 Star,3.5,(31),Lodging,Modest budget hotel with a patio,,,Temporarily closed,M. J. Cuenco Ave,₱831
Cherrys Pension House,1.8,(5),Hotel,,,,Temporarily closed,"Catalino Ouano Street, Looc",
Airol Pension House,3.2,(26),Lodging,,,,Temporarily closed,Sanciangko St,
Alto Pension House,3.5,(2),Hotel,,,,Temporarily closed,,
PMG Pension House,4.0,(25),Hotel,,Free parking,Free Wi-Fi,Temporarily closed,,
Mambaling Pension House - 1 Star,3.2,(122),3-star hotel,,Free Wi-Fi,,Temporarily closed,,
MCLEIFZ Pension House,3.0,(1),Lodging,,,,Temporarily closed,68 Sanciangko St,
Shamrock Pension House,3.9,(31),Lodging,,,,Temporarily closed,,
LS -1 Pension House,3.1,(37),Lodging,,,,Temporarily closed,RR Landon Street,
Kaizen Pension House,3.8,(51),Motel,,,,Temporarily closed,Cebu S Rd,
HPH Hope Pension House,2.3,(12),Inn,,,,Temporarily closed,V. Gullas St. Cor. Legaspi St.,
CML Pension House,2.8,(6),Hotel,,,,Temporarily closed,Jose L.Briones,
Glenn Pension House,3.8,(6),Hostel,,,,Temporarily closed,Mansueto Road at the back of bir talisay. in between south town center ang gaisabo,
Travelers Home Pension House,3.2,(12),Hotel,,,,Temporarily closed,Manalili St,
Yes Pension House,3.0,(2),Hotel,,,,Temporarily closed,Junquera St,
Casa Rosario Pension House,3.7,(47),3-star hotel,,,,Temporarily closed,101 E R Aboitiz St,
Native Pension House,3.0,(3),Lodging,,,,Temporarily closed,,
Ence Pension,4.0,(19),Hotel,,,,Temporarily closed,A. Bonifacio St,
LS Pension House 1,3.5,(2),Hostel,,,,Temporarily closed,,
Villa Inez Pension House,3.8,(25),Lodging,,,,Temporarily closed,,
