section-result-title,section-result-details,section-result-location,section-result-info,cards-rating-score,section-result-num-ratings,section-result-action href,section-result-action-icon src 2,section-result-action-text 2,section-result-info 2
Med Central Pharmacy,Pharmacy,"General Maxilom Avenue, corner General Echavez Street, Zapatera",(032) 232 6328,,,,,,
Queen's Pharmacy,Pharmacy,A. Borromeo St Cor Colon St,(032) 253 1073,4.3,(6),,,,
Zarri Pharmacy & General Merchandise,Pharmacy,"39, N. Escario Street, Kamputhaw",(032) 231 2472,4.5,(2),,,,
Watson's Pharmacy,Pharmacy,"Savemore Market, Looc",(032) 253 8595,2.7,(3),http://www.pharmacytimes.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Well-Care Pharmacy,Pharmacy,"242, Gorordo Avenue, Camputhaw",(032) 233 6153,1.0,(1),,,,
Rose Pharmacy,Pharmacy,"Avila Bldg, Colon St",(032) 255 6505,3.1,(9),http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
Retts Pharmacy and General Merchandise,Pharmacy,440 P. Burgos St,(032) 344 2591,,,,,,
Pharmacy,Pharmacy,"La Nueva Building, M. C. Briones St",(032) 255 8360,,,,,,
Rose Pharmacy,Pharmacy,"Fooda Saversmart, F. Cabahug, Kasambagan",(032) 260 7310,1.0,(2),http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
Pharmacy,Pharmacy,"SPC Medical Spc. Ty Center PSH, Gonzales Compound, Gorordo Ave",(032) 233 8620,3.6,(7),,,,
Bing Pharmacy,Pharmacy,273 A. del Rosario,(032) 422 8251,4.5,(2),,,,Open until 10:30 pm
Pills and More Pharmacy,Pharmacy,311 General Maxilom Ave,,4.5,(6),,,,Open until 7:30 pm
Evercare Pharmacy,Pharmacy,Colon St,(032) 253 4880,5.0,(1),,,,Open until 7:00 pm
Rose Pharmacy,Pharmacy,"Visagas Community Medical Center Mixed-Use Bldg, Osmeña Blvd",(032) 230 5021,2.1,(7),http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Sleepless Pharmacy,Pharmacy,"Gaisano Country Mall, Camp Lapulapu Road",(032) 254 6391,,,,,,
