section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-info,section-result-info 2,section-result-action href,section-result-action-icon src,section-result-action-text
Rose Pharmacy- SM City Cebu,5.0,(2),Pharmacy,"SM City Cebu, Unit 159, Upper GF, SM City, 8th St., Reclamation Area",Open until 9:00 pm,(032) 232 0608,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Universe Pharmacy,4.4,(5),Pharmacy,366 Magallanes St,Open until 6:00 pm,(032) 253 0146,,,
Rose Pharmacy,3.1,(14),Pharmacy,"Robinsons Mall, Fuente Osmeña Cir",,(032) 253 4080,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Rose Pharmacy,3.4,(7),Pharmacy,"Unit 1, University of, Gov. M. Cuenco Flyover",,(032) 231 9733,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Majesty Pharmacy,5.0,(5),Pharmacy,Magallanes St,Open until 6:00 pm,(032) 256 0877,https://www.majestypharma.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Rose Pharmacy,3.5,(6),Pharmacy,"Ayala Center Cebu, Stall 277, 2nd Flr. Cebu Business Park",Open until 10:00 pm,(032) 233 7844,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Rose Pharmacy,3.7,(3),Pharmacy,"V. Rama Avenue, Guadalupe",Open until 10:00 pm,(032) 254 9544,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Pharmacy,3.6,(7),Pharmacy,"SPC Medical Spc. Ty Center PSH, Gonzales Compound, Gorordo Ave",,(032) 233 8620,,,
Rose Pharmacy,3.1,(9),Pharmacy,"Avila Bldg, Colon St",Open until 9:00 pm,(032) 255 6505,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Cebu Worldwide Pharmacy,,,Pharmacy,195 Magallanes St,,(032) 254 7217,,,
The Generics Pharmacy,4.5,(2),Pharmacy,V Rama Ave,,0917 559 9995,http://tgp.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
The Generics Pharmacy,4.0,(1),Pharmacy,V Rama Ave,,(032) 253 4969,,,
Pills and More Pharmacy,4.5,(6),Pharmacy,311 General Maxilom Ave,Open until 7:30 pm,,,,
Rose Pharmacy,2.8,(5),Homeopathic pharmacy,,,,https://www.rosepharmacy.com/store-finder/rose-pharmacy-cebu-a-it-park/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Queen's Pharmacy,4.3,(6),Pharmacy,A. Borromeo St Cor Colon St,,(032) 253 1073,,,
Mom's Best Value Pharmacy,5.0,(1),Pharmacy,F. Ramos St,Open until 10:00 pm,,,,
Evercare Pharmacy,5.0,(1),Pharmacy,Colon St,Open until 7:00 pm,(032) 253 4880,,,
Rose Pharmacy,4.7,(6),Pharmacy,"M. Diaz Building, Cor Don Jose Avila St",Open until 11:00 pm,(032) 230 5013,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Far Eastern Drug Incorporated,4.4,(14),Pharmacy,Osmeña Blvd,Open until 6:00 pm,(032) 255 8741,http://fareasterndrug.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
ThreeSixty Pharmacy,3.4,(8),Pharmacy,2 Gorordo Ave,,(032) 414 7224,https://www.facebook.com/ThreeSixty-Pharmacy-Official-Fan-Page-300661136709388/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Worldwide Pharmacy,1.0,(1),Pharmacy,"Worldwide Building, Magallanes St",Open until 9:00 pm,(032) 254 7217,,,
Rose Pharmacy,4.5,(4),Pharmacy,"Express Inn, J. Luna M.J. Cuenco Ave",Open until 12:00 am,(032) 236 0154,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
new Libres Pharmacy,5.0,(1),Pharmacy,"B. Rodriguez St (fronting VSMMC), Capitol Site",,(032) 253 5363,,,
La Nueva Pharmacy,4.3,(3),Pharmacy,Natalio B. Bacalso Ave,Open until 10:00 pm,(032) 520 7398,,,
5th Avenue Pharmacy,5.0,(1),Pharmacy,"Angelica Building, Osmeña Blvd",Open until 7:00 pm,(032) 419 9612,,,
La Nueva Pharmacy,3.0,(1),Pharmacy,Magallanes St,Open until 8:00 pm,(032) 236 7382,,,
Watsons Pharmacy,5.0,(1),Pharmacy,"Outlet 1 near Informatic, SM Cebu City, North Reclamation Area",Open until 9:00 pm,(02) 7902 8888,http://www.watsons.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Rose Pharmacy Legaspi Cebu,3.6,(7),Pharmacy,"Door 2, G/F Gorres Lacson Bldg.",Open until 10:00 pm,(032) 256 1645,,,
ThreeSixty Pharmacy,4.5,(2),Pharmacy,General Maxilom Ave,Open until 9:00 pm,0905 370 4724,http://www.threesixtypharmacy.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Rose Pharmacy,2.1,(7),Pharmacy,"Visagas Community Medical Center Mixed-Use Bldg, Osmeña Blvd",,(032) 230 5021,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
GENERIKA DRUGSTORE,4.0,(1),Pharmacy,#930 Salinas Drive COR Gorordo AVE. Lahug Cebu City,Open until 11:00 pm,0922 864 3582,http://www.generika.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Completesolution Pharmacy and General Merchandise,4.0,(1),Pharmacy,174 Gov. M. Roa St,,(032) 253 1188,http://www.completesolutionpharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Rose Pharmacy,3.3,(3),Pharmacy,"G/F Elizabeth Mall, cor. Leon Kilat & N. Bacalso Ave.",Open until 8:00 pm,(032) 256 3647,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Diding's Pharmacy,5.0,(1),Pharmacy,174 Manalili St,Open until 7:00 pm,(032) 255 8622,,,
Rose Pharmacy,4.0,(1),Pharmacy,"Salvador ext.,Labangon",Open until 11:00 pm,(032) 260 1421,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Pharmacy & Gen. Merchandise,1.0,(1),Pharmacy,"Maple Wood Bldg, J. Diola St",Open until 10:00 pm,0926 684 2075,,,
King's Pharmacy,4.3,(3),Pharmacy,Sanciangko Cor. Borromeo St.,Open until 7:00 pm,(032) 254 3264,,,
Rose Pharmacy- Tita Gwapa Labangon,3.5,(2),Pharmacy,Francisco Llamas St,Open until 10:00 pm,(032) 262 2694,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Rose Pharmacy,3.4,(11),Pharmacy,"G/F-5, Ground Floor, Gagfa I.T Center, Access road,Mabolo",Open until 11:00 pm,(032) 262 0082,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
The Generics Pharmacy,4.5,(2),Pharmacy,138 Colon St,Open until 9:00 pm,(032) 264 5963,,,
Rose Pharmacy,3.7,(3),Pharmacy,"Skyrise 1, I. Villa St",Open until 9:00 pm,(032) 254 7217,https://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Threesixty Pharmacy,2.0,(2),Pharmacy,M. J. Cuenco Ave,Open until 12:00 am,(032) 236 0154,http://threesixtypharmacy.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Threesixty Pharmacy,3.7,(3),Pharmacy,Francisco Llamas St,Open until 11:00 pm,(032) 261 6426,,,
Bing Pharmacy,3.3,(4),Pharmacy,V Rama Ave,Open until 10:00 pm,(032) 422 8251,https://www.facebook.com/Bing-Pharmacy-Mandaue-Branch-165022546905725/info/?tab=page_info,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Med Central Pharmacy,5.0,(1),Pharmacy,"General Maxilom Avenue, corner General Echavez Street, Zapatera",Open until 7:00 pm,(032) 232 6328,,,
Rose Pharmacy- Shopwise Basak,3.3,(3),Pharmacy,Cebu S Rd,Open until 12:00 am,(032) 261 0109,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Pharmacy,5.0,(1),Pharmacy,"La Nueva Building, M. C. Briones St",Open until 9:00 pm,(032) 255 8360,,,
Three Sixty Pharmacy,3.6,(7),Pharmacy,Gov. M. Roa St,Open until 10:00 pm,(032) 256 1645,https://www.facebook.com/ThreeSixty-Pharmacy-Official-Fan-Page-300661136709388/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Rose Pharmacy,3.7,(3),Pharmacy,"Piazza Elesia Comm'l. Bldg., Talamban",Open until 12:00 am,(032) 344 6771,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Rose Pharmacy,4.0,(2),Pharmacy,Gaisano Tisa Labangon,Open until 8:30 pm,(032) 262 7387,,,
Mercury Drug,3.8,(10),Pharmacy,"M. Diaz Building, Osmeña Blvd",Open until 10:00 pm,(032) 254 3050,http://www.mercurydrug.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
