section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-info,section-result-info 2,section-result-action href,section-result-action-icon src,section-result-action-text
Rose Pharmacy,3.3,(3),Pharmacy,"G/F Elizabeth Mall, cor. Leon Kilat & N. Bacalso Ave.",Open until 8:00 pm,(032) 256 3647,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
King's Pharmacy,4.3,(3),Pharmacy,Sanciangko Cor. Borromeo St.,,(032) 254 3264,,,
Louis Pharmacy,,,Pharmacy,91Panganiban Street,,(032) 255 2441,,,
Visayan,,,Pharmacy,82-A Katipunan St,,0923 627 5733,,,
Pharmacy & Gen. Merchandise,1.0,(1),Pharmacy,"Maple Wood Bldg, J. Diola St",,0926 684 2075,,,
TGP The Generics Pharmacy,5.0,(2),Pharmacy,"ONE BLDG., 242 MAGALLANES ST., LAPU-LAPU CITY, CEBU",Open until 9:00 pm,,http://www.tgp.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Thinkcare Pharmacy,,,Pharmacy,Central Nautical Hwy,,(032) 406 0999,,,
Watsons Pharmacy,5.0,(1),Pharmacy,"Outlet 1 near Informatic, SM Cebu City, North Reclamation Area",Open until 9:00 pm,(02) 7902 8888,http://www.watsons.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
SOUTHSTAR DRUG,3.0,(3),Pharmacy,"SOUTH CENTRAL SQUARE, LAWAAN III",Open until 9:00 pm,(032) 239 7101,http://www.southstardrug.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Med Central Pharmacy,,,Pharmacy,"General Maxilom Avenue, corner General Echavez Street, Zapatera",,(032) 232 6328,,,
TGP The Generics Pharmacy,,,Pharmacy,"ELIZABETH MALL, N. BACALSO COR. LEON KILAT ST., CEBU CITY",Open until 9:00 pm,,http://www.tgp.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
SOUTHSTAR DRUG,,,Pharmacy,"G/F UNIT 32 ISLAND CENTRAL MALL, MEZ 1",Open until 10:00 pm,(032) 266 0638,http://www.southstardrug.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Arise and Shine Pharmacy,,,Pharmacy,"Panganiban Street, Central, Pahina",,(032) 418 4089,,,
Pharmacy Han,,,Pharmacy,14 Plaridel St,Open until 6:00 pm,(032) 266 4486,,,
Mercury Drug,4.0,(1),Pharmacy,Central Nautical Road,,,https://www.mercurydrug.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
new Libres Pharmacy,5.0,(1),Pharmacy,"B. Rodriguez St (fronting VSMMC), Capitol Site",,(032) 253 5363,,,
Escabarte Pharmacy,1.0,(1),Pharmacy,Tiguib-Tumampon Barangay Rd,,,,,
Bing 368 General Merchandise and Pharmacy,,,Pharmacy,"2332, Lomboy Street, Banawa",,(032) 253 4893,,,
Diding's Pharmacy,5.0,(1),Pharmacy,174 Manalili St,Open until 7:00 pm,(032) 255 8622,,,
July Pharmacy,,,Pharmacy,Tupas St,,(032) 261 2194,,,
Pharmacy,3.3,(3),Pharmacy,"La Nueva Building, M. C. Briones St",Open until 8:00 pm,(032) 255 8360,,,
Cebu Worldwide Pharmacy,4.3,(3),Pharmacy,195 Magallanes St,,(032) 254 7217,,,
