section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-info,section-result-info 2,section-result-action href,section-result-action-icon src,section-result-action-text
LA METISSE Salon de Beauté,4.8,(12),Beauty salon,"Unit 121, RainTree Mall, Fuente Osmeña Cir",Temporarily closed,(032) 266 9198,http://www.lametisse.net/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Ric D Salon,4.5,(27),Beauty salon,Patalinghug Avenue,Temporarily closed,(032) 494 0346,,,
COLORBAR Salon and Day Spa,4.4,(12),Hair salon,"G/F FPN Epic Center, A.S. Fortuna St.",Temporarily closed,(032) 236 8044,https://www.facebook.com/ColorbarSalonCebu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Bridges Salon,4.2,(25),Beauty salon,"9410, The Gallery, Pope John Paul II Ave",Temporarily closed,(032) 233 0023,,,
Salon De Rose,4.6,(13),Hair salon,V Rama Ave,Temporarily closed,(032) 253 6220,http://www.salonderose.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Salon De Rose,3.2,(12),Beauty salon,1 Salinas Dr,Temporarily closed,(032) 260 2009,https://www.facebook.com/salonderose/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Salon de Rose,4.1,(31),Beauty salon,Osmeña Blvd,Temporarily closed,(032) 253 1331,http://www.salonderose.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Richton Hair Salon Inc.,4.0,(2),Beauty salon,Gaisano Country Mall,Temporarily closed,(032) 234 2973,,,
Piandre Salon,4.3,(33),Beauty salon,"Oakridge Business Park, 880 A. S. Fortuna St",Temporarily closed,(032) 412 1824,http://www.piandre.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Expose Salon,4.5,(37),Beauty salon,"Unit Q, Crossroads Mall, Gov. M. Cuenco Ave.",Temporarily closed,(032) 231 6550,,,
Image Salon,3.5,(6),Beauty salon,F. Ramos St,Temporarily closed,,,,
Fe & Nicole Salon And Spa,2.3,(8),Beauty salon,Gorordo Ave,Temporarily closed,(032) 268 7589,https://www.facebook.com/pages/Fe-And-Nicole-Salon/338718372811129,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Hair Salon K,4.0,(7),Hair salon,"J Centre Building, A. S. Fortuna St",Temporarily closed,(032) 520 7788,,,
Salon De Rose,2.6,(31),Beauty salon,"Ayala Center, Barrio Luz, Bohol Ave",Temporarily closed,(032) 231 7328,http://www.salonderose.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Chulo Hair Salon,4.7,(16),Beauty salon,"Rosedale, LDM Building, 2010 Gov. M. Cuenco Ave",Temporarily closed,(032) 236 6113,https://www.facebook.com/chulohairsalon/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
David's Salon,4.5,(2),Hair salon,"Park Mall, Ouano Avenue",Temporarily closed,(032) 520 1603,http://www.davidsalon.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Chin Korean Hair Salon,3.4,(9),Hair salon,"One Acacia Place, Unit 5, Acacia St",Temporarily closed,(032) 417 1395,,,
Mirangcurl Korean Salon,4.3,(77),Beauty salon,"Bonifacio District, 6000, F. Cabahug St",Temporarily closed,0906 591 4550,https://www.facebook.com/MirangcurlMaboloCebu/?ref=br_rs,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Rica's Hair Salon,4.7,(3),Beauty salon,Katipunan St,Temporarily closed,0916 207 8557,http://www.facebook.com/Ricas-hair-salon-labangun-branch-471969792981868,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Salon De Rose,2.6,(22),Beauty salon,"SM City Cebu, north reclamation area",Temporarily closed,(032) 232 0689,http://www.salonderose.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
LA METISSE Salon de Beauté,4.8,(12),Beauty salon,"Unit 121, RainTree Mall, Fuente Osmeña Cir",Temporarily closed,(032) 266 9198,http://www.lametisse.net/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Ric D Salon,4.5,(27),Beauty salon,Patalinghug Avenue,Temporarily closed,(032) 494 0346,,,
COLORBAR Salon and Day Spa,4.4,(12),Hair salon,"G/F FPN Epic Center, A.S. Fortuna St.",Temporarily closed,(032) 236 8044,https://www.facebook.com/ColorbarSalonCebu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Bridges Salon,4.2,(25),Beauty salon,"9410, The Gallery, Pope John Paul II Ave",Temporarily closed,(032) 233 0023,,,
Salon De Rose,4.6,(13),Hair salon,V Rama Ave,Temporarily closed,(032) 253 6220,http://www.salonderose.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Salon De Rose,3.2,(12),Beauty salon,1 Salinas Dr,Temporarily closed,(032) 260 2009,https://www.facebook.com/salonderose/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Salon de Rose,4.1,(31),Beauty salon,Osmeña Blvd,Temporarily closed,(032) 253 1331,http://www.salonderose.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Richton Hair Salon Inc.,4.0,(2),Beauty salon,Gaisano Country Mall,Temporarily closed,(032) 234 2973,,,
Piandre Salon,4.3,(33),Beauty salon,"Oakridge Business Park, 880 A. S. Fortuna St",Temporarily closed,(032) 412 1824,http://www.piandre.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Expose Salon,4.5,(37),Beauty salon,"Unit Q, Crossroads Mall, Gov. M. Cuenco Ave.",Temporarily closed,(032) 231 6550,,,
Image Salon,3.5,(6),Beauty salon,F. Ramos St,Temporarily closed,,,,
