section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-info,section-result-location,section-result-info 2,section-result-description,section-result-info 3
LAND LOYALTY SOUVENIR SHOP,1.0,(1),Shopping mall,Temporarily closed,,,,
Shangs Island Town Center ( Shopping Mall / Supermarket / Restaurants / Spa ),3.9,(893),Shopping mall,Temporarily closed,M.L Quezon National Highway Datag Maribago,(032) 505 2102,,
The Outlets at Pueblo Verde,4.3,"(1,138)",Outlet mall,Temporarily closed,"Pueblo Verde, 6015 MEZ II",(032) 411 1610,,
One Pacific Square,3.6,(11),Shopping mall,Temporarily closed,"One Pacific Residence, Newtown Blvd",,,
APM Shopping Center,3.8,(651),Shopping mall,Temporarily closed,A. Soriano Ave,,,
Mactan Marina Mall,3.8,"(1,772)",Shopping mall,Temporarily closed,,0999 449 5382,,
Mactan Seaport Village,3.8,(20),Shopping mall,Temporarily closed,Punta Engaño Rd,,,
PVH Vanheusen Shop Madison Retailers Incorporated,3.7,(3),Shopping mall,Temporarily closed,4589 Juan Luna Extension Avenue,(032) 231 6260,,
Gaisano Mall Mactan Island,3.8,"(1,868)",Shopping mall,Temporarily closed,gaisano mactan club mon lapulapu mactan,0915 378 3680,,
Robinson Commercial Complex,4.0,(1),Shopping mall,Temporarily closed,"Osmeña Blvd, Cebu City",(032) 255 4784,,
SM City Cebu,4.4,"(15,414)",Shopping mall,,Juan Luna Avenue,(032) 231 0557,Large shopping mall with a cinema,Open until 10:00 pm
Submarine Gift Shop,4.5,(64),Shopping mall,Temporarily closed,,(032) 384 3356,,
Super Metro,4.1,"(1,183)",Shopping mall,,Colon Corner Junquera Street,(032) 254 2106,,Open until 9:00 pm
E-shop Multibrands,2.3,(3),Shopping mall,Temporarily closed,"Mandaue City, M. L., 779 M. L. Quezon Ave",,,
J Centre Mall,4.1,"(5,102)",Shopping mall,,165 A. S. Fortuna St,0906 406 1880,Mall with a food court & restaurants,Open until 9:00 pm
H Mall,3.8,(49),Shopping mall,Temporarily closed,"Corner Pajac - Maribago Road, Basak-Cagodoy-Bankal-Buaya Road",0923 303 9739,,
Ayala Center Cebu,4.4,"(13,738)",Shopping mall,,Cardinal Rosales Ave,(032) 888 3777,Large modern mall with a cinema,
S&R Membership Shopping,4.3,"(1,453)",Shopping mall,,168 Ouano Avenue,(032) 238 9998,,Open until 9:00 pm
Maribago Coast Center Arcade,4.5,(2),Shopping mall,Temporarily closed,,,,
Parkmall,4.2,"(5,955)",Shopping mall,,"Ouano Avenue, Mandaue Reclamation Area",(032) 344 7817,Pet-friendly mall with shops & eateries,Open until 9:00 pm
Audionet Cellphone & Laptop Repair,3.5,"(1,610)",Shopping mall,Temporarily closed,"Basak-Marigondon Road, Grandmall",0926 663 0946,,
GPH CENTRAL,3.9,(893),Shopping mall,Temporarily closed,,(032) 505 2102,,
Marketplace at Collinwood,4.7,(3),Shopping mall,Temporarily closed,Collinwood Subdivision Rd,(032) 411 1610,,
Ritchell Eupinado,2.0,(1),Shopping mall,Temporarily closed,143 Plaridel St,,,
Gaisano Country Mall,3.8,"(3,007)",Shopping mall,Temporarily closed,Banilad Rd,(032) 231 1481,"Large, open-air shopping center",Open until 9:00 pm
Fashion Hive Concept Store,3.5,(6),Shopping mall,Temporarily closed,"CS Ladia Bldg #49, Pantaleon del Rosario St",0915 009 4314,,
138 Wholesale Mall,3.9,(247),Shopping mall,Temporarily closed,Colon St,0922 560 9452,,
Escario Central Mall,4.1,(324),Outlet mall,Temporarily closed,N Escario St,(032) 520 2222,,
RR Stop & Shop,1.7,(3),Shopping mall,Temporarily closed,"15, Zulueta Street",(032) 412 1036,,
Bridges Town Square,3.7,(197),Shopping mall,Temporarily closed,,(032) 344 4575,,
Accessorize,3.0,(2),Shopping mall,Temporarily closed,"165, J Centre Mall, AS Fortuna Street, Bakilid",(032) 239 5420,Large shopping mall with a cinema,Open until 10:00 pm
YOUKA SHOPPING MART,4.2,(9),Shopping mall,Temporarily closed,A. Del Rosario St,(032) 384 3356,,
Gatewalk Central,4.3,(23),Shopping mall,Temporarily closed,,0935 224 4945,,Open until 9:00 pm
Posh Concept Store,4.0,(2),Shopping mall,Temporarily closed,2 Gorordo Ave,3243927,,
Greatway Center,4.1,"(5,102)",Shopping mall,Temporarily closed,Ibabao - Gisi - Agus Rd,0933 815 0766,Mall with a food court & restaurants,Open until 9:00 pm
Talisay Town Center,4.1,(10),Shopping mall,Temporarily closed,,(032) 272 8120,,
Shangs Island Central Parking Area,4.3,(9),Shopping mall,Temporarily closed,,(032) 888 3777,Large modern mall with a cinema,
Cebu Online Shopping,4.3,"(1,453)",Shopping mall,Temporarily closed,,(032) 238 9998,,Open until 9:00 pm
Jim's Egg Shop,4.5,(2),Shopping mall,Temporarily closed,Matumbo-Pusok Road,,,
Cocomall,3.4,(58),Shopping mall,Temporarily closed,"Corner Osmeña Boulevard and Ma. Cristina Street,Cebu City. Osmeña Blvd",(032) 344 7817,Pet-friendly mall with shops & eateries,Open until 9:00 pm
Robinsons Fuente,4.1,"(1,094)",Shopping mall,Temporarily closed,Fuente Osmeña Cir,(032) 255 5590,,
Next Jeans SM Department Store,3.9,(893),Shopping mall,Temporarily closed,J. De Vera Street,(032) 505 2102,,
The Walk,4.2,(853),Shopping mall,Temporarily closed,Abad St,(032) 411 1610,,
Plaza Nouvelle,4.0,(118),Shopping mall,Temporarily closed,2 E Benedicto St,,,
"Expressions Stationery Shop, Inc. - Robinsons Cebu",4.0,(4),Shopping mall,Temporarily closed,"2/Floor Robinsons Place Cebu, Fuente Osmeña Boulevard, Cebu City, Cebu",(032) 412 7484,"Large, open-air shopping center",Open until 9:00 pm
Gaisano Grand Mall,1.0,(1),Shopping mall,Temporarily closed,"Villa St. Corner, Gica St",(032) 471 9980,,
Island Central Mactan,4.0,"(1,445)",Shopping mall,Temporarily closed,MEPZ Ecozone,(032) 888 6194,Trendy mall with familiar offerings,Open until 10:00 pm
Super Shopping Market Incorporated,4.0,(3),Shopping mall,Temporarily closed,"Jmall Center, A.S. Fortuna Street, Bakilid",(032) 831 1888,,
NorthDrive Mall,4.2,(223),Shopping mall,Temporarily closed,Ouano Avenue,(032) 412 1036,,
SM Seaside City Cebu,4.5,"(8,541)",Shopping mall,Temporarily closed,Juan Luna Avenue,(032) 340 8756,,Open until 7:00 pm
Colonnade Supermarket,4.2,(91),Shopping mall,Temporarily closed,,(032) 239 5420,Large shopping mall with a cinema,Open until 10:00 pm
City Wing,4.4,(42),Outlet mall,Temporarily closed,,(032) 384 3356,,
Resin Christmas Village Shop,3.3,(7),Shopping mall,Temporarily closed,888 Sacris Rd,(032) 238 7855,,Open until 9:00 pm
South Town Centre,4.1,(770),Shopping mall,Temporarily closed,285 Cebu S Rd,(032) 272 6366,,
WedoShop Cebu,4.1,"(5,102)",Shopping mall,Temporarily closed,2/F Times Square Talamban,(02) 8921 9459,Mall with a food court & restaurants,Open until 9:00 pm
Adidas Outlet,4.2,(46),Shopping mall,Temporarily closed,,(032) 272 8120,,
Fork In The Road,3.5,(17),Shopping mall,Temporarily closed,,(032) 888 3777,Large modern mall with a cinema,
Elizabeth Mall,3.9,"(3,465)",Shopping mall,Temporarily closed,Natalio B. Bacalso Ave,(032) 417 7735,"Shopping, dining & entertainment complex",Open until 8:00 pm
Grand Arcade,4.1,(8),Shopping mall,Temporarily closed,,,,
Gaisano Saver's Mart,3.8,(164),Shopping mall,Temporarily closed,"Kagodoy, Basak-Marigondon Rd",(032) 344 7817,Pet-friendly mall with shops & eateries,Open until 8:30 pm
Girbaud,4.3,(3),Shopping mall,Temporarily closed,"SM City Cebu, Juan Luna Avenue Extension, Dakbayan sa Sugbu",(032) 231 6600,,
City Time Square,4.2,"(1,303)",Shopping mall,Temporarily closed,,(032) 328 0875,,
SUPER METRO MANDAUE,4.4,(20),Shopping mall,Temporarily closed,153 S.B.Cabahug,(032) 411 1610,,
Rustan's Department Store,4.7,(21),Shopping mall,Temporarily closed,"Bohol Avenue, Ayala Center",,,
Metro Gaisano Colon,4.1,"(1,398)",Shopping mall,Temporarily closed,179 Osmena Boulevard Juan Luna St,(032) 416 8793,"Large, open-air shopping center",Open until 9:00 pm
JY Square Mall,3.7,"(2,265)",Shopping mall,Temporarily closed,1 Salinas Dr,(032) 232 7235,,
Banilad Town Centre,4.1,"(1,248)",Shopping mall,Temporarily closed,Gov. M. Cuenco Ave,(032) 345 3260,Trendy mall with familiar offerings,Open until 10:00 pm
Miniso,4.3,(218),Shopping mall,Temporarily closed,"Sm City Cebu, 2nd floor, Juan Luna Ave Ext",(032) 831 1888,,
Avenue Foundry Shop Incorporated,1.0,(1),Shopping mall,Temporarily closed,36 M L Quezon Street,(032) 345 0106,,
marina mall,3.7,(3),Shopping mall,Temporarily closed,,(032) 340 8756,,Open until 7:00 pm
PUFF HARD VAPE SHOP,4.2,(91),Shopping mall,Temporarily closed,R. Duterte St,0905 485 1865,Large shopping mall with a cinema,Open until 10:00 pm
Leyte Furniture and Antique Shop,4.4,(42),Shopping mall,Temporarily closed,"2-B, Archbishop Reyes Avenue",(032) 238 0758,,
Novo,3.6,(106),Shopping mall,Temporarily closed,Osmeña Blvd,(032) 238 7855,,Open until 9:00 pm
J-BOX Vulcanizing shop,4.1,(770),Shopping mall,Temporarily closed,,(032) 272 6366,,
SM Mall,4.4,"(2,729)",Shopping mall,Temporarily closed,SM City Cebu,(032) 231 0557,Mall with a food court & restaurants,Open until 9:00 pm
Robinson's Cybergate,4.0,"(1,965)",Shopping mall,Temporarily closed,132 Don Mariano Cui St,(032) 505 8955,Shopping mall with casual eateries,Open until 9:00 pm
Cebu Island Online Shopping Mall,3.5,(17),Shopping mall,Temporarily closed,"057-A Sun Valley Subd, V Rama Ave",(032) 262 6526,Large modern mall with a cinema,
Design Center of Cebu,4.3,(94),Shopping mall,Temporarily closed,"356-A A.S. Fortuna Corner P Remedio Streets,, Banilad",0917 711 4196,"Shopping, dining & entertainment complex",Open until 8:00 pm
MCA Arcade,3.4,(22),Shopping mall,Temporarily closed,,,,
Nathiña Beauty Shop Lapu Lapu,3.8,(164),Shopping mall,Temporarily closed,"Maxima, Maximo V. Patalinghug Jr. Avenue",0928 270 0210,Pet-friendly mall with shops & eateries,Open until 8:30 pm
Gentle Taste Water Refilling Station & Laundry Shop,4.3,(3),Shopping mall,Temporarily closed,Tabunok,0928 870 4344,,
Gaisano Grand Mall Mactan,3.5,(196),Shopping mall,Temporarily closed,"Corner Basak, Ibabao - Gisi - Agus Rd",(032) 505 4365,,Open until 9:30 pm
Gaisano Grand Mall - Talamban,3.7,(789),Shopping mall,Temporarily closed,Kalubihan,(032) 520 5662,,Open until 9:00 pm
Shopwise Cebu,4.0,(743),Shopping mall,Temporarily closed,Natalio B. Bacalso Ave,(032) 266 5740,,Open until 10:00 pm
Gaisano Grand Fiesta Mall,4.0,"(1,404)",Shopping mall,Temporarily closed,"Gaisano Fiesta Mall, Natalio B. Bacalso S National Hwy",(032) 273 8888,"Clothing, food & housewares stores",Open until 8:00 pm
Insular Square,4.0,(680),Shopping mall,Temporarily closed,31 Central Nautical Hwy,(032) 346 8824,,
Gaisano Capital South,3.9,"(1,041)",Shopping mall,Temporarily closed,"Henry Gaisano Building, Colon Street Corner Leon Kilat Street",(032) 260 7888,Trendy mall with familiar offerings,Open until 8:00 pm
Raintree Mall,4.0,(3),Shopping mall,Temporarily closed,F. Ramos St,(032) 831 1888,,
Streetscape Mall Cebu,4.3,(311),Shopping mall,Temporarily closed,Paseo Saturnino,(032) 326 8188,,
Times Square Talamban,3.9,(301),Shopping mall,Temporarily closed,Gov. M. Cuenco Ave,(032) 415 7055,,Open until 9:00 pm
Mactan Town Center,4.2,(66),Shopping mall,Temporarily closed,,0905 485 1865,Large shopping mall with a cinema,Open until 10:00 pm
iO Eco Beauty Shop,4.4,(42),Shopping mall,Temporarily closed,Ompad St,(032) 344 3798,,
Gaisano Grand Mall Minglanilla,3.8,(562),Shopping mall,Temporarily closed,Cebu S Rd,(032) 273 8866,,Open until 9:00 pm
Ayala Center Cebu,4.4,"(1,827)",Shopping mall,Temporarily closed,6000 Cardinal Rosales Ave,(032) 243 4004,,
ELROI Cellphone and Accessories Shop,4.4,"(2,729)",Shopping mall,Temporarily closed,1 Basak-Sudtunggan Rd,0930 933 9850,Mall with a food court & restaurants,Open until 9:00 pm
Gaisano Capital Tisa,3.7,(571),Shopping mall,Temporarily closed,417 Francisco Llamas St,(032) 262 7777,Shopping mall with casual eateries,Open until 8:00 pm
Pagari Sewing Machine Shop,5.0,(1),Shopping mall,Temporarily closed,340 Sanciangko St,(032) 262 6526,Large modern mall with a cinema,
Cube Wing,4.0,(4),Outlet mall,Temporarily closed,,0906 079 6252,"Shopping, dining & entertainment complex",Open until 8:00 pm
IL Corso Mall,4.1,(224),Shopping mall,Temporarily closed,"IL Corso Mall, 6000 Cebu South Coastal Rd",(032) 232 0085,,
Robinsons Galleria Cebu,4.5,"(1,711)",Shopping mall,Temporarily closed,"Gen. Maxilom Avenue Extension, Sergio Osmeña Jr Boulevard",(032) 231 5030,Pet-friendly mall with shops & eateries,Open until 8:30 pm
Ayala Malls Central Bloc,4.1,(721),Shopping mall,Temporarily closed,"Central Bloc, I. Villa St",(02) 410 8800,Modern shopping mall with a cinema,Open until 11:00 pm
Active Zone,4.2,(411),Shopping mall,Temporarily closed,,(032) 505 4365,,Open until 9:30 pm
North Atrium Mandaue,3.6,(107),Shopping mall,Temporarily closed,Manuel C. Briones Highway,(032) 344 1727,,Open until 9:00 pm
Mountain Wing,4.4,(69),Outlet mall,Temporarily closed,,(032) 266 5740,,Open until 10:00 pm
The Pork Shop,4.4,(10),Shopping mall,Temporarily closed,969 V Rama Ave,(032) 261 4261,"Clothing, food & housewares stores",Open until 7:00 pm
DRESS SHOP,4.0,(680),Clothing store,Temporarily closed,,(032) 346 8824,,
TABS & PACS TARI SHOP,3.9,"(1,041)",Shopping mall,Temporarily closed,,0922 570 5278,Trendy mall with familiar offerings,Open until 8:00 pm
Unitop,4.1,(17),Shopping mall,Temporarily closed,G. Mangubat St,(032) 831 1888,,
Metro Hub Multisports,4.3,(311),Shopping mall,Temporarily closed,881 A. S. Fortuna St,(032) 326 8188,,
The Persimmon Plus,4.2,(353),Shopping mall,Temporarily closed,M. J. Cuenco Ave,(032) 415 7055,,Open until 9:00 pm
"Toys""R""Us Galleria Cebu",4.4,"(5,027)",Toy store,Temporarily closed,Level 2 Robinsons Place Galleria Cebu,(032) 260 8632,Large shopping mall with a cinema,Open until 10:00 pm
Belmont One,4.3,(9),Shopping mall,Temporarily closed,,0977 808 8000,,
City Times Square Mactan,4.1,(20),Shopping mall,Temporarily closed,,(032) 410 4014,,Open until 9:00 pm
Gaisano Grand Mandaue North,3.9,(167),Shopping mall,Temporarily closed,,(032) 243 4004,,Open until 9:00 pm
Prepper's Point Tactical Gear Cebu,5.0,(1),Shopping mall,Temporarily closed,APM Shopping Mall,0917 110 0194,Mall with a food court & restaurants,Open until 9:00 pm
Paseo Arcenas,4.1,(324),Shopping mall,Temporarily closed,"Banawa, R. Arcenas St",(032) 262 7777,Shopping mall with casual eateries,Open until 8:00 pm
Cebu Pasalubong Centre,4.0,(4),Shopping mall,Temporarily closed,"Mactan Marina Mall, Quezon National Highway",(032) 341 4731,Large modern mall with a cinema,
Insular Square,4.2,(11),Shopping mall,Temporarily closed,North Road,(032) 346 8824,"Shopping, dining & entertainment complex",Open until 8:00 pm
Pacific Mall Mandaue,4.2,(403),Shopping mall,Temporarily closed,U.N. Ave,(032) 232 0085,,
Axis Entertainment Avenue,4.3,(259),Shopping mall,Temporarily closed,"Vibo Place, N Escario St",(032) 412 2316,Pet-friendly mall with shops & eateries,Open until 8:30 pm
Gaisano Grand Mall Mandaue Centro,3.7,(9),Shopping mall,Temporarily closed,A. Del Rosario St,(032) 520 6040,Modern shopping mall with a cinema,Open until 11:00 pm
Tri-Ace Automotive Centre,4.3,(4),Shopping mall,Temporarily closed,"JAC Building, 519 M. J. Cuenco Ave",(032) 254 8748,,Open until 9:30 pm
SM Department Store,4.3,(70),Shopping mall,Temporarily closed,,(032) 344 1727,,Open until 7:00 pm
Jes Bicycle,5.0,(4),Shopping mall,Temporarily closed,sangi street,(032) 462 1256,,Open until 10:00 pm
Aqua Rose Style Shop,4.4,(10),Dress store,Temporarily closed,"Cebu Palm Grass Hotel, Junquera St",(032) 253 6244,"Clothing, food & housewares stores",Open until 7:00 pm
Maije Online Shopping,4.0,(680),Clothing store,Temporarily closed,"PUROK JUDAS BELT, Naga Rd",0995 938 6777,,
Ate Jay and Juvy Fashion Shop,4.2,(5),Clothing store,Temporarily closed,,0922 570 5278,Trendy mall with familiar offerings,Open until 8:00 pm
Morning MAST Laundry Shop,4.1,(17),Clothing store,Temporarily closed,V.H.Garces,(032) 831 1888,,
Lobby Shop,4.3,(311),Fashion accessories store,Temporarily closed,Punta Engaño Rd,(032) 231 0288,,
Mhegz Online Shop,4.2,(353),Clothing store,Temporarily closed,,(032) 423 0332,,Open until 9:00 pm
Endowment Plus Dress Shop,5.0,(1),Clothing store,Temporarily closed,Day-as Barangay Rd,0922 437 6924,Large shopping mall with a cinema,Open until 10:00 pm
Ashley Fashion Shop,4.3,(9),Clothing store,Temporarily closed,,0977 808 8000,,
MCC Laundry Shop,4.1,(20),Clothing store,Temporarily closed,,(032) 410 4014,,Open until 9:00 pm
Kaking Shopping Center,4.0,(23),Department store,Temporarily closed,"Cor.6 Dionisio Jakosalem St, Osmeña Blvd",(032) 255 8447,,Open until 9:00 pm
MCC Laundry Shop,5.0,(1),Clothing store,Temporarily closed,294 S.B.Cabahug,0917 110 0194,Mall with a food court & restaurants,Open until 9:00 pm
Pepe Jeans,4.1,(324),Men's clothing store,Temporarily closed,2 Archbishop Reyes Ave,(032) 262 7777,Shopping mall with casual eateries,Open until 8:00 pm
"MINISO, SM Consolacion",4.5,(2),Shopping mall,Temporarily closed,SM,(032) 341 4731,Large modern mall with a cinema,
KC RTW Shop,4.2,(11),Clothing store,Temporarily closed,278 Manalili St,0906 529 3688,"Shopping, dining & entertainment complex",Open until 8:00 pm
Purple-Pink Shop,4.2,(403),Clothing store,Temporarily closed,J.P. Rizal St. Corner Valerio St. Lapu-Lapu,0999 355 0897,,
Bing's Dressmaking Shop,5.0,(1),Dressmaker,Temporarily closed,Lourdes Rd,(032) 412 2316,Pet-friendly mall with shops & eateries,Open until 7:00 pm
Big K Kaking Shopping Center,4.2,(6),Department store,Temporarily closed,"Park Mall, Ouano Avenue",(032) 238 1106,Modern shopping mall with a cinema,Open until 11:00 pm
Human Heart Nature,4.4,(42),Shopping mall,Temporarily closed,52 Jones Ave,(032) 412 9696,,Open until 9:30 pm
Dior,5.0,(1),Cosmetics store,Temporarily closed,"Upper Ground Floor Rustans Ayala Center, Bohol Avenue",(032) 231 5641,,Open until 7:00 pm
Cotton On,5.0,(4),Clothing store,Temporarily closed,"SM Seaside, F Vestil St Cor SRP",(032) 462 1256,,Open until 10:00 pm
Revlon,4.4,(10),Cosmetics store,Temporarily closed,"SM City Cebu, SM Department Store, Juan Luna Avenue, F. Cabahug Street",(032) 231 0058,"Clothing, food & housewares stores",Open until 7:00 pm
