section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-info,section-result-info 2,section-result-description,section-result-info 3
APM Shopping Center,3.8,(651),Shopping mall,A. Soriano Ave,Temporarily closed,,,
Shangs Island Town Center ( Shopping Mall / Supermarket / Restaurants / Spa ),3.9,(893),Shopping mall,M.L Quezon National Highway Datag Maribago,Temporarily closed,(032) 505 2102,,
Maribago Coast Center Arcade,4.5,(2),Shopping mall,,Temporarily closed,,,
Ayala Center Cebu,4.4,"(13,738)",Shopping mall,Cardinal Rosales Ave,,(032) 888 3777,Large modern mall with a cinema,
shoe center,5.0,(1),Shopping mall,"G/F, Park Mall Dr",Temporarily closed,(032) 256 0833,,
Greatway Center,,,Shopping mall,Ibabao - Gisi - Agus Rd,Temporarily closed,0933 815 0766,,
The Ridges Commercial Center,4.5,(2),Shopping mall,341 F. Cabahug St,Temporarily closed,,,
Talisay Town Center,4.1,(10),Shopping mall,,Temporarily closed,(032) 272 8120,,
Lite Port Center,5.0,(1),Shopping mall,M. J. Cuenco Ave,Temporarily closed,(032) 255 1721,,
J Centre Mall,4.1,"(5,102)",Shopping mall,165 A. S. Fortuna St,,0906 406 1880,Mall with a food court & restaurants,Open until 9:00 pm
SM City Cebu,4.4,"(15,414)",Shopping mall,Juan Luna Avenue,,(032) 231 0557,Large shopping mall with a cinema,Open until 10:00 pm
Island Center Mall,,,Shopping mall,Mactan Marina Mall,Temporarily closed,,,
Hapjaps,3.0,(1),Shopping mall,Ayala Entertainment Center,Temporarily closed,(032) 269 0236,,
Rustanette,,,Shopping mall,"2nd Floor Rustans Ayala Center, Bohol Avenue",Temporarily closed,(032) 231 5641,,
Banilad Town Centre,4.1,"(1,248)",Shopping mall,Gov. M. Cuenco Ave,Temporarily closed,(032) 345 3260,,
The Fresh Brand,,,Shopping mall,"Ground Level Rustans Ayala Center, Bohol Avenue",Temporarily closed,(032) 231 5641,,
Design Center of Cebu,4.3,(94),Shopping mall,"356-A A.S. Fortuna Corner P Remedio Streets,, Banilad",Temporarily closed,0917 711 4196,,
Beastar Fashion Center,2.0,(1),Shopping mall,"A.Soriano Avenue. Cebu Port Center N.R.A., F. Cabahug St",Temporarily closed,,,
Primark Town Center Mactan,4.0,(2),Shopping mall,,Temporarily closed,,,
Crossing Department Store Corporation,4.2,(10),Shopping mall,"Aboitiz Corporate Center, Governor Manual A Cuenco Avenue",Temporarily closed,(032) 411 1800,,
Labangon Town Center,4.2,(41),Shopping mall,Katipunan St,Temporarily closed,,,
Canduman Town Center,3.8,(158),Shopping mall,H. Abellana St,Temporarily closed,(032) 505 2102,,
Mactan Town Center,4.2,(66),Shopping mall,,Temporarily closed,,,
Five Crown,4.4,"(13,738)",Shopping mall,"Ground Level Rustans Ayala Center, Bohol Avenue",Temporarily closed,(032) 231 5641,Large modern mall with a cinema,
Gold Mountain Center,5.0,(1),Shopping mall,,Temporarily closed,(032) 256 0833,,
Ayala Center,,,Shopping mall,"318B 3/F Ayala Center Cebu, Cebu Business Park",Temporarily closed,0933 815 0766,,
Mactan Tropics Center,4.0,(3),Shopping mall,,Temporarily closed,,,
Ayala Terraces,4.4,"(3,894)",Shopping mall,Biliran Rd,Temporarily closed,(032) 233 2362,,
Ayala Center Cebu,4.4,"(1,827)",Shopping mall,6000 Cardinal Rosales Ave,Temporarily closed,(032) 243 4004,,
Insight,4.1,"(5,102)",Shopping mall,"Ground Level Rustans Ayala Center, Bohol Avenue",Temporarily closed,(032) 231 5641,Mall with a food court & restaurants,Open until 9:00 pm
"Ayala Center Cebu, Cardinal Rosales Avenue, Cebu City, Cebu",4.3,(49),Outlet mall,"Ayala Center, Cardinal Rosales Ave",Temporarily closed,(032) 231 0557,Large shopping mall with a cinema,Open until 10:00 pm
atomy cebu dream center,,,Shopping mall,PH Cebu City 3rd floor unit 302 MIT building at,Temporarily closed,0922 702 2523,,
Gatewalk Central,4.3,(23),Shopping mall,,Temporarily closed,0935 224 4945,,
Periwinkle,,,Shopping mall,"2nd Floor Rustans Ayala Center, Bohol Avenue",Temporarily closed,(032) 231 5641,,
Fruit of the Loom,4.1,"(1,248)",Shopping mall,"2nd Floor Rustans Ayala Center, Bohol Avenue",Temporarily closed,(032) 231 5641,,
Blu Pepper,,,Shopping mall,"Ground Level Rustans Ayala Center, Bohol Avenue",Temporarily closed,(032) 231 5641,,
South Town Centre,4.1,(770),Shopping mall,285 Cebu S Rd,Temporarily closed,(032) 272 6366,,
Super Shopping Market Incorporated,4.0,(3),Shopping mall,"Jmall Center, A.S. Fortuna Street, Bakilid",Temporarily closed,(032) 831 1888,,
Soul Edge,4.0,(2),Shopping mall,"Ground Level Rustans Ayala Center, Bohol Avenue",Temporarily closed,(032) 231 5641,,
Rustan's Department Store,4.7,(21),Shopping mall,"Bohol Avenue, Ayala Center",Temporarily closed,(032) 411 1800,,
Bosch Design Center (Home Appliances),5.0,(1),Shopping mall,A. S. Fortuna St,Temporarily closed,(032) 418 1083,,
Gaisano Mall Mactan Island,3.8,"(1,868)",Shopping mall,gaisano mactan club mon lapulapu mactan,Temporarily closed,0915 378 3680,,
Top Kids,4.2,(66),Shopping mall,"2nd Floor Rustans Ayala Center, Bohol Avenue",Temporarily closed,(032) 231 5641,,
