section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-description,section-result-info,section-result-info 2,section-result-info 3
SM City Cebu,4.4,"(15,414)",Shopping mall,Juan Luna Avenue,Large shopping mall with a cinema,Open until 10:00 pm,(032) 231 0557,
One Pacific Square,3.6,(11),Shopping mall,"One Pacific Residence, Newtown Blvd",,,,Temporarily closed
Shangs Island Town Center ( Shopping Mall / Supermarket / Restaurants / Spa ),3.9,(893),Shopping mall,M.L Quezon National Highway Datag Maribago,,,(032) 505 2102,Temporarily closed
APM Shopping Center,3.8,(651),Shopping mall,A. Soriano Ave,,,,Temporarily closed
Maribago Coast Center Arcade,4.5,(2),Shopping mall,,,,,Temporarily closed
Parkmall,4.2,"(5,955)",Shopping mall,"Ouano Avenue, Mandaue Reclamation Area",Pet-friendly mall with shops & eateries,Open until 9:00 pm,(032) 344 7817,
Island Central Mactan,4.0,"(1,445)",Shopping mall,MEPZ Ecozone,Trendy mall with familiar offerings,Open until 10:00 pm,(032) 888 6194,
Ayala Center Cebu,4.4,"(13,738)",Shopping mall,Cardinal Rosales Ave,Large modern mall with a cinema,,(032) 888 3777,
H Mall,3.8,(49),Shopping mall,"Corner Pajac - Maribago Road, Basak-Cagodoy-Bankal-Buaya Road",,,0923 303 9739,Temporarily closed
The Ridges Commercial Center,4.5,(2),Shopping mall,341 F. Cabahug St,,,,Temporarily closed
Gaisano Country Mall,3.8,"(3,007)",Shopping mall,Banilad Rd,"Large, open-air shopping center",Open until 9:00 pm,(032) 231 1481,
mall,5.0,(1),Shopping mall,,,,0999 851 8230,Temporarily closed
Gaisano Mall Mactan Island,3.8,"(1,868)",Shopping mall,gaisano mactan club mon lapulapu mactan,,,0915 378 3680,Temporarily closed
Mactan Marina Mall,3.8,"(1,772)",Shopping mall,,,,0999 449 5382,Temporarily closed
Super Metro,4.1,"(1,183)",Shopping mall,Colon Corner Junquera Street,,Open until 9:00 pm,(032) 254 2106,
Mactan Seaport Village,3.8,(20),Shopping mall,Punta Engaño Rd,,,,Temporarily closed
L.A.Centre Commercial Building,4.0,(1),Shopping mall,"Tungkil,",,,0977 390 6023,Temporarily closed
J Centre Mall,4.1,"(5,102)",Shopping mall,165 A. S. Fortuna St,Mall with a food court & restaurants,Open until 9:00 pm,0906 406 1880,
Audionet Cellphone & Laptop Repair,3.5,"(1,610)",Shopping mall,"Basak-Marigondon Road, Grandmall",,,0926 663 0946,Temporarily closed
JY Square Mall,3.7,"(2,265)",Shopping mall,1 Salinas Dr,,,(032) 232 7235,Temporarily closed
Gatewalk Central,4.3,(23),Shopping mall,,Large shopping mall with a cinema,Open until 10:00 pm,0935 224 4945,Temporarily closed
Ritchell Eupinado,2.0,(1),Shopping mall,143 Plaridel St,,,,Temporarily closed
shoe center,5.0,(1),Shopping mall,"G/F, Park Mall Dr",,,(032) 256 0833,Temporarily closed
Chaser's Store,4.0,(2),Shopping mall,Marigondon Beach Rd,,,,Temporarily closed
Hapjaps,3.0,(1),Shopping mall,Ayala Entertainment Center,,,(032) 269 0236,Temporarily closed
Grand Arcade,4.1,(8),Shopping mall,,Pet-friendly mall with shops & eateries,Open until 9:00 pm,(032) 344 7817,Temporarily closed
CityMall--Cebu City,4.0,(1),Shopping mall,Natalio B. Bacalso Ave,Trendy mall with familiar offerings,Open until 10:00 pm,(032) 888 6194,Temporarily closed
wenaga store,3.6,(10),Shopping mall,A. Lopez St,Large modern mall with a cinema,,0943 656 4922,Temporarily closed
Plaza Nouvelle,4.0,(118),Shopping mall,2 E Benedicto St,,,0923 303 9739,Temporarily closed
Bridges Town Square,3.7,(197),Shopping mall,,,,(032) 344 4575,Temporarily closed
"Garden Row, Ayala Malls Central Bloc",3.8,"(3,007)",Shopping mall,Abad St,"Large, open-air shopping center",Open until 9:00 pm,(032) 231 1481,Temporarily closed
LEAH MALL,5.0,(1),Shopping mall,"N. Bacalso Avenue, South Highway",,,0906 293 0298,Temporarily closed
LWRS,3.8,"(1,868)",Shopping mall,135 Central Nautical Hwy,,,0998 868 7879,Temporarily closed
"Lotto Outlet, Fortune Square",4.0,(1),Shopping mall,,,,0922 867 7712,Temporarily closed
Robinsons Fuente,4.1,"(1,094)",Shopping mall,Fuente Osmeña Cir,,Open until 9:00 pm,(032) 255 5590,Temporarily closed
Talisay Town Center,4.1,(10),Shopping mall,,,,(032) 272 8120,Temporarily closed
One Pavillion,4.0,(90),Outlet mall,"One Pavilion Mall, 22 R. Duterte St. Banawa",,,(032) 239 8888,Temporarily closed
138 Wholesale Mall,3.9,(247),Shopping mall,Colon St,Mall with a food court & restaurants,Open until 9:00 pm,0922 560 9452,Temporarily closed
NorthDrive Mall,4.2,(223),Shopping mall,Ouano Avenue,,,0926 663 0946,Temporarily closed
City Soho Mall,4.7,(3),Shopping mall,59 Mirasol St,,,(032) 232 7235,Temporarily closed
GPH CENTRAL,4.3,(23),Shopping mall,,Large shopping mall with a cinema,Open until 10:00 pm,0935 224 4945,Temporarily closed
Primeway Plaza,2.0,(1),Shopping mall,176 F. Ramos St,,,(032) 234 3424,Temporarily closed
Fork In The Road,3.5,(17),Shopping mall,,,,(032) 256 0833,Temporarily closed
North Road Plaza,4.0,(2),Shopping mall,,,,,Temporarily closed
CALL IT SPRING SM SEASIDE CEBU,5.0,(1),Shopping mall,SM Seaside City,,,(032) 340 9317,Temporarily closed
SM Mall,4.4,"(2,729)",Shopping mall,SM City Cebu,Pet-friendly mall with shops & eateries,Open until 9:00 pm,(032) 231 0557,Temporarily closed
Gaisano Saver's Mart,3.8,(164),Shopping mall,"Kagodoy, Basak-Marigondon Rd",Trendy mall with familiar offerings,Open until 8:30 pm,(032) 888 6194,Temporarily closed
Ultramart Subangdako Branch,5.0,(3),Shopping mall,Hernan Cortes St,Large modern mall with a cinema,,0943 656 4922,Temporarily closed
Gaisano Grand Mall,1.0,(1),Shopping mall,"Villa St. Corner, Gica St",,,(032) 471 9980,Temporarily closed
South Town Centre,4.1,(770),Shopping mall,285 Cebu S Rd,,,(032) 272 6366,Temporarily closed
Metro Superstores Group,4.3,(9),Shopping mall,"M.Quizon Street, North Reclamation Area","Large, open-air shopping center",Open until 9:00 pm,(032) 236 8390,Temporarily closed
Colonnade Mall Cebu,4.1,"(1,456)",Shopping mall,Colon St,,,(032) 254 0618,Temporarily closed
Cebu Island Online Shopping Mall,3.8,"(1,868)",Shopping mall,"057-A Sun Valley Subd, V Rama Ave",,,(032) 262 6526,Temporarily closed
Elizabeth Mall,3.9,"(3,465)",Shopping mall,Natalio B. Bacalso Ave,"Shopping, dining & entertainment complex",Open until 8:00 pm,(032) 417 7735,Temporarily closed
Banilad Town Centre,4.1,"(1,248)",Shopping mall,Gov. M. Cuenco Ave,,Open until 9:00 pm,(032) 345 3260,Temporarily closed
Jim's Egg Shop,4.1,(10),Shopping mall,Matumbo-Pusok Road,,,(032) 272 8120,Temporarily closed
SM Seaside City Cebu,4.5,"(8,541)",Shopping mall,Juan Luna Avenue,,Open until 7:00 pm,(032) 340 8756,Temporarily closed
Cashier Office,3.9,(247),Shopping mall,"Elizabeth Mall, Natalio B. Bacalso Avenue",Mall with a food court & restaurants,Open until 9:00 pm,(032) 417 7738,Temporarily closed
Unitop,4.1,(17),Shopping mall,G. Mangubat St,,,0926 663 0946,Temporarily closed
Posh Concept Store,4.0,(2),Shopping mall,2 Gorordo Ave,,,3243927,Temporarily closed
SM City Cebu,4.5,"(1,072)",Shopping mall,"Juan Luna Ave. cor. Cabahug and, Kaohsiung St",Large shopping mall with a cinema,Open until 10:00 pm,(032) 231 3450,Temporarily closed
Gaisano Grand Mall Cordova,3.6,(388),Shopping mall,King Dagame Brgy,,Open until 8:30 pm,(032) 260 2754,Temporarily closed
Grand CityMall Bacalso - Cebu Construction,3.0,(1),Shopping mall,Natalio B. Bacalso Ave,,,(032) 256 0833,Temporarily closed
Sm Seaside,4.5,(57),Shopping mall,,,,,Temporarily closed
Mactan Town Center,4.2,(66),Shopping mall,,,,(032) 340 9317,Temporarily closed
Blu Pepper,4.4,"(2,729)",Shopping mall,"Ground Level Rustans Ayala Center, Bohol Avenue",Pet-friendly mall with shops & eateries,Open until 9:00 pm,(032) 231 5641,Temporarily closed
E-shop Multibrands,2.3,(3),Shopping mall,"Mandaue City, M. L., 779 M. L. Quezon Ave",Trendy mall with familiar offerings,Open until 8:30 pm,(032) 888 6194,Temporarily closed
Submarine Gift Shop,4.5,(64),Shopping mall,,Large modern mall with a cinema,,(032) 384 3356,Temporarily closed
Cocomall,3.4,(58),Shopping mall,"Corner Osmeña Boulevard and Ma. Cristina Street,Cebu City. Osmeña Blvd",,,(032) 471 9980,Temporarily closed
Island Center Mall,4.1,(770),Shopping mall,Mactan Marina Mall,,,(032) 272 6366,Temporarily closed
Escario Central Mall,4.1,(324),Outlet mall,N Escario St,"Large, open-air shopping center",Open until 9:00 pm,(032) 520 2222,Temporarily closed
Gaisano Grand Mall - Talamban,3.7,(789),Shopping mall,Kalubihan,,Open until 9:00 pm,(032) 520 5662,Temporarily closed
Borromeo Plaza II,3.5,(2),Shopping mall,A. Borromeo St,,,(032) 262 6526,Temporarily closed
The Outlets at Pueblo Verde,4.3,"(1,138)",Outlet mall,"Pueblo Verde, 6015 MEZ II","Shopping, dining & entertainment complex",Open until 8:00 pm,(032) 411 1610,Temporarily closed
City Time Square,4.2,"(1,303)",Shopping mall,,,Open until 9:00 pm,(032) 328 0875,Temporarily closed
CitiMall Cebu,4.1,(10),Shopping mall,,,,(032) 272 8120,Temporarily closed
Beastar Fashion Center,2.0,(1),Shopping mall,"A.Soriano Avenue. Cebu Port Center N.R.A., F. Cabahug St",,Open until 7:00 pm,(032) 340 8756,Temporarily closed
Accessorize,3.0,(2),Shopping mall,"165, J Centre Mall, AS Fortuna Street, Bakilid",Mall with a food court & restaurants,Open until 9:00 pm,(032) 239 5420,Temporarily closed
GQS Plaza,3.8,(4),Shopping mall,J. Panis Street,,,0926 663 0946,Temporarily closed
WedoShop Cebu,4.0,(2),Shopping mall,2/F Times Square Talamban,,,(02) 8921 9459,Temporarily closed
Raintree Mall,4.0,(3),Shopping mall,F. Ramos St,Large shopping mall with a cinema,Open until 10:00 pm,(032) 231 3450,Temporarily closed
One Central Mall,5.0,(1),Shopping mall,,,Open until 8:30 pm,(032) 260 2754,Temporarily closed
Labangon Town Center,4.2,(41),Shopping mall,Katipunan St,,,(032) 256 0833,Temporarily closed
Cebu Online Shopping,4.5,(57),Shopping mall,,,,,Temporarily closed
Primark Town Center Mactan,4.0,(2),Shopping mall,,,,(032) 340 9317,Temporarily closed
Canduman Town Center,3.8,(158),Shopping mall,H. Abellana St,Pet-friendly mall with shops & eateries,Open until 9:00 pm,(032) 231 5641,Temporarily closed
The Walk,4.2,(853),Shopping mall,Abad St,Trendy mall with familiar offerings,Open until 8:30 pm,(032) 888 6194,Temporarily closed
Platypus,4.5,(64),Shopping mall,"2nd Floor Rustans Ayala Center, Bohol Avenue",Large modern mall with a cinema,,(032) 231 5641,Temporarily closed
Top Kids,3.4,(58),Shopping mall,"2nd Floor Rustans Ayala Center, Bohol Avenue",,,(032) 231 5641,Temporarily closed
Streetscape Mall Cebu,4.3,(311),Shopping mall,Paseo Saturnino,,,(032) 326 8188,Temporarily closed
SM City Cebu Entrance 3,4.1,(324),Shopping mall,Juan Luna Ave Ext,"Large, open-air shopping center",Open until 9:00 pm,(032) 520 2222,Temporarily closed
Ayala Malls Central Bloc,4.1,(721),Shopping mall,"Central Bloc, I. Villa St",Modern shopping mall with a cinema,Open until 11:00 pm,(02) 410 8800,Temporarily closed
Gaisano Grand Mall Mactan,3.5,(196),Shopping mall,"Corner Basak, Ibabao - Gisi - Agus Rd",,Open until 9:30 pm,(032) 505 4365,Temporarily closed
U Girls,4.3,"(1,138)",Shopping mall,"Ground Level Rustans Ayala Center, Bohol Avenue","Shopping, dining & entertainment complex",Open until 8:00 pm,(032) 231 5641,Temporarily closed
Rustan's Department Store,4.7,(21),Shopping mall,"Bohol Avenue, Ayala Center",,Open until 9:00 pm,(032) 328 0875,Temporarily closed
Metro Gaisano Colon,4.1,"(1,398)",Shopping mall,179 Osmena Boulevard Juan Luna St,,Open until 9:00 pm,(032) 416 8793,Temporarily closed
SUPER METRO MANDAUE,4.4,(20),Shopping mall,153 S.B.Cabahug,,Open until 7:00 pm,(032) 340 8756,Temporarily closed
Fuertes Residence,4.7,(11),Shopping mall,6045,Mall with a food court & restaurants,Open until 9:00 pm,0942 396 0788,Temporarily closed
marina mall,3.7,(3),Shopping mall,,,,0926 663 0946,Temporarily closed
Starmall,3.9,(964),Shopping mall,N Bacalso,,,(032) 491 3732,Temporarily closed
ayala mall,4.0,(3),Shopping mall,Gil Tudtud St,Large shopping mall with a cinema,Temporarily closed,Open until 10:00 pm,(032) 231 3450
Piazza Elesia,3.9,(182),Shopping mall,Gov. M. Cuenco Ave,,Open until 8:30 pm,(032) 260 2754,Temporarily closed
Be A Star,3.8,(6),Shopping mall,"88 Labogon Rd, Labogon, Mandaue City, 6014 Labogon Rd",,,(032) 256 0833,Temporarily closed
Doña Benigna 1,4.5,(57),Shopping mall,Natalio B. Bacalso Ave,,,,Temporarily closed
Robinson's Cybergate,4.0,"(1,965)",Shopping mall,132 Don Mariano Cui St,Shopping mall with casual eateries,Open until 9:00 pm,(032) 505 8955,Temporarily closed
Next Jeans SM Department Store,3.8,(158),Shopping mall,J. De Vera Street,Pet-friendly mall with shops & eateries,Open until 9:00 pm,(032) 231 5641,Temporarily closed
Harajuku Lovers,4.2,(853),Shopping mall,"Ground Level Rustans Ayala Center, Bohol Avenue",Trendy mall with familiar offerings,Open until 8:30 pm,(032) 231 5641,Temporarily closed
J&M Centre,4.0,(2),Shopping mall,88 Labogon Rd,Large modern mall with a cinema,,0917 728 0885,Temporarily closed
Gaisano Grand Fiesta Mall,4.0,"(1,404)",Shopping mall,"Gaisano Fiesta Mall, Natalio B. Bacalso S National Hwy","Clothing, food & housewares stores",Open until 8:00 pm,(032) 273 8888,Temporarily closed
LACOSTE Bags & Footwear,4.3,(311),Outlet mall,"Lvl 1 Ayala Center, Cebu Business Park",,,(032) 326 8188,Temporarily closed
Bumblebee,4.1,(324),Shopping mall,"2nd Floor Rustans Ayala Center, Bohol Avenue","Large, open-air shopping center",Open until 9:00 pm,(032) 231 5641,Temporarily closed
Novo,3.6,(106),Shopping mall,Osmeña Blvd,Modern shopping mall with a cinema,Open until 11:00 pm,(02) 410 8800,Temporarily closed
eden's Place,5.0,(1),Shopping mall,C. Rosal St,,Open until 9:30 pm,(032) 505 4365,Temporarily closed
Hemisphere Travel & Tours - Parkmall,1.0,(1),Shopping mall,,"Shopping, dining & entertainment complex",Open until 8:00 pm,0917 683 0196,Temporarily closed
BENEFIT COSMETICS STORE,4.7,(21),Shopping mall,,,Open until 9:00 pm,(032) 328 0875,Temporarily closed
Cheap Marketing,4.1,"(1,398)",Shopping mall,239 Tres de Abril St,,Open until 9:00 pm,(032) 416 8793,Temporarily closed
"Expressions Stationery Shop, Inc. - Robinsons Cebu",4.0,(4),Shopping mall,"2/Floor Robinsons Place Cebu, Fuente Osmeña Boulevard, Cebu City, Cebu",,Open until 7:00 pm,(032) 412 7484,Temporarily closed
Ayala Center Cebu,4.4,"(1,827)",Shopping mall,6000 Cardinal Rosales Ave,Mall with a food court & restaurants,Open until 9:00 pm,(032) 243 4004,Temporarily closed
Times Square Talamban,3.9,(301),Shopping mall,Gov. M. Cuenco Ave,,Open until 9:00 pm,(032) 415 7055,Temporarily closed
Gatewalk Mall,4.0,(2),Outlet mall,,,,(032) 491 3732,Temporarily closed
