section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-info,section-result-info 2,section-result-info 3
The Outlets at Pueblo Verde,4.3,"(1,138)",Outlet mall,"Pueblo Verde, 6015 MEZ II",Temporarily closed,(032) 411 1610,
Fusion Outlet Store,2.3,(4),Shopping mall,,Temporarily closed,,
Adidas Outlet,4.2,(46),Shopping mall,,Temporarily closed,,
Diaper Factory Outlet,3.8,(4),Outlet mall,969 V Rama Ave,Temporarily closed,,
"Lotto Outlet, Fortune Square",4.0,(1),Shopping mall,,Temporarily closed,0922 867 7712,
LACOSTE Bags & Footwear,,,Outlet mall,"Lvl 1 Ayala Center, Cebu Business Park",Temporarily closed,,
South Shores,,,Outlet mall,"Ayala Center, 176 Archbishop Reyes Ave",Temporarily closed,,
Terranova,5.0,(2),Outlet mall,,Temporarily closed,,
Extreme Savers,,,Outlet mall,,Temporarily closed,4120247,
Converse Robinsons Fuente,,,Outlet mall,"Robinsons Mall, Fuente Osmeña Cir",Temporarily closed,(032) 495 2324,
One Pavillion,4.0,(90),Outlet mall,"One Pavilion Mall, 22 R. Duterte St. Banawa",Temporarily closed,(032) 239 8888,
"Ayala Center Cebu, Cardinal Rosales Avenue, Cebu City, Cebu",4.3,(49),Outlet mall,"Ayala Center, Cardinal Rosales Ave",Temporarily closed,,
Factory Outlet,5.0,(2),Outlet store,Tiangue Rd,Temporarily closed,(032) 495 9395,
Dok-Apo Outlet,3.6,(13),Outlet mall,,Temporarily closed,,
Gatewalk Mall,4.0,(2),Outlet mall,,Temporarily closed,,
Vans (Footwear),,,Outlet mall,"GF level Ayala Centet, 6000 Cardinal Rosales Ave",Temporarily closed,,
REVA Footwear,,,Outlet mall,"The Outlets at Pueblo Verde, MEZ II",Temporarily closed,,
City Wing,4.4,(42),Outlet mall,,Temporarily closed,,
Escario Central Mall,4.1,(324),Outlet mall,N Escario St,Temporarily closed,(032) 520 2222,
Bujiks Place,,,Outlet mall,,Temporarily closed,,
The Promenade Mactan,4.0,(2),Outlet mall,Punta Engaño Rd,Temporarily closed,(032) 411 1610,
Pull & Bear @2floor,4.5,(2),Outlet mall,"Ayala Center, 176 Archbishop Reyes Ave",Temporarily closed,,
Gaisano Capital Casuntingan,3.7,(254),Outlet mall,M. L. Quezon Ave,Temporarily closed,(032) 420 7083,Open until 8:00 pm
Tindahang Puno Sa Malas Ug Suya sa Ungo Sa Atbang,3.7,(6),Outlet mall,"Mountain View Village, Quiot, Cebu City, 116",Temporarily closed,0919 571 8870,
Nike Factory Store,4.3,(77),Outlet store,"Building A The Outlets at Pueblo Verde, Retail 1",Temporarily closed,(032) 236 9020,
Factory Outlet,,,Clothing store,"Marina Mall, Mactan",Temporarily closed,(032) 341 0488,
Sneak Peek,5.0,(1),Outlet mall,"L2 , Alaya Mall Cebu, Archbishop Reyes Avenue , 6000 Cebu City , Cebu",Temporarily closed,(032) 231 5342,
King's Factory Outlet,5.0,(1),Outlet store,"Velez Paulin, Escaño St",Temporarily closed,(032) 343 7115,
Islander Factory Outlet,3.7,(7),Outlet store,"Naga, Natalio B. Bacalso Ave",Temporarily closed,(032) 273 6181,
Cube Wing,4.0,(4),Outlet mall,,Temporarily closed,0906 079 6252,
Branded Factory Outlet,4.0,(90),Clothing store,Gov. M. Cuenco Ave,Temporarily closed,(032) 239 8888,
Levi's Outlet Store,4.3,(7),Outlet store,,Temporarily closed,,
Dickies Factory Outlet,2.0,(1),Outlet store,"The Outlets at Pueblo Verde, MEZ II",Temporarily closed,(032) 495 9395,
Mountain Wing,4.4,(69),Outlet mall,,Temporarily closed,,
Closeouts Overruns Designer Outlet,4.0,(2),Clothing store,727 A A.S.Fortuna,Temporarily closed,(032) 232 3430,
Closeouts Overruns Designer Outlet,3.7,(17),Clothing store,Salinas Dr,Temporarily closed,0917 984 6055,
Virginia Factory Outlet Guizo,5.0,(2),Outlet store,"Chua Tiam Bldg, A. Del Rosario St",Temporarily closed,0917 314 6942,Closing soon: 5:00 pm
Dok-Apo Outlet,4.4,(42),Outlet store,Central Nautical Hwy,Temporarily closed,0919 962 3168,
"King's Quality Foods (Cebu), Inc. - Minglanilla Factory Outlet",4.1,(324),Outlet store,Poblacion Ward I,Temporarily closed,0943 278 6902,
cignal t.v llc,,,Outlet store,M.L. Quezon National Highway,Temporarily closed,(032) 266 8020,
Timberland,4.0,(7),Outlet store,,Temporarily closed,(032) 411 1610,
Virginia Factory Outlet Tisa,1.0,(1),Outlet store,Katipunan St,Temporarily closed,0917 709 2036,Closing soon: 5:00 pm
Freeze Point Rink Services,3.7,(254),Outlet store,,Temporarily closed,(032) 420 7083,Open until 8:00 pm
Oakley Vault,4.5,(2),Outlet store,,Temporarily closed,0919 571 8870,
