section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-info,GLOBAL__gm2-caption,GLOBAL__gm2-caption 2,GLOBAL__gm2-caption 3,section-result-description,section-result-header-container
C-Suites,4.0,(167),3-star hotel,Temporarily closed,Spa,Free Wi-Fi,,,
JL Suites,3.8,(299),Hotel,Temporarily closed,Free parking,Free Wi-Fi,,,
BIG Hotel Suites,3.9,(59),3-star hotel,Temporarily closed,Free parking,Free Wi-Fi,Free breakfast,,
Paragon Suites,3.8,(95),3-star hotel,Temporarily closed,Free parking,Free Wi-Fi,Free breakfast,,
Centro Mactan Suites,4.3,(111),2-star hotel,,Free parking,Free Wi-Fi,Free breakfast,Modest hotel with free breakfast & Wi-Fi,
The Center Suites,4.0,(270),2-star hotel,,Free parking,Free Wi-Fi,,Simple budget hotel with a chapel,
RedDoorz @ Dona Jacinta Basak Mandaue,3.6,(76),Hotel,Temporarily closed,Free Wi-Fi,,,,
MJ Hotel & Suites,4.0,(199),3-star hotel,Temporarily closed,Free breakfast,,,,
Palladium Suites,3.8,(103),2-star hotel,Temporarily closed,Free parking,Free Wi-Fi,,,
Aicila Suites Hotel,3.8,(167),2-star hotel,Temporarily closed,Free parking,Free Wi-Fi,Free breakfast,,
RF Suites,3.9,(224),2-star hotel,Temporarily closed,Free parking,Free Wi-Fi,,,
Allure Hotel & Suites,3.9,(295),3-star hotel,Temporarily closed,Spa,Free parking,Free Wi-Fi,,
Gran Tierra Suites,4.2,(214),3-star hotel,Temporarily closed,Free parking,Free Wi-Fi,,,
Main Hotel and Suites,4.1,(298),3-star hotel,Temporarily closed,Free breakfast,,,,
Diamond Suites Cebu,3.9,(88),3-star hotel,Temporarily closed,Pool,Free parking,Free Wi-Fi,,
Big Hotel Suites,3.8,(17),3-star hotel,Temporarily closed,,,,,
Santo Niño Suites,3.6,(5),Hotel,Temporarily closed,,,,,
Premiere Citi Suites,3.9,(152),3-star hotel,Temporarily closed,Free parking,Free Wi-Fi,,,
Cler Suites and Residences,,,Hotel,Temporarily closed,,,,,
Sabina Suites,3.7,(20),2-star hotel,Temporarily closed,Free parking,Free Wi-Fi,,,
C-Suites,4.0,(167),3-star hotel,Temporarily closed,Spa,Free Wi-Fi,,,
JL Suites,3.8,(299),Hotel,Temporarily closed,Free parking,Free Wi-Fi,,,
BIG Hotel Suites,3.9,(59),3-star hotel,Temporarily closed,Free parking,Free Wi-Fi,Free breakfast,,
Paragon Suites,3.8,(95),3-star hotel,Temporarily closed,Free parking,Free Wi-Fi,Free breakfast,,
Centro Mactan Suites,4.3,(111),2-star hotel,,Free parking,Free Wi-Fi,Free breakfast,Modest hotel with free breakfast & Wi-Fi,
The Center Suites,4.0,(270),2-star hotel,,Free parking,Free Wi-Fi,,Simple budget hotel with a chapel,
RedDoorz @ Dona Jacinta Basak Mandaue,3.6,(76),Hotel,Temporarily closed,Free Wi-Fi,,,,
MJ Hotel & Suites,4.0,(199),3-star hotel,Temporarily closed,Free breakfast,,,,
Palladium Suites,3.8,(103),2-star hotel,Temporarily closed,Free parking,Free Wi-Fi,,,
