section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-info,section-result-info 2,section-result-info 3,section-result-action href,section-result-action-icon src 2,section-result-action-text 2,e0HygkTYhQy__attribute-content,e0HygkTYhQy__attribute-content 2,e0HygkTYhQy__attribute-content 3
Green Apple Dental Cebu,4.6,(49),Dentist,"Garden Level, The Terraces Ayala Center, Cebu Business Park, Bohol Avenue, Cebu City, 6000, Cebu",Open until 10:00 pm,(032) 233 4029,,,,,,,
Cebu Dentist - Dr. Lynnette L. Chu,4.3,(15),Dentist,"Rm 10 Cebu Filipino-Chinese Chamber of Commerce Bldg., J. Llorente Street",Opens at 9:00 am,(032) 412 0067,Closed,http://cebudentist.weebly.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
Dr. Leah S. Mantilla Dental Clinic,3.0,(2),Dentist,"Rm 313 Ma. Cristina Bldg., Fuente Osmena, Fuente Osmeña Cir",Opens at 10:00 am,(032) 513 7447,Closed,https://www.practo.com/cebu-city/clinic/dr-leah-s-mantilla-general-dentistry-orthodontics,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
Ortho-Dental Clinic,4.2,(5),Dentist,999 A. S. Fortuna St,,(032) 346 8695,,,,,,,
Jera Marie S. Oporto D.D.M.,,,Pediatric dentist,"Chong Hua Medical Arts, D.J. Llorente St.",,(032) 460 5091,,,,,,,
Albarando & Laboga Dental Clinic. General Dentisty Orthodontics Cosmetic Dentistry Dental Implant TMJ Pain Management,5.0,(3),Dental clinic,"4th Floor ,Room 402, Robinsons Cybergate, Cebu",Closing soon: 6:00 pm,0927 982 0103,,https://albarando-laboga-dental-clinic.business.site/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
Dentistry,,,Dental clinic,369 B Molave St,,(032) 413 7372,,,,,,,
General Dentistry & Orthodontics,3.0,(2),Dental clinic,Gorordo Ave,,(032) 232 8731,,,,,,,
Orthodontics & General Dentistry,,,Dental clinic,Natalio B. Bacalso Ave,,(032) 583 3911,,,,,,,
Dr. Janie Lou Reyes Dental Clinic,5.0,(4),Dentist,kinalumsan,Opens at 9:00 am,0943 262 7441,Closed,,,,,,
"Bridget V. Cavan, D.M.D.",,,Pediatric dentist,"Suite 304, Oftana Building, Jasmin Cor. Don Mariano Cui",,(032) 255 0148,,,,,,,
Dr.Sharon Faye Sabayle Associate Dentist,,,Dental clinic,"Room 404, Robinsons Cybergate, Fuente Osmeña Circle",,(032) 512 0862,,,,,,,
Dentist Cebu,,,Dental clinic,R. Landon St,Closing soon: 6:00 pm,(032) 410 8063,,http://cebu-dentists.weebly.com/the-dentists.html,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
Dr. Go Dentistry,,,Dental clinic,Archbishop Reyes Ave,,(032) 413 7372,,,,,,,
Dentist Work,,,Dental clinic,"Door 1, Ruiz Apt, Sangi",,(032) 272 6514,,,,,,,
Dr. Rosalinda Gabronino Associate Dentist,,,Dental clinic,"Ground Floor, Northgate Centre, Gov M. Cuenco Avenue",,(032) 233 2226,,,,,,,
"Mary Christine G. Tio, D.D.M.",,,Pediatric dentist,"Chunghwa Medical Arts, D J Icomente St",,(032) 255 8000,,http://chonghua.com.ph/index.php/Doctors/profile/476,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
Dental Island,2.3,(3),Dentist,Quezon National Hwy,,(032) 236 3049,,,,,,,
Dr. Rosalyn Shia Bahjin Associate Dentist,,,Dental clinic,"Cortes Building, A.S. Fortuna Street",,(032) 344 8432,,,,,,,
"Wilbert Uykintian, DMD (General Dentistry)",,,Dental clinic,"4th Floor, Ma. Cristina Building II, Fuente Osmeña",,(032) 253 0038,,,,,,,
Dr. Danilo Q. Munoz Dental Clinic,4.1,(14),Dental clinic,A.S.Fortuna,Opens at 9:00 am,0917 772 7088,Closed,,,,,,
Arteeth By Dr Luzviminda San Pedro,5.0,(4),Dentist,"Lower, Fulton St",Open until 8:00 pm,0925 555 9020,Closed,,,,,,
"Bequilla Dental Clinic, Dr.Elia S. Bequilla, DDM (Gen.Dentistry, Orthodontic, TMD Mngnt.....)",3.0,(2),Dental clinic,"2nd Flr. Gaisano Capital SRP, Laray",Open until 7:00 pm,(032) 341 4443,Closed,,,,,,
Glenda Su Holaysan M.D.,4.2,(5),Pediatric dentist,10 Gonzales Compound,,(032) 412 2123,,,,,,,
Dr.Gwendolyn Nerza Associate Dentist,,,Dental clinic,"Level 4, Robinsons Cybergate, Fuente Osmeña Circle",,(032) 505 7574,,,,,,,
Estercita Tan-lim General Dentistry,5.0,(3),Dental clinic,"201, Oftana Bldg, Jasmin St Cor Don Mariano Cui",Closing soon: 6:00 pm,(032) 412 4251,,,,,,,
Labitan & Associates Dentist,,,Dental clinic,"St Gabriel's, Tajong St",,(032) 231 3962,,,,,,,
Gen.Dentistry & Orthodontics,3.0,(2),Dental clinic,"Citiview Pension House, Osmena Blvd Corner Sanciangko Street",,(032) 316 4509,,,,,,,
Dr.Merlyn Matthews Associate Dentist,,,Dental clinic,"Room 433, Robinsons Cybergate, Fuente Osmenia Circle, Fuente Osmeña",,(032) 239 0790,,,,,,,
