section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-info,section-result-info 2,section-result-location,section-result-action href,section-result-action-icon src 2,section-result-action-text 2
Science and Technology Education Center,4.4,(23),School,Temporarily closed,(032) 340 7354,,,,
Marianne Childhood Education Center,4.5,(6),Primary school,Temporarily closed,(032) 261 3402,722 Tres de Abril St,,,
Exceptional Children's Educational Center,5.0,(4),Private school,Temporarily closed,(032) 416 0030,"G/F CT Residence Hall, Gov. M. Cuenco Ave",https://www.facebook.com/pages/Exceptional-Childrens-Educational-Center/117819181578727,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Exceptional Children's Educational Center,,,College,Temporarily closed,0917 320 0079,"CT Residence hall, Room. 109, Gov. M. Cuenco Avenue, Talamban",,,
Formosa English Education Center Inc.,,,Education center,Temporarily closed,0928 625 4160,"CornerStone Manor. Cornerstone Dr, H. Abellana st",https://formosaeec.weebly.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Cebu Ivy Education Center,3.8,(11),School,Temporarily closed,(032) 345 6430,513 New Frontier,http://www.smenglish.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
CALC Communication Arts Learning Center - Preparatory and Elementary School,5.0,(1),Elementary school,Closed,(032) 414 4248,31 Cabarrubias St,http://www.facebook.com/comartslovesme,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
CEBU BRIGHT MINDS TUTORIAL AND LEARNING CENTER,,,Education center,Temporarily closed,(032) 266 9684,4 Gorordo Ave,https://cebu-bright-minds-tutorial-and-learning-center.business.site/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Bridging Homes Learning Center,4.0,(6),Preschool,Temporarily closed,(032) 234 4339,1 St. La Guardia,http://www.facebook.com/BridgingHomesLearningCenter/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Lapu-Lapu Central ALS Community Learning Center,,,Education center,Temporarily closed,,"Central School, Tiangue Rd",,,
"Philinter Education Center/Join-us English Language Academe Inc.,",5.0,(2),English language school,Temporarily closed,(032) 340 7453,"Philinter Education Center, Ceniza St., Mustang, Pusok,",http://www.philinter.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"Pencilplay Learning Center, Inc.",,,School,Temporarily closed,(032) 462 2806,"Zone 2, #147 San Isidro Road",,,
IBrain Learning Center,5.0,(3),Preschool,Temporarily closed,(032) 418 0262,Andres Abellana Corner Julio Diaz St,,,
Kidz Gym Learning Center,,,Special education school,Temporarily closed,,R. Duterte St,,,
Basak Elem ALS Community Learning Center,,,Education center,Temporarily closed,,,,,
Kidz Gym Learning Center,,,Special education school,Temporarily closed,0918 906 2285,Maria Christina Ext St,https://www.kidzgymlearningcenter.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Pajo ALS Community Learning Center,,,Education center,Temporarily closed,,,,,
Sudtunggan ALS Community Learning Center,,,Education center,Temporarily closed,,,,,
Marigondon District ALS Community Learning Center,,,Education center,Temporarily closed,,,,,
Kidz Gym Learning Center,5.0,(1),Special education school,Temporarily closed,0918 906 2285,Talamban Rd,https://www.kidzgymlearningcenter.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
St. Benedict Childhood Education Centre,4.9,(14),School,Temporarily closed,(032) 266 8502,F. Cabahug St,,,
Basak ALS Community Learning Center,4.5,(6),Education center,Temporarily closed,(032) 261 3402,,,,
Homecare ALS Community Learning Center,5.0,(4),Education center,Temporarily closed,(032) 416 0030,,,,
Canjulao Elem ALS Community Learning Center,,,Education center,Temporarily closed,0917 320 0079,,,,
Formation School and Kiddie's Learning Center,5.0,(2),School,Temporarily closed,0928 625 4160,"Uytengsu Compound, R. Landon Ext",,,
A+ Playschool And Learning Center,5.0,(1),School,Temporarily closed,(032) 384 8858,3-H,https://www.facebook.com/aplusplayschool/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Rotary Mactan ALS Community Learning Center,5.0,(1),Education center,Temporarily closed,(032) 414 4248,,,,
Clear Horizons Marine Review Center,4.0,(1),Education center,Temporarily closed,0939 373 8190,409 Kangha Building Osmena Blvd. cor Lapu-lapu St,,,
Science and Technology Education Center - Science Technology Elementary School,4.0,(6),School,Temporarily closed,(032) 234 4339,,,,
