section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-info,section-result-info 2,section-result-action href,section-result-action-icon src,section-result-action-text,section-result-info 3
Exceptional Children's Educational Center,5.0,(4),Private school,"G/F CT Residence Hall, Gov. M. Cuenco Ave",Temporarily closed,(032) 416 0030,https://www.facebook.com/pages/Exceptional-Childrens-Educational-Center/117819181578727,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Exceptional Children's Educational Center,,,College,"CT Residence hall, Room. 109, Gov. M. Cuenco Avenue, Talamban",Temporarily closed,0917 320 0079,,,,
College Of Education Office,,,University,"University Of Cebu Main Campus, Sanciangko Street",Temporarily closed,(032) 255 7777,,,,
College Of Education,,,College,M. J. Cuenco Ave,Temporarily closed,,,,,
Compass Education,5.0,(1),Educational institution,"Dona Emilia Benedicto Bldg, Plaza Nouvelle, E Benedicto St",Temporarily closed,(032) 319 0640,http://www.mycompassedu.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
College Of Education Office,,,College,"University of San Jose-Recoletos Basak Campus, Cebu South Road",Temporarily closed,(032) 417 9512,http://www.usjr.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
General Education Department Office,,,Public school,"University Of Cebu - Mambaling Campus, Alumnos Street",Temporarily closed,(032) 262 8888,,,,
Physical Education And Humanities Office,,,Public school,"Cebu Normal University, Osmeña Boulevard",Temporarily closed,(032) 253 7915,,,,
Samantabhadra Educational Institute Inc.,5.0,(1),School,13 Gov. M. Cuenco Ave,Temporarily closed,(032) 232 6797,,,,
College of Education - University of Cebu,,,School,"University of Cebu, Sanciangko Street",Temporarily closed,(032) 255 7777,,,,
Clinical Legal Education Program Office,,,High school,"University of San Carlos Main Campus, Sanciangko Street",Temporarily closed,(032) 253 1000,,,,
Center for International Education Global Colleges - Child Development Center Cebu Campus,,,High school,"Villa Aurora Tennis Court, 1 Pres. Quezon St",Temporarily closed,(032) 233 0199,,,,
Basic Educational For Christian Commumity Academy Inc.,,,School,Basak-Marigondon Rd,Temporarily closed,,,,,
"Tri-Blue Educational Center, Inc.",,,High school,"168 9th Street, San Antonio Village, Apas",Temporarily closed,(032) 238 9779,,,,
Science and Technology Education Center,4.4,(23),School,,Temporarily closed,(032) 340 7354,,,,
Reach,,,Special education school,"House Of Archities, 312 Juana Osmeña Extension Road",Temporarily closed,(032) 416 5505,http://www.reachph.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Professional Education Program Office,,,College,"University Of The Philippines, Gorordo Avenue, Lahug",Temporarily closed,(032) 233 9601,,,,
