section-result-title,section-result-details,section-result-location,section-result-info,section-result-info 2,cards-rating-score,section-result-num-ratings,section-result-action href,section-result-action-icon src 2,section-result-action-text 2
General Education Department Office,Public school,"University Of Cebu - Mambaling Campus, Alumnos Street",Temporarily closed,(032) 262 8888,,,,,
Department of Education - Mandaue City,Department of education,Plaridel St,,(032) 345 0545,5.0,(1),http://www.deped.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Department of Education - Division of Cebu Province,Department of education,Sudlon,,,2.6,(14),http://www.depedcebuprovince.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Tabogon Educational Department,Public school,Poblacion,Temporarily closed,(032) 433 9030,,,,,
Department of Education Office,Department of education,Zamora St,,(032) 345 0545,,,,,
Physical Education Department - University of Cebu,School,"University of Cebu, Sanciangko Street",Temporarily closed,(032) 255 7777,,,,,
DepEd Regional Office VII,Department of education,5 Sudlon,Closed today,(032) 231 1433,4.4,(16),https://region7.deped.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Department of Education - Lapu Lapu,Department of education,"Basak, Lapu-Lapu City, 6015, Cebu",Closed today,(032) 340 5031,,,,,
DEPARTMENT OF EDUCATION PROVINCIAL OFFICE 7,School district office,,Temporarily closed,,,,,,
University of San Carlos - Basic Education Department North Campus,University,"General Maxilom Avenue, Camputhaw",Temporarily closed,(032) 231 4012,1.0,(1),,,
Department of Education Ecotech Center,Department of education,Ecotech Rd,Closed today,(032) 256 1001,4.5,(20),,,
Department of Education - Divisional Offices (Lapu-Lapu City),Education,B.M. Dimataga St,Temporarily closed,(032) 340 7887,,,http://www.deped.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Philippines Republic of the Agrarian Reform Education Culture And Sports Department Region VII,University,M. J. Cuenco Avenue,Temporarily closed,(032) 233 4465,,,,,
Department of Philosophy and Religious Education - University of San Carlos,College,"College of Arts and Sciences, 5th Floor, Philip Van Engelen Building, Talamban Campus, Governor M. Cuenco Avenue, Talamban",Temporarily closed,(032) 344 3801,,,,,
Electronics Aircon Maintenance Department Office,Public school,"University Of Cebu Main Campus, Sanciangko Street",Temporarily closed,(032) 255 7777,,,,,
Department of Education - Division of Talisay City,School district office,Jose Rizal St,Temporarily closed,(032) 491 3798,,,,,
College Of Education,University department,"Oscar Jereza Sr. Hall Bldg., Salinas Dr",Temporarily closed,(032) 414 8773,,,,,
College of Education,University department,,Temporarily closed,,,,,,
Salazar Institute Elementary and High School Department,School,,Temporarily closed,,5.0,(1),,,
College Of Teacher Education,University department,"Annex Bldg. UCLM, A. C. Cortes Ave",Temporarily closed,,,,,,
General Education Department Office,Public school,"University Of Cebu - Mambaling Campus, Alumnos Street",Temporarily closed,(032) 262 8888,,,,,
Department of Education - Mandaue City,Department of education,Plaridel St,,(032) 345 0545,5.0,(1),http://www.deped.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Department of Education - Division of Cebu Province,Department of education,Sudlon,,,2.6,(14),http://www.depedcebuprovince.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Tabogon Educational Department,Public school,Poblacion,Temporarily closed,(032) 433 9030,,,,,
Department of Education Office,Department of education,Zamora St,,(032) 345 0545,,,,,
Physical Education Department - University of Cebu,School,"University of Cebu, Sanciangko Street",Temporarily closed,(032) 255 7777,,,,,
DepEd Regional Office VII,Department of education,5 Sudlon,Closed today,(032) 231 1433,4.4,(16),https://region7.deped.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Department of Education - Lapu Lapu,Department of education,"Basak, Lapu-Lapu City, 6015, Cebu",Closed today,(032) 340 5031,,,,,
DEPARTMENT OF EDUCATION PROVINCIAL OFFICE 7,School district office,,Temporarily closed,,,,,,
