section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-info,section-result-location,section-result-action href,section-result-action-icon src 2,section-result-action-text 2
Mandaue City Fire Station,4.7,(3),Fire station,(032) 344 4747,,,,
Lapu-Lapu City Fire District - Fire Station 1,4.3,(4),Fire station,(032) 340 0252,,,,
Labangon Fire Station,5.0,(1),Fire station,(032) 261 0911,315 Katipunan St,,,
San Nicolas Fire Substation,,,Fire station,(032) 262 8530,P 6 Tupas St,http://bfp.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Talamban Fire Station,5.0,(1),Fire station,(032) 344 9200,,https://philippinescities.com/metrocebu/directory/governments-community/city-fire-stations/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Pari-An Fire Station,3.0,(2),Fire station,0908 191 7826,Cor. Sikatuna Street,,,
Bureau Of Fire Station Lapu-lapu City District Station 2,5.0,(2),Fire station,,G.Y. Dela Serna St,http://bfp.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Pahina Central Fire Station,3.0,(2),Fire station,(032) 256 0541,Natalio B. Bacalso Ave,,,
Talisay City Fire Station,,,Fire station,(032) 273 8393,La Rebultion St,,,
Cebu Filipino-Chinese Volunteer Fire Brigade,5.0,(1),Fire station,(032) 254 0200,,,,
Mandaue City Fire Station,3.0,(2),Fire station,(032) 417 2552,A.Soriano Ave,https://www.facebook.com/pages/Mandaue-City-Fire-Station/1399274323620178,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Guadalupe Fire Sub Station,,,Fire station,(032) 253 9474,V Rama Ave,,,
Mabolo Fire Sub Station,5.0,(2),Fire station,(032) 233 1510,Pope John Paul II Ave,http://www.bfp.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
BFP Lapu-Lapu City Fire District Station 3,4.5,(2),Fire station,(032) 340 4821,Purok Bombshell,http://bfp.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Lahug Fire Sub - Station,,,Fire station,(032) 256 0541,Gorordo Ave,https://www.facebook.com/pages/Lahug-Fire-Sub-Station-Gorordo-Avenue-Cebu-City/373647536129958,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Basak Fire Station,,,Fire station,,,,,
City Hall Fire Station,5.0,(1),Fire station,,Lapulapu City Hall Access Rd,,,
MANDAUE FILIPINO CHINESE VOLUNTEER FIRE BRIGADE,5.0,(5),Fire station,0995 223 5661,,,,
Tipolo Fire Station,4.7,(3),Fire station,,P. Basubas St,,,
Apas Fire Sub Station,4.7,(3),Fire station,(032) 416 5103,Banogon St,,,
hipodromo fire station,1.0,(1),Fire station,(032) 344 4747,,,,
Pardo Fire Sub Station,3.0,(1),Fire station,(032) 272 9411,1515 Cebu S Rd,,,
Pari-an Fire Sub Station,4.7,(3),Fire station,(032) 255 0785,Sikatuna St,,,
Minglanilla Fire Station,3.0,(1),Fire station,(032) 273 2830,Natalio B. Bacalso S National Hwy,,,
Marigondon Fire Station,5.0,(1),Fire station,(032) 344 9200,,,,
Volunteers Fire Brigade Building,3.0,(2),Fire station,(032) 254 0200,Don Julio Llorente St,,,
Cordova Fire Station,4.0,(2),Fire station,(032) 496 7889,Bernardo Nuñez Street,https://www.facebook.com/cordovafire.station,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Olango Fire Station - Fire Stn 6,3.0,(2),Fire station,(032) 511 5171,,http://on.fb.me/1f5pvd4,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Bureau Of Fire Protection,,,Fire station,(032) 342 8508,M.L. Quezon National Highway,http://bfp.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
