section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-info,section-result-info 2,section-result-info 3,section-result-action href,section-result-action-icon src,section-result-action-text,section-result-location
San Lucas Medical,5.0,(2),Medical clinic,Closed,Opens at 6:00 am,(032) 231 3898,https://www.facebook.com/sanlucasmedicalminglanilla/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Kaiser Medical Center Inc.,,,Medical clinic,,,,,,,
Medical Clinic,1.0,(1),Medical clinic,,,(032) 254 6821,,,,Tiburcio Padilla St
LH Prime Medical Clinic Mandaue,3.7,(19),Medical clinic,,,0917 871 5053,http://www.lhprime.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,A. S. Fortuna St
Angels Medical Clinic,,,Medical clinic,,,(032) 418 1838,,,,A. S. Fortuna St
"Aventus Medical Care, Inc. Cebu IT Park Clinic",1.8,(35),Medical clinic,Closed,Opens at 7:00 am,(032) 268 8072,,,,Unit 203 TGU Tower Block 1 Lot 6 & 7 Phase 1 Asia Town
Kamputhaw Medical Clinic,,,Medical clinic,,,0926 672 1408,,,,N Escario St
Nova Analytiques Medical Clinic and Laboratory,,,Medical clinic,Closed today,,(032) 236 3364,,,,A. S. Fortuna St
White Cross Medical Clinic,4.5,(2),Medical clinic,Closed today,,(032) 255 0305,https://whitecrossmedicalcliniccebu.business.site/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"Room 205 Teodora Building, Osmeña Boulevard, Corner Dionisio Jakosalem St"
Dr. Fernando G. Arcibal Medical Clinic,5.0,(1),Medical clinic,,Open until 7:00 pm,(032) 512 8658,,,,Maximo V. Patalinghug Jr. Avenue
Medical & Dental Clinic,,,Medical clinic,,,(032) 253 7401,,,,Colon St
St. Rita Medical And Diagnostic Center,,,Medical clinic,,,(032) 253 0120,,,,"Hotel De Mecedes Bldg, Pelaez St"
SMSI Cebu,3.1,(21),Diagnostic center,Closed,Opens at 8:00 am,(032) 238 8581,http://www.supercare.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"2nd Flr. condo horizon, 101 General Maxilom Ave"
Gullas Medical Center,3.8,(4),Hospital,,,(032) 346 9292,,,,"Gullas Medical Center, Gov. M. Cuenco Ave. Gulas Drive"
Medical Clinic,,,Medical clinic,,,0943 362 6954,,,,E Sabellano Street
Js Medical And Diagnostic,,,Diagnostic center,,,,,,,Gorordo Ave
Maayo Medical Clinic,4.4,(39),Medical clinic,,Closing soon: 6:00 pm,(032) 888 2662,http://www.maayomedical.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"North Park, UN Avenue corner Plaridel Street, Alang-alang"
Opon Medical Diagnostic Corporation,3.0,(2),Diagnostic center,Closed,Opens at 8:00 am,(032) 495 3252,https://m.facebook.com/profile.php?id=1510411139171998,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,S. Osmeña Street
Hi-Precision,4.3,(12),Medical diagnostic imaging center,,Closing soon: 6:00 pm,(032) 256 0151,http://www.hi-precision.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"Wes Bldg., J. Llorente St"
Medical Clinic,,,Medical clinic,,,(032) 381 5631,,,,Buhisan Rad
Dr. B-B TIU Medical and Ultrasound Clinic,4.4,(10),Medical clinic,Closed,Opens at 8:00 am,(032) 416 4956,https://m.facebook.com/drbbtiu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,435 J. Alcantara St
2nd Opinion Medical Clinics,,,Medical clinic,,,(032) 382 6392,https://www.facebook.com/2ndopinionmedical/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,P. Ouano Road
"Good News Medical Clinic, Inc.",5.0,(1),Medical clinic,,,(032) 345 8083,,,,A.S.Fortuna
LH Prime Medical Clinic Basak Mactan,3.5,(12),Medical clinic,Temporarily closed,,0917 716 1393,http://www.lhprime.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
St. Claire Medical Clinic,,,Medical clinic,(032) 418 1838,,,,,,Poblacion
"G-LAB Diagnostic and Medical Laboratories, Inc.",3.6,(14),Diagnostic center,Closed,Opens at 7:00 am,(032) 418 4090,https://www.glaboratories.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,169 Sanciangko St
Glostopa Medical Clinic Andres E. Gestopa Family Medicine,,,Medical clinic,0926 672 1408,,,,,,Zamora St
Bas Medical Clinic,,,Medical clinic,Closed today,,(032) 491 7262,,,,985 Natalio B. Bacalso Ave
"Medical City Mandaue, Inc. Diagnostic Laboratory",4.5,(2),Diagnostic center,Closed today,,(032) 422 4201,http://www.facebook.com/MedicalCityMandaueInc,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,S.B. Cabahug
LH Prime Medical Clinic,4.3,(4),Medical clinic,Closed,Opens at 6:00 am,(032) 345 3488,http://www.lhprime.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,A.S. Fortuna Street
LR Medical Laboratory & Clinic,3.0,(2),Medical clinic,Closed,Opens at 8:00 am,(032) 415 1664,,,,
Department Of Internal Medicine,,,Medical clinic,,,0917 647 5433,,,,"Gullas Medical Center, Gov. M. Cuenco Ave. Gullas Drive"
JS Medical and Diagnostic Center,3.6,(16),Mental health clinic,Closed today,Opens at 8:00 am,(032) 383 8456,https://jsdiagnostic.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"Macroville, 322 Ayala Access Road"
LH Prime Medical Clinic Mandaue,3.8,(6),Medical clinic,Temporarily closed,,(032) 345 3488,http://www.lhprime.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"A.S. Fortuna Street, Bakilid Mandaue City, Philippines 6014"
Cebu Doctors’ University Hospital,3.8,(96),Medical Center,,,(032) 255 5555,http://cebudocgroup.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Osmeña Blvd
Cebu City Medical Center,2.8,(14),Medical Center,,,(032) 516 3934,,,,Natalio B. Bacalso Ave
Dr. Uy Medical Clinic,4.0,(16),Physician,,Closing soon: 6:00 pm,(032) 261 2155,,,,Natalio B. Bacalso Ave
Medical Clinic,3.0,(2),Medical clinic,Closed,Opens at 8:00 am,0919 805 6628,,,,San Miguel Road
Q- Med Medical And Diagnostic Clinic,4.3,(12),Medical clinic,,Closing soon: 6:00 pm,(032) 462 5920,https://www.facebook.com/Q-Med-Medical-Diagnostic-Clinic-367813100027306/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"ARBS Arcade, Zone 9 Ernesto Bascon St"
Larida Medical Clinic,,,Medical clinic,,Open until 10:00 pm,(032) 514 0054,,,,
Kaiser Medical Center,3.5,(2),Medical clinic,Closed,Open until 9:00 pm,(032) 266 4206,,,,Cebu South Coastal Rd
"Destiny Medical Fund, Inc.",,,Medical group,,,(032) 232 2615,,,,"RM.102, CRM Bldg, N Escario St Cor Molave St"
LH Prime Medical Clinic (Mactan Airport),4.0,(4),Medical clinic,Temporarily closed,,0917 716 1393,http://www.lhprime.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Matumbo-Pusok Road
MyHealth Clinic-Cybergate Cebu,2.3,(45),Medical clinic,Temporarily closed,Open until 7:00 pm,(032) 268 8502,http://www.myhealth.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"3rd Level Robinsons Cybergate Mall, Fuente Osmena, Don Gil Garcia St"
Balaoro Ob-Gyn And Medical Clinic,,,Medical clinic,,,0928 502 4811,,,,Francisco Llamas St
Kaiser Medical Center,2.0,(1),Diagnostic center,Closed,Opens at 7:00 am,(032) 520 9377,http://www.kaiserhealthgroup.com/about,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,2nd Street Cor. Staff House Drive MEPZ1
Lapu-lapu Medical,3.0,(2),Diagnostic center,,,(032) 495 9328,,,,A Tamulok Street
Quick Care Medical Clinic,5.0,(1),Medical clinic,(032) 491 7262,Closed today,,,,,Fidel Bas
LH Prime Medical Clinic Labangon,3.9,(18),Medical laboratory,Temporarily closed,,(032) 261 5109,http://www.lhprime.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"F. Llamas St. Punta Princesa Labangon, Cebu City"
Belo Medical Group - Ayala Center Cebu,2.7,(16),Skin care clinic,Closed,Open until 7:00 pm,(032) 234 2356,https://www.belomed.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"The Terraces, Biliran Rd"
Dr. Arco Medical Clinic,3.0,(2),Medical Center,(032) 415 1664,Closed,Opens at 8:00 am,https://www.practo.com/cebu-city/clinic/arco-medical-clinic-cebu,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Dr. Rowena Uy Gulane Medical Clinic,5.0,(3),Medical clinic,,,(032) 261 2255,,,,A. Lopez St
