section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-info,section-result-description,section-result-info 2
Cebu Port Authority (CPA) - Port Management Division 3,3.8,(10),Ferry service,"Terminal 2 Building, Cebu Baseport, Cebu City, Cebu",Temporarily closed,,
Cebu Port Authority (CPA) - Port Management Division 2,4.4,(18),,"Terminal 3 Building, Cebu Baseport, Cebu City, Cebu",,,
Super Balita,4.7,(7),Publisher,Pedro Cui Street,,,
Bogo Pantalan,4.3,(42),Beach pavillion,San Vicente St,Temporarily closed,,
Pantalan Sa Popoo,,,Port authority,Municipal Rd,,,
Ubay Port,4.0,(135),Port,Pantalan Road,,,
Pantalan,,,,,,Iloilo,
Pantalan,,,,,,Carles,
Nailon Pantalan,5.0,(3),Tourist attraction,Dela Viña St,Temporarily closed,,
Pantalan of Tiltil,3.0,(2),,,,,
Ubay Ports Authority,4.0,(3),Coast guard station,Pantalan Road,,,
Pantalan Barangay Hall,,,Government office,Pantalan,,,
Pantalan Nabaye,,,,,,Ajuy,
Pantalan Navarro,,,,,,Iloilo,
Biliran Pantalan,4.2,(33),Pier,,,,
Pantalan Elementary School,,,School,"Brgy. Pantalan, Carles",Closed today,,
Pantalan Daan,,,Company registry,,,,
Pantalan Cabugcabug,,,,,,Capiz,
Malitbog Pantalan,4.5,(4),Fishing,,,,
Payag Native Restaurant and Beverages,4.2,(14),Restaurant,Pantalan,,,Open until 9:00 pm
Cebu Port Authority (CPA) - Port Management Division 3,3.8,(10),Ferry service,"Terminal 2 Building, Cebu Baseport, Cebu City, Cebu",Temporarily closed,,
Cebu Port Authority (CPA) - Port Management Division 2,4.4,(18),,"Terminal 3 Building, Cebu Baseport, Cebu City, Cebu",,,
Super Balita,4.7,(7),Publisher,Pedro Cui Street,,,
Bogo Pantalan,4.3,(42),Beach pavillion,San Vicente St,Temporarily closed,,
Pantalan Sa Popoo,,,Port authority,Municipal Rd,,,
Ubay Port,4.0,(135),Port,Pantalan Road,,,
Pantalan,,,,,,Iloilo,
Pantalan,,,,,,Carles,
Nailon Pantalan,5.0,(3),Tourist attraction,Dela Viña St,Temporarily closed,,
Pantalan of Tiltil,3.0,(2),,,,,
Ubay Ports Authority,4.0,(3),Coast guard station,Pantalan Road,,,
Pantalan Barangay Hall,,,Government office,Pantalan,,,
Pantalan Nabaye,,,,,,Ajuy,
Pantalan Navarro,,,,,,Iloilo,
Biliran Pantalan,4.2,(33),Pier,,,,
Pantalan Elementary School,,,School,"Brgy. Pantalan, Carles",Closed today,,
Pantalan Daan,,,Company registry,,,,
Pantalan Cabugcabug,,,,,,Capiz,
Brigada News FM Toledo,5.0,(1),Radio broadcaster,,,,Open until 12:00 am
Jasmin Francis Water Refilling Station,5.0,(1),Pen store,Pantalan Road,Open until 9:00 pm,,
MacArthur Wharf,4.2,(103),Association or organization,,Temporarily closed,,Open until 11:00 pm
Valentin Dignadice Memorial Elementary School,4.4,(18),Elementary school,Ajuy,,,
Pantalan Primary School,4.7,(7),,Tagapul-an,,,
Culasi Port,4.0,(1),Seaport,Ajuy,,,Temporarily closed
