section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-info,section-result-action href,section-result-action-icon src,section-result-action-text
Cebu City Police Office Station 5,3.3,(3),Police station,M. C. Briones St,(032) 254 8635,http://pnp.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Police Regional Office 7,5.0,(1),Police department,Osmeña Blvd,(032) 253 7674,http://www.pnp.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Police Station 1,,,Police station,A Soriano St Corner Ouano Wharf,(032) 344 6221,http://pnp.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Police Station 4 - CCPO,,,Police station,Juan Luna St,(032) 412 8262,,,
Police Station 1 (Parian Police Station) - Cebu City Police Office,4.0,(4),Police station,Sikatuna St,(032) 255 8404,http://www.pnp.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Police Station 11 - CCPO,5.0,(1),Police station,Maria Gochan St,(032) 261 9804,,,
Cebu Police Provincial Office,,,Police department,Doña Modesta Gaisano St,(032) 256 0116,https://m.facebook.com/CebuprovincePNP/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Minglanilla Police Station,3.0,(3),Police station,,(032) 272 6662,,,
Mandaue City Police Office Police Station 3,3.7,(3),Police station,Cebu N Rd,(032) 343 9891,,,
Tourist Police Office,3.0,(4),Police department,M.L. Quezon National Highway,(032) 341 1311,http://pnp.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Police Station 6 (Pasil Police Station) Cebu City,5.0,(2),Police station,"6000, Spolarium St",(032) 261 9788,,,
Police Station 10 (Punta Police Station) - Cebu City Police Office,4.7,(3),Police station,"GF, Punta Princesa Multi-Purpose Bldg.,, Tres de Abril St",(032) 261 5470,,,
Police Station 3 (Waterfront Police Station) - Cebu City Police Office,3.7,(3),Police station,Legaspi Ext.,(032) 254 6968,,,
Police Station 9 - CCPO,5.0,(1),Police station,1112 V Rama Ave,(032) 256 2193,,,
Police Station - CCPO,2.3,(3),Police station,"Panganiban, Natalio B. Bacalso Ave",,,,
Tourist Police Unit,5.0,(3),Police department,D. Jakosalem St,(032) 412 1838,,,
Police Station - LLCPO,,,Police station,Maximo V. Patalinghug Jr Ave,,,,
Police Assistance Center - Tourist,,,Police station,Newtown Blvd,(032) 340 2705,,,
Police Outpost,,,Police station,Mirasol St,(032) 253 5636,,,
Talisay Police Station,2.6,(5),Police station,,(032) 273 3636,,,
Police Station 2 - MCPO,2.3,(3),Police station,Albaño Street,(032) 346 8591,,,
Cebu City Police Clearance,4.3,(11),Police department,"White Gold Compound, nnex Bldg., A. NRA, F. Cabahug St",(032) 236 2762,,,
Camp Sergio Osmeña Police Regional Office 7,5.0,(1),Police station,R.Landon St.Osmena Blvd,(032) 253 7674,http://www.pnp.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Police Station 4 - CPPO,3.5,(6),Police station,,(032) 412 8261,,,
Police Station 4 - MCPO,4.5,(2),Police station,M. L. Quezon Ave,(032) 344 7752,http://www.pnp.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Police Station 8 Talamban Police Station - Cebu City Police Office,1.0,(2),Police station,Talamban Rd,(032) 344 7400,,,
Guadalupe Police Station,3.0,(2),Police station,V Rama Ave,0948 429 7718,,,
Police Station - LLCPO,1.0,(3),Police station,Basak-Marigondon Rd,(032) 341 1811,,,
Police Station 7 (Pardo Police Station) - Cebu City Police Office,4.0,(4),Police station,"J 6000, I Tabura St",(032) 273 3642,,,
Cebu City Police Office Camp Sotero Cabahug,5.0,(2),Police station,Gorordo Ave,(032) 233 6795,,,
Police Station 6 - MCPO,5.0,(2),Police station,Canduman,(032) 344 4428,,,
Police Station - LLCPO,3.0,(3),Police station,Punta Engaño Rd,(032) 261 5470,,,
Police Station 3 - LLCPO,3.7,(3),Police station,Humay Sitio Balanghoy,(032) 343 4663,http://www.pnp.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Police Station 5 - CCPO,5.0,(1),Police station,129 Spolarium St,(032) 256 2192,,,
Task Force Kalikasan Police Station,2.3,(3),Police station,Station Island,,,,
Police Station 2 (Fuente Police Station) - Cebu City Police Office,4.0,(1),Police station,Osmeña Blvd,(032) 253 5636,http://www.pnp.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
City Government Police Stations - WaterFront Police Station,,,Government office,"Park, Salinas Drive",(032) 254 8968,,,
Police Outpost,,,Police station,"The Market Place, Bacay Rd",(032) 340 2705,,,
Cebu Police Traffic's Office,,,Police station,Toledo - Manipis Rd,(032) 273 5297,,,
Cebu Provincial Police Office Cordova Police Station,1.0,(1),Police station,Bernardo Nuñez Street,(032) 496 8492,,,
MCPO,2.3,(3),Police station,Oano Avenue,(032) 520 5948,,,
Camp Sergio Osmena Police Regional Office 7,4.0,(4),Police station,Osmeña Blvd,(032) 253 2104,http://www.pnp.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Pulis,5.0,(1),Police station,"Mactan Cebu International Airport, Airport-Departure Rd",(032) 253 7674,http://www.pnp.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Police Station - LLCPO,3.5,(6),Police station,,(032) 341 1311,,,
"Police Station - Tabunok, Cebu",5.0,(1),Police station,"Tabunok Administrative BLDG, Toledo - Manipis Rd",(032) 344 7752,http://www.pnp.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Regional Highway Patrol Unit 7,1.0,(2),Police station,"Camp Sotero Cabahug, Gerordo Avenue",(032) 231 5802,http://www.pnp.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Police Station 4 Outpost,3.0,(2),Public safety office,"Gaisano Country Mall, Gov. M. Cuenco Ave",(032) 231 1481,http://pnp.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Tourist Police Assistance Center,1.0,(3),Police department,Bout,(032) 341 1811,http://www.pnp.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Tulay Police Station,5.0,(1),Police station,,(032) 289 9281,,,
Cordova Municipal Police Office,2.0,(2),Police department,Bernardo Nuñez Street,(032) 496 8663,,,
San Nicolas Police,5.0,(2),Police station,Tupaz St.,(032) 261 9788,,,
PC Hills,3.0,(2),Police department,Cebu Veterans Dr,(032) 254 8137,,,
Police Station - LLCPO,3.7,(3),Police station,,(032) 254 8635,,,
Police Station 2 - Cebu City,5.0,(1),Government office,,0917 305 7336,,,
Lapu-lapu City,3.0,(1),Police station,Manggahan,,http://www.pnp.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Barangay Police Outpost Zone VI,4.0,(1),Police station,"Freedom Park, Cor. Calderon & Magallanes St.",(032) 253 5636,http://www.pnp.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
NAPOLCOM,5.0,(2),Police department,"SC-SIT Building, N. Bacalso St Avenue",(032) 261 0226,http://www.napolcom.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Regional Traffic Management Office-7,,,Police station,"Camp Sotero Cabahug, Gerordo Ave",(032) 232 9370,http://www.pnp-pro7.org/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
