section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-info,section-result-action href,section-result-action-icon src 2,section-result-action-text 2,section-result-info 2,section-result-info 3,section-result-description
Cordova RORO Port,3.7,(109),Port,"Sitio Camolinas, Barangay Poblacion, Roro Port Road",0932 703 9048,,,,,,
Cebu International Port,4.0,(187),Port,,(032) 232 1461,http://www.cpa.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
Port Restaurant,3.7,(291),Filipino,"Waterfront Hotel & Casino, Salinas Dr",(032) 516 6018,http://www.port.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed,Opens at 10:00 am,
Cebu Port Authority,3.4,(21),Seaport,Quezon Blvd. Pier 1,,http://www.cpa.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
Angasil Port,3.1,(21),Ferry terminal,,,,,,,,
"Passenger Terminal 1, PIER 1",3.7,(86),Port authority,Quezon Blvd,,http://cebubook.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
Marigondon Port,3.6,(5),Seaport,,,,,,,,
Cebu Port Authority (CIP One Stop Shop) - Port Management Division 1,4.3,(8),Port authority,,(032) 233 3814,http://cpa.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
Cebu Port Authority,,,Seaport,Don Andres Soriano Ave.,(032) 344 9211,http://www.cpa.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
Cebu Port Authority (CPA) - Port Management Division 3,3.8,(10),Ferry service,"Terminal 2 Building, Cebu Baseport, Cebu City, Cebu",(032) 253 1853,http://www.cpa.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,,
Cebu Port Authority,4.2,(17),Corporate office,"CPA Executive Building, CIP Complex, Sergio Osmeña Jr Boulevard",(032) 402 4131,http://www.cpa.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed today,,
Hilton Port,3.5,(37),Ferry terminal,Punta Engaño Rd,,,,,,,
Ports of Cebu Transport Coop. (PORT CETRANSCO),5.0,(1),Travel agency,Sergio Osmeña Jr Boulevard,0905 503 1982,,,,Temporarily closed,,
Cebu Port Authority (CPA) - Port Management Division 2,4.4,(18),,"Terminal 3 Building, Cebu Baseport, Cebu City, Cebu",(032) 233 0421,http://www.cpa.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
Cebu International Port,4.3,(4),,Quezon Blvd,(032) 233 3814,http://www.cpa.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
Santa Rosa Port,4.0,(17),Ferry terminal,,,,,,,,
Philippine Ports Authority,1.0,(1),Corporate office,,,,,,,,
Boyla Island Hopping Terminal,,,Port authority,,,,,,,,
Crown Port View Hotel,3.5,(102),2-star hotel,,(032) 416 5105,,,,Temporarily closed,,
