section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-info,section-result-info 2,section-result-action href,section-result-action-icon src 2,section-result-action-text 2
Mactan Elementary School,5.0,(2),Elementary school,2 Provincial Hwy,Temporarily closed,(032) 495 8558,,,
Cebu International School,3.7,(9),School,,Temporarily closed,(032) 261 0247,http://www.cis.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Abellana National School,4.4,(34),High school,Osmeña Blvd,,(032) 254 8248,,,
Sacred Heart School - Ateneo de Cebu,4.5,(57),Catholic school,H Abellana,Temporarily closed,(032) 345 4378,http://www.shs-adc.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
IDEAS Intellectual Development For Early Age School,5.0,(3),Private school,"Deca Homes Baywalk Phase 1 blk 13 Lot 10-15 6045, San Isidro Road",Closed,(032) 263 0625,https://ideascebu.business.site/?utm_source=gmb&utm_medium=referral,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Cebu City National Science High School,4.2,(34),High school,6000 Salvador St,Temporarily closed,(032) 261 2802,,,
Singapore School Cebu,4.3,(11),School,F.E. Zuellig Ave,Temporarily closed,(032) 236 5772,http://singaporeschoolcebu.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Mabolo Elementary School,4.3,(9),Elementary school,M. J. Cuenco Ave,Temporarily closed,(032) 412 8104,,,
Newtown School of Excellence,4.5,(4),School,"Newtown Boulevard, Mactan Newtown, Newtown Blvd",Temporarily closed,0922 766 2397,,,
Royal Oaks International School,,,Primary school,U.N. Ave,Temporarily closed,,https://www.facebook.com/pages/Royal-Oaks-International-School-Mandaue-Cebu/480076755384265,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Froebel School For Early Literacy,5.0,(1),School,358 V Rama Ave,Temporarily closed,(032) 266 0183,http://www.frobelschool.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
