section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-info,section-result-info 2,section-result-description,e0HygkTYhQy__attribute-content
Cebu Port Authority,3.4,(21),Seaport,Quezon Blvd. Pier 1,,,,
Mactan Seaport Village,3.8,(20),Shopping mall,Punta Engaño Rd,Temporarily closed,,,
Cebu Port Authority,,,Seaport,Don Andres Soriano Ave.,,,,
Pangan-an Island Seaport,1.0,(1),Seaport,,,,,
Roble Shipping Yard,3.0,(7),Seaport,PIER 7,,,,
Marigondon Port,3.6,(5),Seaport,,,,,
Fortune Shipworks,4.0,(2),Seaport,,,,,
Safeseas Marine Incorporated,,,Seaport,"Door J. Isabelo Arcade Comml.Bldg., General Maxilom Ave",,,,
Pelaez Seaplane Anchorage,3.0,(3),Seaport,,,,,
Cebu International Port,4.0,(187),Port,,,,,
Cebu Port Authority,4.2,(17),Corporate office,"CPA Executive Building, CIP Complex, Sergio Osmeña Jr Boulevard",Closed today,,,
Minglanilla Fishport,2.8,(6),Pier,,,,,
Toledo City Port,4.2,(21),Seaport,,,,,
VG Shipping Lines Ticket Office,3.5,(8),Shipping company,"11, R. Palma Street",,,,
2GO Travel,1.0,(2),Courier service,"1263-1 V. Rama Avenue, Guadalupe",,,,
Tubigon Seaport Ticketing Area,3.6,(22),Shipping service,,,,,
Cafe Mango,3.5,(19),,"GF , Mactan Seaport Village, Punta Engano Road , 6015 Lapu-Lapu City , Cebu",,Open until 9:30 pm,,
Cebu Harbor,3.8,(9),Harbor,,,,,
Cebu Port Authority (CPA) - Port Management Office 8,3.7,(7),,"Port of Toledo Office, Toledo City Port",,,,
VG Shipping Lines,5.0,(1),Shipping service,,,,,
SBMA Seaport Administration Building,3.5,(2),Government,Waterfront Rd,Closed today,,,
GMR Megawide Cebu Airport Corporation,3.9,(8),Corporate office,MCIA,Temporarily closed,,,
Pinayagan Sur Multi-Purpose Cooperative,,,,,,,,
Hotel Seaport,3.8,(573),3-star hotel,,,,Casual harborfront hotel with an eatery,
Coron Port,3.8,(42),Fishing pier,,,,,
Seaport District NYC,4.5,"(2,027)",Historical landmark,19 Fulton St,,,Historic waterfront district,
Boston Seaport,5.0,(2),Shopping mall,"Seaport Blvd &&, Boston Wharf Rd",Closed,Opens at 10:00 am,,
South Street Seaport Museum,4.0,(109),Maritime museum,12 Fulton St,Closed,Opens at 11:00 am,Galleries devoted to sea trade & ships,
One Seaport,4.2,(12),Shopping mall,60 Seaport Blvd,,,Upscale shopping & dining complex,
Seaport District,4.0,(187),,,,,"Boston, MA",
Seaport Common,4.6,(114),Park,85 Northern Ave,Closed today,,,
Seaport Village,4.5,"(16,006)",Shopping mall,849 W Harbor Dr,Closed,Opens at 10:00 am,"Waterfront shopping, dining & walking",
Seaport World Trade Center,4.3,(131),Convention center,Seaport Ln,,,,
Seaport Boston Hotel,4.8,(16),Parking lot,,,,,
Element Boston Seaport District,4.5,(736),3-star hotel,,,,Contemporary all-suite hotel with a pool,
Old Seaport Launceston,4.0,(1),Parking lot,28 Seaport Blvd,,,,
Mystic Seaport Museum,4.6,"(3,288)",Museum,75 Greenmanville Ave,,Open until 9:30 pm,Re-created 19th-century maritime village,
Seaport Products Corporation,5.0,(1),Seafood wholesaler,131 7th Ave W,,,,
Seaport Capital,3.7,(7),Financial consultant,40 Fulton St,,,,
Peppers Seaport Launceston,4.3,(347),4-star hotel,,,,Informal hotel with dining & free Wi-Fi,
Aloft Boston Seaport District,4.3,"(1,556)",3-star hotel,,Closed today,,"Hip hotel with a bar, a gym & a pool",
One Seaport Garage,4.1,(22),Parking garage,Boston,Temporarily closed,,,
Residence Inn by Marriott Boston Downtown/Seaport,4.6,(516),3-star hotel,,,,Sleek hotel with free breakfast,
Tallinn Seaport Hotel,4.0,"(1,044)",3-star hotel,,,,Unfussy hotel with a cafe & a sauna,
Independence Seaport Museum,4.5,(985),Maritime museum,Philadelphia,Closed today,,Maritime exhibits & warship tours,
Colachel Seaport,4.7,(16),Port authority,,Temporarily closed,,Historic waterfront district,
Sea Port Products,5.0,(2),Food products supplier,Perth Amboy,Closed,Opens at 9:00 am,,
Seaport,3.9,(408),Store,,Closed,Opens at 9:00 am,Galleries devoted to sea trade & ships,
NEMA Boston - Luxury Seaport Boston Apartments,3.1,(16),Apartment complex,Boston,Closed,Opens at 8:00 am,Upscale shopping & dining complex,
WPI Seaport,4.0,(187),School,Boston,Temporarily closed,,"Boston, MA",
Taichung City Seaport Art Center,4.2,"(6,362)",Art center,Qingshui District,Closed,Opens at 9:00 am,,
Industrious Boston Seaport,5.0,(20),Coworking space,Boston,Closed,Opens at 8:30 am,"Waterfront shopping, dining & walking",
