section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-info,section-result-info 2,section-result-action href,section-result-action-icon src,section-result-action-text,section-result-info 3,section-result-description
Cebu Normal University - Main Campus,4.8,(52),Public university,Osmeña Blvd,Temporarily closed,(032) 253 9611,http://cnu.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,
University of the Visayas - Main Campus,4.3,(66),Private university,Dionisio Jakosalem St,Temporarily closed,(032) 253 6173,http://uv.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,
University of Southern Philippines Foundation,4.2,(46),Private university,"USP Compound, Salinas Dr",Temporarily closed,(032) 414 8773,,,,,
University of Cebu,4.2,(96),Private university,Sanciangko St,,(032) 255 7777,http://uc.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm,
Cebu Doctors' University (CDU),4.0,(21),Private university,North Reclamation Area Mandaue City Cebu,Temporarily closed,(032) 238 8333,http://www.cebudoctorsuniversity.edu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,
Cebu Institute of Technology - University,4.6,(119),Private university,Natalio B. Bacalso Ave,Temporarily closed,(032) 261 7741,http://www.cit.edu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,
"University of San Jose - Recoletos, Main",4.4,(94),Private university,,Temporarily closed,(032) 253 7900,http://usjr.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,
Southwestern University PHINMA,4.4,(53),Private university,Urgello Street,Temporarily closed,(032) 416 4680,http://swu.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,
University of Cebu Lapu-Lapu & Mandaue,4.0,(3),Private university,"Main Building, University of Cebu Lapu-Lapu Mandaue, A. C. Cortes Ave",Temporarily closed,(032) 346 7461,http://lm.uc.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,
University of San Carlos,4.2,(101),Private university,Gov. M. Cuenco Ave,,(032) 230 0100,http://www.usc.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm,
University of Cebu,4.0,(2),Private university,"University of Cebu, Archbishop Reyes Ave., Banilad, Cebu, 6000",Temporarily closed,(032) 233 7802,http://uc.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,
University of the Visayas - Banilad Campus,4.0,(22),Private university,,Temporarily closed,(032) 416 1539,http://www.universityofthevisayas.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,
Cebu Technological University - Main Campus,4.3,(73),Public university,"M.J. Cuenco Ave, Cor R. Palma Street",,4121399,http://www.ctu.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,
University Of Cebu - Lapu-Lapu and Mandaue,4.2,(96),Private university,A. C. Cortes Ave,Temporarily closed,(032) 345 6666,http://www.uc.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,
University of San Carlos - North Campus,4.3,(13),Private university,General Maxilom Ave,Temporarily closed,(032) 231 4012,http://www.usc.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,
University of San Carlos - Downtown Campus,4.0,(31),Private university,31-40 Pantaleon del Rosario St,Temporarily closed,,http://www.usc.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,
University Of The Philippines Open University,5.0,(2),University,"A.S Bldg, Gorordo Ave",Temporarily closed,(032) 231 3086,http://upcebu.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,
University of San Carlos - Department of Political Science,4.0,(1),University,P. del Rosario Street,Temporarily closed,(032) 253 7193,,,,,
University Registrar Secretary Office,,,College,"University of San Carlos - Talamban Campus, Governor M. Cuenco Avenue",Temporarily closed,(032) 230 0405,http://www.usc.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,
University of the Visayas - Mandaue Campus,4.8,(6),Private university,Jose L.Briones,Temporarily closed,(032) 121 1391,https://www.finduniversity.ph/universities/university-of-the-visayas-mandaue-campus/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,
